Entity,Definition,Images
New Zealand,New Zealand (Māori: Aotearoa [aɔˈtɛaɾɔa]) is an island country in the southwestern Pacific Ocean.,"['https://upload.wikimedia.org/wikipedia/commons/3/3b/1863_Meeting_of_Settlers_and_Maoris_at_Hawke%27s_Bay%2C_New_Zealand.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d4/ANZAC_Day_service_at_the_National_War_Memorial_-_Flickr_-_NZ_Defence_Force_%2820%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/Aerial_image_of_Christchurch_suburbs_-_Flickr_-_NZ_Defence_Force_%282%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Air_New_Zealand%2C_Boeing_787-9_ZK-NZE_%27All_Blacks%27_NRT_%2827091961041%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Anglophone_World.svg']"
Box,A box (plural: boxes) is a container used for the storage or transportation of its contents.,"['https://upload.wikimedia.org/wikipedia/commons/c/cd/600sojudrinkbox.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Ammunition_Boxes%2C_MDVMHC.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/18/Archive_boxes.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/Box_%28231630111%29.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/50/Box_with_cover_MET_DP241878.jpg']"
Inorganic nitrate,Not found on Wikipedia,['Image not found']
Musical composition,"Musical composition can refer to an original piece or work of music, either vocal or instrumental, the structure of a musical piece or to the process of creating or writing a new piece of music.","['https://upload.wikimedia.org/wikipedia/commons/c/c3/45_record.png', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d7/Borodin_Scherzo_in_A_flat.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f0/Chord_chart.mid', 'https://upload.wikimedia.org/wikipedia/commons/8/88/Chord_chart.svg']"
Test tube A,Not found on Wikipedia,['Image not found']
Affix,"In linguistics, an affix is a morpheme that is attached to a word stem to form a new word or word form.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Chromosome,A chromosome is a long DNA molecule with part or all of the genetic material of an organism.,"['https://upload.wikimedia.org/wikipedia/commons/4/4b/Chromatin_Structures.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Chromosome.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/Chromosome_21.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Eukaryote_DNA-en.svg']"
Covalent bond,A covalent bond is a chemical bond that involves the sharing of electrons to form electron pairs between atoms.,"['https://upload.wikimedia.org/wikipedia/commons/7/77/Chemfm_carbon_monoxide_3_1.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/17/Covalent.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/Covalent_bond_hydrogen.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Graphical_comparison_of_bonds.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Ligatio-covalens.jpg']"
I3,"I3, I-3 or i3 may refer to:","['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Decomposition,"Decomposition or rot is the process by which dead organic substances are broken down into simpler organic or inorganic matter such as carbon dioxide, water, simple sugars and mineral salts.","['https://upload.wikimedia.org/wikipedia/commons/9/9c/A_punnet_of_rotten_peaches.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/Ants_cleaning_dead_snake.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Berge_naturreservat_omkullfallet_liten_tall.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/27/DecayingPeachSmall.gif']"
Google Earth,Google Earth is a computer program that renders a 3D representation of Earth based primarily on satellite imagery.,"['https://upload.wikimedia.org/wikipedia/commons/9/9b/3D_locations_in_Google_Earth.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/Flii_globe.png', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg']"
Activity 6.2 Activity 6.2,Not found on Wikipedia,['Image not found']
Color band,Not found on Wikipedia,['Image not found']
Disintegration,Disintegration or disintegrate may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
2F1,Not found on Wikipedia,['Image not found']
Visual perception,"Visual perception is the ability to interpret the surrounding environment through photopic vision (daytime vision), color vision, scotopic vision (night vision), and mesopic vision (twilight vision), using light in the visible spectrum reflected by objects in the environment.","['https://upload.wikimedia.org/wikipedia/commons/2/2d/Astronotus_ocellatus_-_closeup_%28aka%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Eye_Line_of_sight.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fc/Nuvola_apps_kpdf2.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
International System of Units,"The  International System of Units, known by the international abbreviation SI in all languages: 125 : iii  and sometimes pleonastically as the SI system, is the modern form: 117  of the metric system and the world's most widely used system of measurement.: 123   Established and maintained by the General Conference on Weights and Measures (CGPM), it is the only system of measurement with an official status in nearly every country in the world, employed in science, technology, industry, and everyday commerce.","['https://upload.wikimedia.org/wikipedia/commons/0/0c/981ms2.png', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Alter_Grenzstein_Pontebba_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9b/Carl_Friedrich_Gauss.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b9/CubeLitre.svg']"
Fe2O3 + 2Al,Not found on Wikipedia,['Image not found']
Food web,A food web  is the natural interconnection of food chains and a graphical representation of what-eats-what in an ecological community.,"['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/40/Aquatic_food_web.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Earth_Day_Flag.png', 'https://upload.wikimedia.org/wikipedia/commons/8/83/EcologicalPyramids.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9b/EltonFW.jpg']"
Activity 9.12 Activity 9.12,Not found on Wikipedia,['Image not found']
Acidic pH,Not found on Wikipedia,['Image not found']
Andre-Marie Ampere,Not found on Wikipedia,['Image not found']
Combination reaction,A direct combination reaction (also known as a synthesis reaction) is a reaction where two or more elements or compounds (reactants) combine to form a single compound (product).,['https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']
Angle of measurement,Not found on Wikipedia,['Image not found']
Diagram,A diagram is a symbolic representation of information using visualization techniques.,"['https://upload.wikimedia.org/wikipedia/commons/9/98/Alphagraphen.png', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Automotive_diagrams_01_En.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/88/Gear_pump_exploded.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Graphtestone.svg']"
Thermal decomposition,Thermal decomposition (or thermolysis) is a chemical decomposition caused by heat.,"['https://upload.wikimedia.org/wikipedia/commons/8/81/Processes_in_the_thermal_degredation_of_organic_matter.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1c/Wiki_letter_w_cropped.svg']"
Cutting,"Cutting is the separation or opening of a physical object, into two or more portions, through the application of an acutely directed force.","['https://upload.wikimedia.org/wikipedia/commons/0/00/Glass_cutter.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/Scissors.jpg']"
5H2O,Not found on Wikipedia,['Image not found']
Iron filings,Iron filings are very small pieces of iron that look like a light powder.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/Powder_steel_on_magnet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
Eye movement,Eye movement includes the voluntary or involuntary movement of the eyes.,"['https://upload.wikimedia.org/wikipedia/commons/7/71/Extraocular_muscle_actions_and_innervation.png', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/Eye_movements_abductors.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/95/Eye_movements_adductors.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/22/Eye_movements_depressors.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/13/Eye_movements_elevators.jpg']"
Electrical cable,"An electrical cable is an assembly of one or more wires running side by side or bundled, which is used to carry electric current.","['https://upload.wikimedia.org/wikipedia/commons/6/67/500mcm_cable_jacket_marking.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/6_inch_cable.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Cable_tray_fire_sweden.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f4/Coaxial_cable_cutaway.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Thick wire,Not found on Wikipedia,['Image not found']
Tetravalence,Not found on Wikipedia,['Image not found']
Transportation in Human Beings Do You Know?,Not found on Wikipedia,['Image not found']
Aperture,"In optics, an aperture is a hole or an opening through which light travels.","['https://upload.wikimedia.org/wikipedia/commons/b/bc/16_minolta_50mm.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b6/Aperture-open.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/ApertureDefn1707.png', 'https://upload.wikimedia.org/wikipedia/commons/9/9c/Aperture_Example_Wall.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c1/Aperture_Example_Wall_2.jpg']"
Stomatal pore,Not found on Wikipedia,['Image not found']
Region,"In geography, regions, otherwise referred to as areas, zones, lands or territories, are portions of the Earth's surface that are broadly divided by physical characteristics (physical geography), human impact characteristics (human geography), and the interaction of humanity and the environment (environmental geography).","['https://upload.wikimedia.org/wikipedia/commons/8/86/Africa_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9d/Afro-Eurasia_%28orthographic_projection%29_political.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Americas_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Antarctica_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Asia_%28orthographic_projection%29.svg']"
Tabulate the results,Not found on Wikipedia,['Image not found']
Far point,"In visual perception, the far point is the farthest point at which an object can be placed (along the optical axis of the eye) for its image to be focused on the retina within the eye's accommodation.",['Image not found']
Microorganism,"A microorganism, or microbe, is an organism of microscopic size, which may exist in its single-celled form or as a colony of cells.","['https://upload.wikimedia.org/wikipedia/commons/3/3c/Albert_Edelfelt_-_Louis_Pasteur_-_1885.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Anthonie_van_Leeuwenhoek_%281632-1723%29._Natuurkundige_te_Delft_Rijksmuseum_SK-A-957.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Biofermentor.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/DNA_simple.svg']"
Activity 3.8 Activity 3.8,Not found on Wikipedia,['Image not found']
Science 140,Not found on Wikipedia,['Image not found']
I jumped out of the way of the bus,Not found on Wikipedia,['Image not found']
Characteristics,Not found on Wikipedia,['Image not found']
Battle,A  battle  is an occurrence of combat in warfare between opposing military units of any number or size.,"['https://upload.wikimedia.org/wikipedia/commons/b/b3/Battle_Scene.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b9/Battle_of_Gibraltar_1607.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f8/Battle_of_Waterloo_map.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/05/De_slag_bij_Terheide_-_The_Battle_of_Schevening_-_August_10_1653_%28Willem_van_de_Velde_I%2C_1657%29.jpg']"
Buffalo,Buffalo most commonly refers to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Pending-protection-shackle.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Fe,Fe or FE may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Alkali,"In chemistry, an alkali (; from Arabic: القلوي, romanized: al-qaly, lit. 'ashes of the saltwort') is a basic, ionic salt of an alkali metal or an alkaline earth metal.","['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1b/Semi-protection-shackle.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg']"
Pratyush,Not found on Wikipedia,['Image not found']
Cross-sectional area,Not found on Wikipedia,['Image not found']
Invisible movement,Not found on Wikipedia,['Image not found']
Electrical circuit,Not found on Wikipedia,['Image not found']
Hydrogen sulfide,"Hydrogen sulfide is a chemical compound with the formula H2S. It is a colorless chalcogen-hydride gas, and is poisonous, corrosive, and flammable, with trace amounts in ambient atmosphere having a characteristic foul odor of rotten eggs.","['https://upload.wikimedia.org/wikipedia/commons/f/f9/AmineTreating.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0f/Buckminsterfullerene-perspective-3D-balls.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/66/Deposit_from_hydrogen_sulphide.jpg']"
 diffuse synthesis,Not found on Wikipedia,['Image not found']
Anatomy,Anatomy (from Ancient Greek  ἀνατομή (anatomḗ) 'dissection') is the branch of biology concerned with the study of the structure of organisms and their parts.,"['https://upload.wikimedia.org/wikipedia/commons/a/a1/13th_century_anatomical_illustration.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/72/An_%C3%A9corch%C3%A9_figure_%28life-size%29%2C_lying_prone_on_a_table_Wellcome_L0020561.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Anatomy_posture_and_body_mechanics_08.web.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/df/Anima_cell_notext.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3f/Cartilage_polarised.jpg']"
Y,"Y, or y, is the twenty-fifth and penultimate letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide.","['https://upload.wikimedia.org/wikipedia/commons/a/ac/BSL_letter_Y.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Braille_Y.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b0/Early_Aramaic_character_-_vav.png', 'https://upload.wikimedia.org/wikipedia/commons/5/52/Gamma_uc_lc.svg']"
Input nerve,Not found on Wikipedia,['Image not found']
Sunlight,"Sunlight is a portion of the electromagnetic radiation given off by the Sun, in particular infrared, visible, and ultraviolet light.","['https://upload.wikimedia.org/wikipedia/commons/b/b4/Apollo_7_Florida.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Cape_may.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/D%C3%BClmen%2C_G%C3%B6versheide_--_2015_--_7718-22.jpg']"
Novel,"A novel is a relatively long work of narrative fiction, typically written in prose and published as a book.","['https://upload.wikimedia.org/wikipedia/commons/6/62/1474_Melusine_Ausgabe_Augsburg_Johann_B%C3%A4mler_Blatt_2.png', 'https://upload.wikimedia.org/wikipedia/commons/0/00/1711_The_Court_and_City_Vagaries.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e3/1719-heathcot-robinson-crusoe.png', 'https://upload.wikimedia.org/wikipedia/commons/2/28/1769_Laurence_Sterne_Tristram_Shandy_v6_p70.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3f/Book_collection.jpg']"
Laboratory flask,Laboratory flasks are vessels or containers that fall into the category of laboratory equipment known as glassware.,"['https://upload.wikimedia.org/wikipedia/commons/0/0e/Buchner_Flask.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/Conical_flask.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/45/Erlenmeyer_Flasks.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/84/My_retort.jpg']"
H′,Not found on Wikipedia,['Image not found']
Respiratory system,"The respiratory system (also respiratory apparatus, ventilatory system) is a biological system consisting of specific organs and structures used for gas exchange in animals and plants.","['https://upload.wikimedia.org/wikipedia/commons/9/9d/Altitude_and_air_pressure_%26_Everest.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Alveolar_Wall.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Alveolar_air.png', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Alveolus.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/Bird%27s_respiratory_system.jpg']"
Heater,Not found on Wikipedia,['Image not found']
Fertilisation,"Fertilisation or fertilization (see spelling differences), also known as generative fertilisation, syngamy and impregnation, is the fusion of gametes to give rise to a new individual organism or offspring and initiate its development.","['https://upload.wikimedia.org/wikipedia/commons/8/83/Acrosome_reaction_diagram_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Bisexuality_symbol_%28bold%2C_color%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/DEV035048A.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/Frogspawn_closeup.jpg']"
Calcium,Calcium is a chemical element with the symbol Ca and atomic number 20.,"['https://upload.wikimedia.org/wikipedia/commons/5/51/Ca%28aq%296_improved_image.tif', 'https://upload.wikimedia.org/wikipedia/commons/1/17/Calcium_intake_world_map.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ec/Calcium_spectrum_visible.png', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Calcium_unter_Argon_Schutzgasatmosph%C3%A4re.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Eye protection,"Eye protection is protective gear for the eyes, and sometimes face, designed to reduce the risk of injury.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/23/Eclipsbrilletje.JPG', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Empiral_Vision_Grey_goggles.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Eye-shield.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/GMAW.welding.af.ncs.jpg']"
Copper carbonate,Copper carbonate may refer to :,['https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg']
Activity 5.8 Activity 5.8 Activity 5.8,Not found on Wikipedia,['Image not found']
X-axis,Not found on Wikipedia,['Image not found']
Copper wire,Not found on Wikipedia,['Image not found']
Growth hormone,"Growth hormone (GH) or somatotropin, also known as human growth hormone (hGH or HGH) in its human form, is a peptide hormone that stimulates growth, cell reproduction, and cell regeneration in humans and other animals.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Endocrine_growth_regulation.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/58/Somatotropine.GIF']"
Fighting,Not found on Wikipedia,['Image not found']
Meat analogue,Not found on Wikipedia,['Image not found']
River,"A river is a natural flowing watercourse, usually freshwater stream, flowing on the surface or inside caves towards another waterbody at a lower elevation, such as an ocean, sea, bay, lake, wetland, or another river.","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/Amazonrivermap.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Braine-le-Ch%C3%A2teau_JPG02.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Cross-section_of_a_river_channel_and_its_valley.webp']"
Headlight,Not found on Wikipedia,['Image not found']
Mass density,Not found on Wikipedia,['Image not found']
Change,Change or Changing may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Ray,Ray may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Life process,Not found on Wikipedia,['Image not found']
Refraction,"In physics, refraction is the redirection of a wave as it passes from one medium to another.","['https://upload.wikimedia.org/wikipedia/commons/1/10/66599_%2C_Tupton.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4e/Beach_and_waves_%282784111859%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/02/Blackbird-sunset-03.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/13/F%C3%A9nyt%C3%B6r%C3%A9s.jpg']"
DNA copy,Not found on Wikipedia,['Image not found']
Ferrous sulfate,Not found on Wikipedia,['Image not found']
Fig. 2,Not found on Wikipedia,['Image not found']
Muscle cell,"A muscle cell is also known as a myocyte when referring to either a cardiac muscle cell (cardiomyocyte), or a smooth muscle cell as these are both small cells.","['https://upload.wikimedia.org/wikipedia/commons/6/6f/Blausen_0801_SkeletalMuscle.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/Closed_Access_logo_transparent.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Sliding_Filament_Mechanism_Diagram.pdf']"
Brushing,Brushing may refer to:,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Burn,"A burn is an injury to skin, or other tissues, caused by heat, cold, electricity, chemicals, friction, or ultraviolet radiation (like sunburn).","['https://upload.wikimedia.org/wikipedia/commons/7/78/8-day-old-3rd-degree-burn.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Burn_Degree_Diagram.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/Burn_en.ogg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a5/Fires_world_map_-_DALY_-_WHO2004.svg']"
Calcium chloride,"Calcium chloride is an inorganic compound, a salt with the chemical formula CaCl2.","['https://upload.wikimedia.org/wikipedia/commons/5/51/Ca%28aq%296_improved_image.tif', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Cacl2_storage_for_winter_road_in_japan.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Calcium_chloride_CaCl2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/Calcium_chloride_on_a_dirt_road.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
