entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Wave,Physical entity,Light,Physical entity,Previously thought to be,This confusion about the true nature of light continued for some years till a modern quantum theory of light emerged in which light is neither a ‘wave’ nor a ‘particle’ – the new theory reconciles the particle properties of light with the wave nature.
Particle,Physical entity,Light,Physical entity,Previously thought to be,This confusion about the true nature of light continued for some years till a modern quantum theory of light emerged in which light is neither a ‘wave’ nor a ‘particle’ – the new theory reconciles the particle properties of light with the wave nature.
New theory,Scientific theory,Particle properties of light,Physical property,Reconciles with,This confusion about the true nature of light continued for some years till a modern quantum theory of light emerged in which light is neither a ‘wave’ nor a ‘particle’ – the new theory reconciles the particle properties of light with the wave nature.
New theory,Scientific theory,Wave nature of light,Physical property,Reconciles with,This confusion about the true nature of light continued for some years till a modern quantum theory of light emerged in which light is neither a ‘wave’ nor a ‘particle’ – the new theory reconciles the particle properties of light with the wave nature.
Basic concepts,Topic,Optical phenomena,Phenomenon,Related to,These basic concepts will help us in the study of some of the optical phenomena in nature.
Laws of reflection,Concept,Reflecting surfaces,Object,Applicable to,These laws of reflection are applicable to all types of reflecting surfaces including spherical surfaces.
Spherical surfaces,Object,Reflecting surfaces,Object,Type of,These laws of reflection are applicable to all types of reflecting surfaces including spherical surfaces.
Image,Object,Plane mirror,Object,Formed by,Image formed by a plane mirror is always virtual and erect.
Image,Virtual,Plane mirror,Real,Always,Image formed by a plane mirror is always virtual and erect.
Object,Physical object,Image,Visual representation,Equal in size,The size of the image is equal to that of the object.
Object,Physical object,Mirror,Physical object,In front of,The image formed is as far behind the mirror as the object is in front of it.
Image,Visual representation,Mirror,Physical object,Behind,The image formed is as far behind the mirror as the object is in front of it.
Spoon,Object,Face,Body part,Away from,� Move the spoon slowly away from your face.
Curved surface,Physical object,Shining spoon,Physical object,Part of,The curved surface of a shining spoon could be considered as a curved mirror.
Curved surface,Physical object,Curved mirror,Physical object,Similar to,The curved surface of a shining spoon could be considered as a curved mirror.
Shining spoon,Physical object,Curved mirror,Physical object,Similar to,The curved surface of a shining spoon could be considered as a curved mirror.
Spherical mirror,Type of mirror,Curved mirror,Type of mirror,Most commonly used,The most commonly used type of curved mirror is the spherical mirror.
Reflecting surface,Physical object,Mirrors,Physical object,Part of,The reflecting surface of such mirrors can be considered to form a part of the surface of a sphere.
Surface,Physical object,Sphere,Physical object,Part of,The reflecting surface of such mirrors can be considered to form a part of the surface of a sphere.
Spherical mirrors,Object type,Reflecting surfaces,Object type,of,"Such mirrors, whose reflecting surfaces are spherical, are called spherical mirrors."
Reflecting surfaces,Object type,Spherical mirrors,Object type,are called,"Such mirrors, whose reflecting surfaces are spherical, are called spherical mirrors."
Spherical mirror,Optical device,Reflecting surface,Physical feature,Composed of,9.2 SPHERIC 9.2 SPHERIC 9.2 SPHERIC 9.2 SPHERIC 9.2 SPHERICAL MIRRORS AL MIRRORS AL MIRRORS AL MIRRORS AL MIRRORS The reflecting surface of a spherical mirror may be curved inwards or outwards.
Reflecting surface,Physical feature,Curved surface,Physical feature,May be,9.2 SPHERIC 9.2 SPHERIC 9.2 SPHERIC 9.2 SPHERIC 9.2 SPHERICAL MIRRORS AL MIRRORS AL MIRRORS AL MIRRORS AL MIRRORS The reflecting surface of a spherical mirror may be curved inwards or outwards.
Curved surface,Physical feature,Inwards,Direction,Curvature,9.2 SPHERIC 9.2 SPHERIC 9.2 SPHERIC 9.2 SPHERIC 9.2 SPHERICAL MIRRORS AL MIRRORS AL MIRRORS AL MIRRORS AL MIRRORS The reflecting surface of a spherical mirror may be curved inwards or outwards.
Curved surface,Physical feature,Outwards,Direction,Curvature,9.2 SPHERIC 9.2 SPHERIC 9.2 SPHERIC 9.2 SPHERIC 9.2 SPHERICAL MIRRORS AL MIRRORS AL MIRRORS AL MIRRORS AL MIRRORS The reflecting surface of a spherical mirror may be curved inwards or outwards.
Spherical mirror,Object type,Reflecting surface,Object type,Part of,"A spherical mirror, whose reflecting surface is curved inwards, that is, faces towards the centre of the sphere, is called a concave mirror."
Reflecting surface,Object type,Curvature,Property,Curved inwards,"A spherical mirror, whose reflecting surface is curved inwards, that is, faces towards the centre of the sphere, is called a concave mirror."
Curvature,Property,Centre of sphere,Object type,Faces towards,"A spherical mirror, whose reflecting surface is curved inwards, that is, faces towards the centre of the sphere, is called a concave mirror."
Concave mirror,Object type,Reflecting surface,Object type,Curved inwards,"A spherical mirror, whose reflecting surface is curved inwards, that is, faces towards the centre of the sphere, is called a concave mirror."
Spherical mirror,Object,Reflecting surface,Property,Curved outwards,"A spherical mirror whose reflecting surface is curved outwards, is called a convex mirror."
Reflecting surface,Property,Convex mirror,Object,Called,"A spherical mirror whose reflecting surface is curved outwards, is called a convex mirror."
Spoon curved inwards,Object,Concave mirror,Object type,Approximated to,You may now understand that the surface of the spoon curved inwards can be approximated to a concave mirror and the surface of the spoon bulged outwards can be approximated to a convex mirror.
Spoon bulged outwards,Object,Convex mirror,Object type,Approximated to,You may now understand that the surface of the spoon curved inwards can be approximated to a concave mirror and the surface of the spoon bulged outwards can be approximated to a convex mirror.
Pole,Object,Letter P,Symbol,Represented by,The pole is usually represented by the letter P.
(a),Concave mirror,Reflecting surface,Part of sphere,Forms,(a) Concave mirror (b) Convex mirror Rationalised 2023-24  Science 136 The reflecting surface of a spherical mirror forms a part of a sphere.
(b),Convex mirror,Reflecting surface,Part of sphere,Forms,(a) Concave mirror (b) Convex mirror Rationalised 2023-24  Science 136 The reflecting surface of a spherical mirror forms a part of a sphere.
Sphere,Geometric shape,Centre,Geometric point,Has,This sphere has a centre.
Centre of curvature,Point,Spherical mirror,Optical instrument,Part of,This point is called the centre of curvature of the spherical mirror.
Centre of curvature,Point,Mirror,Optical device,Not a part of,Please note that the centre of curvature is not a part of the mirror.
Centre of curvature,Physical object,Concave mirror,Optical instrument,Located in front of,The centre of curvature of a concave mirror lies in front of it.
Sphere,Geometric shape,Reflecting surface,Part,of,"The radius of the sphere of which the reflecting surface of a spherical mirror forms a part, is called the radius of curvature of the mirror."
Spherical mirror,Optical instrument,Sphere,Geometric shape,Forms a part of,"The radius of the sphere of which the reflecting surface of a spherical mirror forms a part, is called the radius of curvature of the mirror."
Radius of curvature,Geometric property,Sphere,Geometric shape,Called,"The radius of the sphere of which the reflecting surface of a spherical mirror forms a part, is called the radius of curvature of the mirror."
Pole,Point,Spherical mirror,Object,Located on,Imagine a straight line passing through the pole and the centre of curvature of a spherical mirror.
Centre of curvature,Point,Spherical mirror,Object,Located on,Imagine a straight line passing through the pole and the centre of curvature of a spherical mirror.
Straight line,Geometric object,Pole,Point,Passes through,Imagine a straight line passing through the pole and the centre of curvature of a spherical mirror.
Straight line,Geometric object,Centre of curvature,Point,Passes through,Imagine a straight line passing through the pole and the centre of curvature of a spherical mirror.
Concave mirror,Optical device,Hand,Body part,Held by,� Hold a concave mirror in your hand and direct its reflecting surface towards the Sun.
Sun,Star,Reflecting surface,Physical object,Directed towards,� Hold a concave mirror in your hand and direct its reflecting surface towards the Sun.
Sheet of paper,Object,"Bright, sharp spot of light",Visual phenomenon,Found on,"� Move the sheet of paper back and forth gradually until you find on the paper sheet a bright, sharp spot of light."
Mirror,Object,Paper,Object,Held together,� Hold the mirror and the paper in the same position for a few minutes.
Paper,Material,Smoke,Gas,Producing,The paper at first begins to burn producing smoke.
Sun,Star,Light,Electromagnetic radiation,Originates from,"The light from the Sun is converged at a point, as a sharp, bright spot by the mirror."
Mirror,Object,Light,Electromagnetic radiation,Reflects,"The light from the Sun is converged at a point, as a sharp, bright spot by the mirror."
Sun,Star,Image,Visual object,On,"In fact, this spot of light is the image of the Sun on the sheet of paper."
Heat,Physical quantity,Sunlight,Electromagnetic radiation,Due to,The heat produced due to the concentration of sunlight ignites the paper.
Sunlight,Electromagnetic radiation,Paper,Material,Ignites,The heat produced due to the concentration of sunlight ignites the paper.
Image,Object,Mirror,Object,Related to,The distance of this image from the position of the mirror gives the approximate value of focal length of the mirror.
Position,Object property,Mirror,Object,Related to,The distance of this image from the position of the mirror gives the approximate value of focal length of the mirror.
Distance,Physical quantity,Image,Object,Related to,The distance of this image from the position of the mirror gives the approximate value of focal length of the mirror.
Focal length,Physical quantity,Mirror,Object,Measured by/approximated by,The distance of this image from the position of the mirror gives the approximate value of focal length of the mirror.
Reflected rays,Physical object,Point,Physical object,Appear to come from,The reflected rays appear to come from a point on the principal axis.
Principal focus,Point,Convex mirror,Optical device,Called,This point is called the principal focus of the convex mirror.
Principal focus,Physical object,Letter F,Symbol,Represented by,The principal focus is represented by the letter F.
Pole,Point,Spherical mirror,Optical instrument,Associated with,The distance between the pole and the principal focus of a spherical mirror is called the focal length.
Principal focus,Point,Spherical mirror,Optical instrument,Associated with,The distance between the pole and the principal focus of a spherical mirror is called the focal length.
Focal length,Measurement,Spherical mirror,Optical instrument,Describes,The distance between the pole and the principal focus of a spherical mirror is called the focal length.
Aperture,Physical property,Spherical mirror,Optical device,Part of,The diameter of the reflecting surface of spherical mirror is called its aperture.
Fig.9.2,Figure,Distance MN,Measurement,Represents,"In Fig.9.2, distance MN represents the aperture."
Spherical mirrors,Optical device,Aperture,Physical property,Smaller than,We shall consider in our discussion only such spherical mirrors whose aperture is much smaller than its radius of curvature.
Spherical mirrors,Optical device,Radius of curvature,Physical property,Larger than,We shall consider in our discussion only such spherical mirrors whose aperture is much smaller than its radius of curvature.
Spherical mirrors,Optical device,Apertures,Physical object,Of,"For spherical mirrors of small apertures, the radius of curvature is found to be equal to twice the focal length."
Radius of curvature,Physical quantity,Spherical mirrors,Optical device,Found to be equal to,"For spherical mirrors of small apertures, the radius of curvature is found to be equal to twice the focal length."
Focal length,Physical quantity,Spherical mirrors,Optical device,Twice the,"For spherical mirrors of small apertures, the radius of curvature is found to be equal to twice the focal length."
R,Variable,2f,Variable,Equal to,We put this as R = 2f .
Principal focus,Point,Spherical mirror,Optical device,Lies midway between,This implies that the principal focus of a spherical mirror lies midway between the pole and centre of curvature.
Pole,Point,Spherical mirror,Optical device,Between,This implies that the principal focus of a spherical mirror lies midway between the pole and centre of curvature.
Centre of curvature,Point,Spherical mirror,Optical device,Between,This implies that the principal focus of a spherical mirror lies midway between the pole and centre of curvature.
Sharp bright spot,Physical object,Light,Physical phenomenon,Result of,"In Activity 9.2, you have seen that the sharp bright spot of light you got on the paper is, in fact, the image of the Sun."
Light,Physical phenomenon,Image of Sun,Physical object,Forms,"In Activity 9.2, you have seen that the sharp bright spot of light you got on the paper is, in fact, the image of the Sun."
Tiny,Adjective,Image,Noun,Describes,"It was a tiny, real, inverted image."
Real,Adjective,Image,Noun,Describes,"It was a tiny, real, inverted image."
Inverted,Adjective,Image,Noun,Describes,"It was a tiny, real, inverted image."
Principal focus,Point,Spherical mirror,Object,Mid-way between,"Remember – For a spherical mirror of small aperture, the principal focus F lies mid-way between the pole P and the centre of curvature C."
Pole,Point,Spherical mirror,Object,Mid-way between,"Remember – For a spherical mirror of small aperture, the principal focus F lies mid-way between the pole P and the centre of curvature C."
Centre of curvature,Point,Spherical mirror,Object,Mid-way between,"Remember – For a spherical mirror of small aperture, the principal focus F lies mid-way between the pole P and the centre of curvature C."
Burning candle,Object,Position,Location,Far beyond,"� Keep a bright object, say a burning candle, at a position far beyond C."
Paper screen,Object,Mirror,Object,In front of,Place a paper screen and move it in front of the mirror till you obtain a sharp bright image of the candle flame on it.
Candle flame,Object,Paper screen,Object,Image of,Place a paper screen and move it in front of the mirror till you obtain a sharp bright image of the candle flame on it.
Chloroplasts,Organelle,Plant cells,Cell type,Located in,"Note down its nature, position and relative size with respect to the object size."
Chloroplasts,Organelle,Plant cells,Cell type,Located in,"� In one of the cases, you may not get the image on the screen."
Chloroplasts,Organelle,Thylakoids,Membrane,Contains,"� In one of the cases, you may not get the image on the screen."
Thylakoids,Membrane,Light-dependent reactions,Biological process,Occurs in,"� In one of the cases, you may not get the image on the screen."
Chloroplasts,Organelle,Photosynthesis,Biological process,Occurs in,"� In one of the cases, you may not get the image on the screen."
Entity 1,Entity 1 Type,Entity 2,Entity 2 Type,Relation,� Note down and tabulate your observations.
Chloroplasts,Organelle,Plant cells,Cell type,Located in,� Note down and tabulate your observations.
Chloroplasts,Organelle,Photosynthesis,Biological process,Occurs in,� Note down and tabulate your observations.
Chloroplasts,Organelle,Thylakoids,Membrane,Within,� Note down and tabulate your observations.
Thylakoids,Membrane,Chloroplasts,Organelle,Within,� Note down and tabulate your observations.
Thylakoids,Membrane,Light-dependent reactions,Biological process,Occur in,� Note down and tabulate your observations.
Light-dependent reactions,Biological process,Thylakoids,Membrane,Occur in,� Note down and tabulate your observations.
Activity,Experiment type,Concave mirror,Optical instrument,Used in,"Rationalised 2023-24  Science 138 You will see in the above Activity that the nature, position and size of the image formed by a concave mirror depends on the position of the object in relation to points P, F and C."
Nature,Characteristic,Image formed,Optical phenomenon,Result of,"Rationalised 2023-24  Science 138 You will see in the above Activity that the nature, position and size of the image formed by a concave mirror depends on the position of the object in relation to points P, F and C."
Position,Spatial relation,Object,Physical object,Dependent on,"Rationalised 2023-24  Science 138 You will see in the above Activity that the nature, position and size of the image formed by a concave mirror depends on the position of the object in relation to points P, F and C."
"Points P, F, and C",Points,Concave mirror,Optical instrument,Related to,"Rationalised 2023-24  Science 138 You will see in the above Activity that the nature, position and size of the image formed by a concave mirror depends on the position of the object in relation to points P, F and C."
Object,Physical object,Image,Visual representation,Forms,The image formed is real for some positions of the object.
Image,Visual representation,Positions,Physical property,Relates to,The image formed is real for some positions of the object.
Extended object,Object type,Finite size,Property,Placed in front of,"Consider an extended object, of finite size, placed in front of a spherical mirror."
Portion,Object component,Point source,Physical property,Acts like,Each small portion of the extended object acts like a point source.
Points,Object,Infinite rays,Object,Originate from,An infinite number of rays originate from each of these points.
Intersection,Mathematical concept,Reflected rays,Physical concept,Determines,The intersection of at least two reflected rays give the position of image of the point object.
Position,Physical concept,Image,Physical concept,Result of intersection,The intersection of at least two reflected rays give the position of image of the point object.
Point object,Physical concept,Position,Physical concept,Refers to,The intersection of at least two reflected rays give the position of image of the point object.
Ray,Physical object,Principal axis,Physical object,Parallel to,"(i) A ray parallel to the principal axis, after reflection, will pass through the principal focus in case of a concave mirror or appear to diverge from the principal focus in case of a convex mirror."
Reflection,Physical phenomenon,Ray,Physical object,Results in,"(i) A ray parallel to the principal axis, after reflection, will pass through the principal focus in case of a concave mirror or appear to diverge from the principal focus in case of a convex mirror."
Concave mirror,Optical instrument,Principal focus,Physical object,Passes through,"(i) A ray parallel to the principal axis, after reflection, will pass through the principal focus in case of a concave mirror or appear to diverge from the principal focus in case of a convex mirror."
Convex mirror,Optical instrument,Principal focus,Physical object,Appears to diverge from,"(i) A ray parallel to the principal axis, after reflection, will pass through the principal focus in case of a concave mirror or appear to diverge from the principal focus in case of a convex mirror."
Principal focus,Point,Concave mirror,Optical instrument,Passes through,"(a) (b) Figure Figure Figure Figure Figure 9.3 9.3 9.3 9.3 9.3 Rationalised 2023-24  Light – Reflection and Refraction 139 (ii) A ray passing through the principal focus of a concave mirror or a ray which is directed towards the principal focus of a convex mirror, after reflection, will emerge parallel to the principal axis."
Ray,Light,Principal focus,Point,Passes through,"(a) (b) Figure Figure Figure Figure Figure 9.3 9.3 9.3 9.3 9.3 Rationalised 2023-24  Light – Reflection and Refraction 139 (ii) A ray passing through the principal focus of a concave mirror or a ray which is directed towards the principal focus of a convex mirror, after reflection, will emerge parallel to the principal axis."
Ray,Light,Convex mirror,Optical instrument,Directed towards,"(a) (b) Figure Figure Figure Figure Figure 9.3 9.3 9.3 9.3 9.3 Rationalised 2023-24  Light – Reflection and Refraction 139 (ii) A ray passing through the principal focus of a concave mirror or a ray which is directed towards the principal focus of a convex mirror, after reflection, will emerge parallel to the principal axis."
Reflection,Physical phenomenon,Ray,Light,Occurs after,"(a) (b) Figure Figure Figure Figure Figure 9.3 9.3 9.3 9.3 9.3 Rationalised 2023-24  Light – Reflection and Refraction 139 (ii) A ray passing through the principal focus of a concave mirror or a ray which is directed towards the principal focus of a convex mirror, after reflection, will emerge parallel to the principal axis."
Principal axis,Line,Concave mirror,Optical instrument,Parallel to,"(a) (b) Figure Figure Figure Figure Figure 9.3 9.3 9.3 9.3 9.3 Rationalised 2023-24  Light – Reflection and Refraction 139 (ii) A ray passing through the principal focus of a concave mirror or a ray which is directed towards the principal focus of a convex mirror, after reflection, will emerge parallel to the principal axis."
Emerges,Physical phenomenon,Ray,Light,After reflection,"(a) (b) Figure Figure Figure Figure Figure 9.3 9.3 9.3 9.3 9.3 Rationalised 2023-24  Light – Reflection and Refraction 139 (ii) A ray passing through the principal focus of a concave mirror or a ray which is directed towards the principal focus of a convex mirror, after reflection, will emerge parallel to the principal axis."
Centre of curvature,Point,Concave mirror,Mirror type,Located in,"(iii) A ray passing through the centre of curvature of a concave mirror or directed in the direction of the centre of curvature of a convex mirror, after reflection, is reflected back along the same path."
Centre of curvature,Point,Convex mirror,Mirror type,Located in,"(iii) A ray passing through the centre of curvature of a concave mirror or directed in the direction of the centre of curvature of a convex mirror, after reflection, is reflected back along the same path."
Ray,Light,Centre of curvature,Point,Passes through,"(iii) A ray passing through the centre of curvature of a concave mirror or directed in the direction of the centre of curvature of a convex mirror, after reflection, is reflected back along the same path."
Ray,Light,Concave mirror,Mirror type,Reflects from,"(iii) A ray passing through the centre of curvature of a concave mirror or directed in the direction of the centre of curvature of a convex mirror, after reflection, is reflected back along the same path."
Ray,Light,Convex mirror,Mirror type,Reflects from,"(iii) A ray passing through the centre of curvature of a concave mirror or directed in the direction of the centre of curvature of a convex mirror, after reflection, is reflected back along the same path."
Ray,Light,Same path,Path,Reflects along,"(iii) A ray passing through the centre of curvature of a concave mirror or directed in the direction of the centre of curvature of a convex mirror, after reflection, is reflected back along the same path."
Reflection,Physical process,Ray,Light,Undergoes,"(iii) A ray passing through the centre of curvature of a concave mirror or directed in the direction of the centre of curvature of a convex mirror, after reflection, is reflected back along the same path."
Fig.9.5,Figure,Illustration,Image,of,This is illustrated in Fig.9.5 (a) and (b).
Light rays,Physical entity,Mirror,Physical entity,Reflects along,The light rays come back along the same path because the incident rays fall on the mirror along the normal to the reflecting surface.
Incident rays,Physical entity,Mirror,Physical entity,Fall on,The light rays come back along the same path because the incident rays fall on the mirror along the normal to the reflecting surface.
Mirror,Physical entity,Reflecting surface,Physical entity,Located on,The light rays come back along the same path because the incident rays fall on the mirror along the normal to the reflecting surface.
Incident rays,Physical entity,Normal,Physical entity,Fall along,The light rays come back along the same path because the incident rays fall on the mirror along the normal to the reflecting surface.
Normal,Physical entity,Reflecting surface,Physical entity,Perpendicular to,The light rays come back along the same path because the incident rays fall on the mirror along the normal to the reflecting surface.
Incident rays,Physical entity,Laws of reflection,Physical concept,Follow,"The incident and reflected rays follow the laws of reflection at the point of incidence (point P), making equal angles with the principal axis."
Reflected rays,Physical entity,Laws of reflection,Physical concept,Follow,"The incident and reflected rays follow the laws of reflection at the point of incidence (point P), making equal angles with the principal axis."
Point P,Point,Laws of reflection,Physical concept,At,"The incident and reflected rays follow the laws of reflection at the point of incidence (point P), making equal angles with the principal axis."
Incident rays,Physical entity,Reflected rays,Physical entity,Make equal angles with,"The incident and reflected rays follow the laws of reflection at the point of incidence (point P), making equal angles with the principal axis."
Incident rays,Physical entity,Principal axis,Physical entity,Make equal angles with,"The incident and reflected rays follow the laws of reflection at the point of incidence (point P), making equal angles with the principal axis."
Reflected rays,Physical entity,Principal axis,Physical entity,Make equal angles with,"The incident and reflected rays follow the laws of reflection at the point of incidence (point P), making equal angles with the principal axis."
Incident ray,Physical entity,Angle of reflection,Physical entity,Equals,"At the point of incidence, the incident ray is reflected in such a way that the angle of reflection equals the angle of incidence."
Object,Physical object,Concave mirror,Optical instrument,Used for,(a) Image formation by Concave Mirror Figure 9.7 illustrates the ray diagrams for the formation of image by a concave mirror for various positions of the object.
Image,Optical object,Concave mirror,Optical instrument,Formed by,(a) Image formation by Concave Mirror Figure 9.7 illustrates the ray diagrams for the formation of image by a concave mirror for various positions of the object.
Ray diagrams,Visual representation,Concave mirror,Optical instrument,Illustrate the formation of,(a) Image formation by Concave Mirror Figure 9.7 illustrates the ray diagrams for the formation of image by a concave mirror for various positions of the object.
Various positions,Physical state,Object,Physical object,Can be placed in,(a) Image formation by Concave Mirror Figure 9.7 illustrates the ray diagrams for the formation of image by a concave mirror for various positions of the object.
Concave mirrors,Mirror type,Torch,Device,Used in,"Uses of concave mirrors Concave mirrors are commonly used in torches, search-lights and vehicles headlights to get powerful parallel beams of light."
Concave mirrors,Mirror type,Search-lights,Device,Used in,"Uses of concave mirrors Concave mirrors are commonly used in torches, search-lights and vehicles headlights to get powerful parallel beams of light."
Concave mirrors,Mirror type,Vehicle headlights,Device,Used in,"Uses of concave mirrors Concave mirrors are commonly used in torches, search-lights and vehicles headlights to get powerful parallel beams of light."
