entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Photosynthesis,Biological process,Carbon dioxide,Gas,Reactant,"1.3   Diagram showing photosynthesis Light energy Carbon dioxide Oxygen Chlorophyll in leaf Water and minerals Stoma Guard Cells Chlorophyll Rationalised 2023-24  SCIENCE 4 Fig. 1.4  Leaves of various colours carbohydrates are made of carbon, hydrogen and oxygen."
Photosynthesis,Biological process,Oxygen,Gas,Product,"1.3   Diagram showing photosynthesis Light energy Carbon dioxide Oxygen Chlorophyll in leaf Water and minerals Stoma Guard Cells Chlorophyll Rationalised 2023-24  SCIENCE 4 Fig. 1.4  Leaves of various colours carbohydrates are made of carbon, hydrogen and oxygen."
Photosynthesis,Biological process,Chlorophyll,Pigment,Involved in,"1.3   Diagram showing photosynthesis Light energy Carbon dioxide Oxygen Chlorophyll in leaf Water and minerals Stoma Guard Cells Chlorophyll Rationalised 2023-24  SCIENCE 4 Fig. 1.4  Leaves of various colours carbohydrates are made of carbon, hydrogen and oxygen."
Photosynthesis,Biological process,Water,Compound,Reactant,"1.3   Diagram showing photosynthesis Light energy Carbon dioxide Oxygen Chlorophyll in leaf Water and minerals Stoma Guard Cells Chlorophyll Rationalised 2023-24  SCIENCE 4 Fig. 1.4  Leaves of various colours carbohydrates are made of carbon, hydrogen and oxygen."
Stoma,Cellular structure,Leaves,Plant organ,Located in,"1.3   Diagram showing photosynthesis Light energy Carbon dioxide Oxygen Chlorophyll in leaf Water and minerals Stoma Guard Cells Chlorophyll Rationalised 2023-24  SCIENCE 4 Fig. 1.4  Leaves of various colours carbohydrates are made of carbon, hydrogen and oxygen."
Guard cells,Cell type,Stoma,Cellular structure,Surrounds,"1.3   Diagram showing photosynthesis Light energy Carbon dioxide Oxygen Chlorophyll in leaf Water and minerals Stoma Guard Cells Chlorophyll Rationalised 2023-24  SCIENCE 4 Fig. 1.4  Leaves of various colours carbohydrates are made of carbon, hydrogen and oxygen."
Carbohydrates,Compound,Carbon,Element,Contains,"1.3   Diagram showing photosynthesis Light energy Carbon dioxide Oxygen Chlorophyll in leaf Water and minerals Stoma Guard Cells Chlorophyll Rationalised 2023-24  SCIENCE 4 Fig. 1.4  Leaves of various colours carbohydrates are made of carbon, hydrogen and oxygen."
Carbohydrates,Compound,Hydrogen,Element,Contains,"1.3   Diagram showing photosynthesis Light energy Carbon dioxide Oxygen Chlorophyll in leaf Water and minerals Stoma Guard Cells Chlorophyll Rationalised 2023-24  SCIENCE 4 Fig. 1.4  Leaves of various colours carbohydrates are made of carbon, hydrogen and oxygen."
Carbohydrates,Compound,Oxygen,Element,Contains,"1.3   Diagram showing photosynthesis Light energy Carbon dioxide Oxygen Chlorophyll in leaf Water and minerals Stoma Guard Cells Chlorophyll Rationalised 2023-24  SCIENCE 4 Fig. 1.4  Leaves of various colours carbohydrates are made of carbon, hydrogen and oxygen."
Proteins,Biochemical compound,Nitrogen,Element,Contain,But proteins are nitrogenous substances which contain nitrogen.
Plants,Organism,Nitrogen,Element,Obtain from,From where do the plants obtain nitrogen?
Nitrogen,Element,Air,Gas,Present in abundance,Recall that nitrogen is present in abundance in gaseous form in the air.
Plants,Organism,Nitrogen,Element,Absorbs,"However, plants cannot absorb nitrogen in this form."
Soil,Natural resource,Bacteria,Microorganism,Contains,Soil has certain bacteria that convert gaseous nitrogen into a usable form and release it into the soil.
Nitrogen,Element,Gaseous form,State of matter,Converted into,Soil has certain bacteria that convert gaseous nitrogen into a usable form and release it into the soil.
Bacteria,Microorganism,Usable form of nitrogen,Chemical compound,Converts into,Soil has certain bacteria that convert gaseous nitrogen into a usable form and release it into the soil.
Usable form of nitrogen,Chemical compound,Soil,Natural resource,Released into,Soil has certain bacteria that convert gaseous nitrogen into a usable form and release it into the soil.
Plants,Organism,Water,Chemical compound,Absorbed by,These are absorbed by the plants along with water.
Farmers,Occupation,Soil,Natural resource,Adding to,"Also, you might have seen farmers adding fertilisers rich in nitrogen to the soil."
Fertilisers,Product,Soil,Natural resource,Added to,"Also, you might have seen farmers adding fertilisers rich in nitrogen to the soil."
Nitrogen,Element,Fertilisers,Product,Rich in,"Also, you might have seen farmers adding fertilisers rich in nitrogen to the soil."
Plants,Organism,Nitrogen,Element,Requirement for,In this way the plants fulfil their requirements of nitrogen along with the other constituents.
Plants,Organism,Constituents,Chemical compound,Requirement for,In this way the plants fulfil their requirements of nitrogen along with the other constituents.
Plants,Organism,Proteins,Macromolecule,Synthesise,Plants can then synthesise proteins and vitamins.
Plants,Organism,Vitamins,Organic compound,Synthesise,Plants can then synthesise proteins and vitamins.
Plants,Organism type,Chlorophyll,Substance,Lack,1.3 OTHER MODES OF NUTRITION IN PLANTS There are some plants which do not have chlorophyll.
Plants,Organism,Food,Product,Depend on,Like humans and animals such plants depend on the food produced by other plants.
Plants,Organism,Other plants,Organism,Depend on,Like humans and animals such plants depend on the food produced by other plants.
"Slimy, green patches",Physical appearance,Ponds,Water body,Located in,"Since it deprives the host of valuable nutrients, You often see slimy, green patches in ponds or stagnant water bodies."
"Slimy, green patches",Physical appearance,Stagnant water bodies,Water body,Located in,"Since it deprives the host of valuable nutrients, You often see slimy, green patches in ponds or stagnant water bodies."
Host,Living organism,Nutrients,Valuable resource,Deprived of,"Since it deprives the host of valuable nutrients, You often see slimy, green patches in ponds or stagnant water bodies."
Organisms,Living beings,Algae,Type of organism,Called by,These are generally formed by the growth of organisms called algae.
Algae,Type of organism,Chloroplasts,Organelle,Forms,These are generally formed by the growth of organisms called algae.
Chloroplasts,Organelle,Chlorophyll,Pigment,Contains,They contain chlorophyll which gives them the green colour.
Algae,Organism,Food,Nutrient,Prepares by photosynthesis,Algae can also prepare their own food by photosynthesis.
Photosynthesis,Biological process,Algae,Organism,Occurs in,Algae can also prepare their own food by photosynthesis.
Leaves,Plant part,Iodine,Chemical compound,Tested with,The Perform iodine test with the leaves of both the plants as you did in Class VI.
Plants,Organism,Leaves,Plant part,Have,The Perform iodine test with the leaves of both the plants as you did in Class VI.
Class VI,Educational level,Iodine test,Experiment,Performed with,The Perform iodine test with the leaves of both the plants as you did in Class VI.
Plants,Organism,Class VI,Educational level,Studied in,The Perform iodine test with the leaves of both the plants as you did in Class VI.
Chloroplasts,Organelle,Plant cells,Cell type,Located in,Record your results.
Chloroplasts,Organelle,Thylakoids,Membrane,Contains,Record your results.
Thylakoids,Membrane,Chloroplasts,Organelle,Within,Record your results.
Photosynthesis,Biological process,Chloroplasts,Organelle,Occurs in,Record your results.
Light-dependent reactions,Biological process,Thylakoids,Membrane,Occur in,Record your results.
Pot,Object,Leaves,Plant part,Part of,"Now leave the pot which was earlier kept in the dark, in the sunlight for 3 – 4 days and perform the iodine test again on its leaves."
Sunlight,Physical agent,Pot,Object,Kept in,"Now leave the pot which was earlier kept in the dark, in the sunlight for 3 – 4 days and perform the iodine test again on its leaves."
Iodine test,Chemical test,Leaves,Plant part,Performed on,"Now leave the pot which was earlier kept in the dark, in the sunlight for 3 – 4 days and perform the iodine test again on its leaves."
Chloroplasts,Organelle,Plant cells,Cell type,Located in,Record your observations in your notebook.
Thylakoids,Membrane,Chloroplasts,Organelle,within,Record your observations in your notebook.
Photosynthesis,Biological process,Chloroplasts,Organelle,Occurs in,Record your observations in your notebook.
Light-dependent reactions,Biological process,Thylakoids,Membrane,Occur in,Record your observations in your notebook.
Leaves,Plant part,Chlorophyll,Chemical compound,Contains,The leaves other than green also have chlorophyll.
Red pigments,Pigment,Green color,Color,Mask,"The large amount of red, brown and other pigments mask the green colour (Fig. 1.4)."
Brown pigments,Pigment,Green color,Color,Mask,"The large amount of red, brown and other pigments mask the green colour (Fig. 1.4)."
Leaves,Plant organ,Photosynthesis,Biological process,Occurs in,Photosynthesis takes place in these leaves also.
Cuscuta,Plant,Parasite,Organism,Is called,Rationalised 2023-24  NUTRITION IN PLANTS 5 Cuscuta is called the parasite.
Insect,Animal,Pitcher,Plant part,Lands in,"When an insect lands in the pitcher, the lid closes and the trapped insect gets entangled into the hair."
Lid,Plant part,Pitcher,Plant part,Closes on,"When an insect lands in the pitcher, the lid closes and the trapped insect gets entangled into the hair."
Trapped insect,Animal,Pitcher,Plant part,Gets entangled into,"When an insect lands in the pitcher, the lid closes and the trapped insect gets entangled into the hair."
Hair,Plant part,Trapped insect,Animal,Entangles the,"When an insect lands in the pitcher, the lid closes and the trapped insect gets entangled into the hair."
Lid,Object,Insect,Animal,Traps,The lid closes and the insect is trapped.
Insect,Animal,Digestive juices,Secretion,Secreted in,The insect is digested by the digestive juices secreted in the pitcher and its nutrients are absorbed.
Pitcher,Plant organ,Digestive juices,Secretion,Contained in,The insect is digested by the digestive juices secreted in the pitcher and its nutrients are absorbed.
Nutrients,Chemical compound,Insect,Animal,Absorbed from,The insect is digested by the digestive juices secreted in the pitcher and its nutrients are absorbed.
Insect-eating plants,Plant type,Insects,Animal type,Prey on,Such insect-eating plants are called insectivorous plants.
Insectivorous plants,Plant type,Called,Verb,Described as,Such insect-eating plants are called insectivorous plants.
Plants,Organism,Nutrients,Chemical compound,Require,Is it possible that such plants do not get all the required nutrients from the soil in which they grow?
Soil,Environment,Plants,Organism,Provide,Is it possible that such plants do not get all the required nutrients from the soil in which they grow?
Cuscuta,Plant species,Host plant,Plant species,On,"Fig. 1.5  Cuscuta (Amarbel) on host plant Paheli wants to know whether mosquitoes, bed bugs, lice and leeches that suck our blood are also parasites."
Mosquitoes,Insect,Blood,Bodily fluid,Suck,"Fig. 1.5  Cuscuta (Amarbel) on host plant Paheli wants to know whether mosquitoes, bed bugs, lice and leeches that suck our blood are also parasites."
Bed bugs,Insect,Blood,Bodily fluid,Suck,"Fig. 1.5  Cuscuta (Amarbel) on host plant Paheli wants to know whether mosquitoes, bed bugs, lice and leeches that suck our blood are also parasites."
Lice,Insect,Blood,Bodily fluid,Suck,"Fig. 1.5  Cuscuta (Amarbel) on host plant Paheli wants to know whether mosquitoes, bed bugs, lice and leeches that suck our blood are also parasites."
Leeches,Annelid,Blood,Bodily fluid,Suck,"Fig. 1.5  Cuscuta (Amarbel) on host plant Paheli wants to know whether mosquitoes, bed bugs, lice and leeches that suck our blood are also parasites."
Mosquitoes,Insect,Parasites,Organism type,Considered as,"Fig. 1.5  Cuscuta (Amarbel) on host plant Paheli wants to know whether mosquitoes, bed bugs, lice and leeches that suck our blood are also parasites."
Bed bugs,Insect,Parasites,Organism type,Considered as,"Fig. 1.5  Cuscuta (Amarbel) on host plant Paheli wants to know whether mosquitoes, bed bugs, lice and leeches that suck our blood are also parasites."
Lice,Insect,Parasites,Organism type,Considered as,"Fig. 1.5  Cuscuta (Amarbel) on host plant Paheli wants to know whether mosquitoes, bed bugs, lice and leeches that suck our blood are also parasites."
Leeches,Annelid,Parasites,Organism type,Considered as,"Fig. 1.5  Cuscuta (Amarbel) on host plant Paheli wants to know whether mosquitoes, bed bugs, lice and leeches that suck our blood are also parasites."
Blood,Bodily fluid,Humans,Organism type,Belongs to,"Fig. 1.5  Cuscuta (Amarbel) on host plant Paheli wants to know whether mosquitoes, bed bugs, lice and leeches that suck our blood are also parasites."
Pitcher plant,Plant species,Leaf,Plant part,Modified into pitcher,Fig. 1.6  Pitcher plant showing lid and pitcher Leaf modified into pitcher Lid Boojho is confused.
Pitcher plant,Plant species,Lid,Plant part,Present on pitcher,Fig. 1.6  Pitcher plant showing lid and pitcher Leaf modified into pitcher Lid Boojho is confused.
Lid,Plant part,Pitcher,Plant part,Present on,Fig. 1.6  Pitcher plant showing lid and pitcher Leaf modified into pitcher Lid Boojho is confused.
Boojho,Person,Confused,Emotion,Experiencing,Fig. 1.6  Pitcher plant showing lid and pitcher Leaf modified into pitcher Lid Boojho is confused.
Pitcher plant,Plant species,Green,Color,Has,"If the pitcher plant is green and carries out photosynthesis, then why does it feed on insects?"
Pitcher plant,Plant species,Photosynthesis,Biological process,Carries out,"If the pitcher plant is green and carries out photosynthesis, then why does it feed on insects?"
Pitcher plant,Plant species,Insects,Animal,Feeds on,"If the pitcher plant is green and carries out photosynthesis, then why does it feed on insects?"
Plants,Organism,Green or other color,Characteristic,May be,Such plants may be green or of some other colour.
Plant,Organism,Fig. 1.6,Image,Depicted in,Look at the plant in Fig. 1.6.
Pitcher-like structure,Plant structure,Leaf,Plant organ,Modified part of,The pitcher-like or jug-like structure is the modified part of leaf.
Pitcher,Container,Saprotrophs,Organism,Contained in,Inside the pitcher there are 1.4 SAPROTROPHS You might have seen packets of mushrooms sold in the vegetable Rationalised 2023-24  SCIENCE 6 market.
Fluffy patches,Growth,Moist soils,Environment,Growing in,You may have also seen fluffy umbrella-like patches growing in moist soils or on rotting wood during the rainy season (Fig. 1.7).
Fluffy patches,Growth,Rotting wood,Environment,Growing on,You may have also seen fluffy umbrella-like patches growing in moist soils or on rotting wood during the rainy season (Fig. 1.7).
Rainy season,Season,Moist soils,Environment,Occurs during,You may have also seen fluffy umbrella-like patches growing in moist soils or on rotting wood during the rainy season (Fig. 1.7).
Boojho,Person,Organisms,Living being,Inquiry,Boojho wants to know how these organisms acquire nutrients.
Nutrients,Substance,Organisms,Living being,Acquire,Boojho wants to know how these organisms acquire nutrients.
They,Pronoun,Animals,Organism,Comparison,They do not have mouths like animals do.
Mouths,Anatomical structure,Animals,Organism,Possession,They do not have mouths like animals do.
They,Pronoun,Green plants,Organism,Comparison,They are not like green plants as they lack chlorophyll and cannot make food by photosynthesis.
Green plants,Organism,Chlorophyll,Molecule,Contains,They are not like green plants as they lack chlorophyll and cannot make food by photosynthesis.
Chlorophyll,Molecule,Photosynthesis,Biological process,Involved in,They are not like green plants as they lack chlorophyll and cannot make food by photosynthesis.
Bread,Food item,Water,Liquid,Moistened with,Activity 1.2 Take a piece of bread and moisten it with water.
Fig. 1.8,Figure,Fluffy patches,Visual appearance,Appear on,Leave it in a moist warm place for 2–3 days or until fluffy patches appear on them (Fig. 1.8).
Patches,Object,Microscope,Instrument,Observed with,Observe the patches under a microscope or a magnifying glass.
Patches,Object,Magnifying glass,Instrument,Observed with,Observe the patches under a microscope or a magnifying glass.
Cotton-like threads,Physical object,Piece of bread,Food item,Spread on,You will see cotton-like threads spread on the piece of bread.
Paheli,Person,Shoes,Object,Possessed by,"Paheli is keen to know whether her beautiful shoes, which she wore on special occasions, were spoiled by fungi during the rainy season."
Fungi,Organism,Shoes,Object,Caused damage to,"Paheli is keen to know whether her beautiful shoes, which she wore on special occasions, were spoiled by fungi during the rainy season."
Rainy season,Season,Fungi,Organism,Occurred during,"Paheli is keen to know whether her beautiful shoes, which she wore on special occasions, were spoiled by fungi during the rainy season."
She,Person,Fungi,Organism,Appearance,She wants to know how fungi appear suddenly during the rainy season.
Rainy season,Season,Fungi,Organism,Occurs during,She wants to know how fungi appear suddenly during the rainy season.
Organisms,Living being,Fungi,Organism type,Belongs to,These organisms are called fungi.
They,Pronoun,Bread,Food,Absorb nutrients from,They absorb the nutrients from the bread.
Organisms,Living beings,Nutrients,Substance,Take in,This mode of nutrition in which organisms take in nutrients from dead and decaying matter is called saprotrophic nutrition.
Saprotrophic nutrition,Mode of nutrition,Organisms,Living beings,Involves,This mode of nutrition in which organisms take in nutrients from dead and decaying matter is called saprotrophic nutrition.
Saprotrophs,Organism type,Mode of nutrition,Characteristic,have,Such organisms with saprotrophic mode of nutrition are called saprotrophs.
Fungi,Organism,Pickles,Food item,Grows on,"Fungi also grow on pickles, leather, clothes and other articles that are left in hot and humid weather for long time."
Fungi,Organism,Leather,Material,Grows on,"Fungi also grow on pickles, leather, clothes and other articles that are left in hot and humid weather for long time."
Fungi,Organism,Clothes,Material,Grows on,"Fungi also grow on pickles, leather, clothes and other articles that are left in hot and humid weather for long time."
Hot and humid weather,Weather condition,Pickles,Food item,Left in,"Fungi also grow on pickles, leather, clothes and other articles that are left in hot and humid weather for long time."
Hot and humid weather,Weather condition,Leather,Material,Left in,"Fungi also grow on pickles, leather, clothes and other articles that are left in hot and humid weather for long time."
Hot and humid weather,Weather condition,Clothes,Material,Left in,"Fungi also grow on pickles, leather, clothes and other articles that are left in hot and humid weather for long time."
Fungal spores,Microorganism,Air,Environment,Present in,The fungal spores are generally present  in the air.
Fig. 1.8,Image,Bread,Food item,Depicted in,When they land on Fig. 1.8  Fungi growing on bread Fig.
Fungi,Organism,Bread,Food item,Growing on,When they land on Fig. 1.8  Fungi growing on bread Fig.
Packet of mushrooms,Food item,Decayed material,Organic matter,Growing on,"1.7  Packet of mushrooms, a mushroom growing on decayed material Rationalised 2023-24  NUTRITION IN PLANTS 7 1.5 HOW NUTRIENTS ARE REPLENISHED IN THE SOIL Have you seen farmers spreading manure or fertilisers in the fields, or gardeners using them in lawns or in pots?"
Mushroom,Fungi,Decayed material,Organic matter,Growing on,"1.7  Packet of mushrooms, a mushroom growing on decayed material Rationalised 2023-24  NUTRITION IN PLANTS 7 1.5 HOW NUTRIENTS ARE REPLENISHED IN THE SOIL Have you seen farmers spreading manure or fertilisers in the fields, or gardeners using them in lawns or in pots?"
Farmers,Occupation,Fields,Land,Using for,"1.7  Packet of mushrooms, a mushroom growing on decayed material Rationalised 2023-24  NUTRITION IN PLANTS 7 1.5 HOW NUTRIENTS ARE REPLENISHED IN THE SOIL Have you seen farmers spreading manure or fertilisers in the fields, or gardeners using them in lawns or in pots?"
Manure,Organic matter,Fields,Land,Spread on,"1.7  Packet of mushrooms, a mushroom growing on decayed material Rationalised 2023-24  NUTRITION IN PLANTS 7 1.5 HOW NUTRIENTS ARE REPLENISHED IN THE SOIL Have you seen farmers spreading manure or fertilisers in the fields, or gardeners using them in lawns or in pots?"
Fertilisers,Chemical compounds,Fields,Land,Spread on,"1.7  Packet of mushrooms, a mushroom growing on decayed material Rationalised 2023-24  NUTRITION IN PLANTS 7 1.5 HOW NUTRIENTS ARE REPLENISHED IN THE SOIL Have you seen farmers spreading manure or fertilisers in the fields, or gardeners using them in lawns or in pots?"
Gardeners,Occupation,Lawns,Land,Using on,"1.7  Packet of mushrooms, a mushroom growing on decayed material Rationalised 2023-24  NUTRITION IN PLANTS 7 1.5 HOW NUTRIENTS ARE REPLENISHED IN THE SOIL Have you seen farmers spreading manure or fertilisers in the fields, or gardeners using them in lawns or in pots?"
Gardeners,Occupation,Pots,Containers,Using in,"1.7  Packet of mushrooms, a mushroom growing on decayed material Rationalised 2023-24  NUTRITION IN PLANTS 7 1.5 HOW NUTRIENTS ARE REPLENISHED IN THE SOIL Have you seen farmers spreading manure or fertilisers in the fields, or gardeners using them in lawns or in pots?"
Plants,Organism,Minerals,Inorganic compound,Absorb from,You learnt that plants absorb minerals and nutrients from the soil.
Plants,Organism,Nutrients,Organic compound,Absorb from,You learnt that plants absorb minerals and nutrients from the soil.
Soil,Environment,Minerals,Inorganic compound,Provide to,You learnt that plants absorb minerals and nutrients from the soil.
Soil,Environment,Nutrients,Organic compound,Provide to,You learnt that plants absorb minerals and nutrients from the soil.
Amounts,Physical quantity,Soil,Natural resource,Located in/associated with,"So, their amounts in the soil keep on declining."
Declining,Process,Amounts,Physical quantity,Describes the change in amount over time,"So, their amounts in the soil keep on declining."
Fertilisers,Product,Manures,Product,Contain,"Fertilisers and manures contain nutrients such as nitrogen, potassium, phosphorous, etc."
Fertilisers,Product,Nitrogen,Nutrient,Contain,"Fertilisers and manures contain nutrients such as nitrogen, potassium, phosphorous, etc."
Fertilisers,Product,Potassium,Nutrient,Contain,"Fertilisers and manures contain nutrients such as nitrogen, potassium, phosphorous, etc."
Fertilisers,Product,Phosphorous,Nutrient,Contain,"Fertilisers and manures contain nutrients such as nitrogen, potassium, phosphorous, etc."
Manures,Product,Nitrogen,Nutrient,Contain,"Fertilisers and manures contain nutrients such as nitrogen, potassium, phosphorous, etc."
Manures,Product,Potassium,Nutrient,Contain,"Fertilisers and manures contain nutrients such as nitrogen, potassium, phosphorous, etc."
Manures,Product,Phosphorous,Nutrient,Contain,"Fertilisers and manures contain nutrients such as nitrogen, potassium, phosphorous, etc."
Nutrients,Substance,Soil,Natural resource,Added to,These nutrients need to be added from time to time to enrich the soil.
Plants,Organism,Nutrient requirement,Requirement,Fulfil,We can grow plants and keep them healthy if we can fulfil the nutrient requirement of plants.
Crop plants,Plant type,Nitrogen,Element,Absorb,Usually crop plants absorb a lot of nitrogen and the soil becomes deficient in nitrogen.
Soil,Environmental component,Nitrogen,Element,Becomes deficient in,Usually crop plants absorb a lot of nitrogen and the soil becomes deficient in nitrogen.
Nitrogen gas,Chemical compound,Air,Atmosphere,Present in,"You learnt that though nitrogen gas is available in plenty in the air, plants cannot use it in the manner they can use carbon dioxide."
Plants,Organism,Nitrogen gas,Chemical compound,Cannot use,"You learnt that though nitrogen gas is available in plenty in the air, plants cannot use it in the manner they can use carbon dioxide."
Carbon dioxide,Chemical compound,Plants,Organism,Can use in a manner,"You learnt that though nitrogen gas is available in plenty in the air, plants cannot use it in the manner they can use carbon dioxide."
They,Unknown,Nitrogen,Element,Needed in,They need nitrogen in a soluble form.
Nitrogen,Element,Soluble form,Unknown,Needed in,They need nitrogen in a soluble form.
Rhizobium,Bacterium,Atmospheric nitrogen,Chemical compound,Converts into usable form,The bacterium called Rhizobium can take atmospheric nitrogen and convert it into a usable form.
Rhizobium,Bacterium,Food,Nutrient,Cannot make,But Rhizobium cannot make its own food.
Plants,Organism,Bacteria,Organism,Interact with,"In return, the plants provide food and shelter to the bacteria."
Boojho,Person,Grandfather,Person,Related,They can reduce the use of nitrogenous fertiliser where leguminous Boojho says once his grandfather told him that his wheat fields were spoiled by a fungus.
Nitrogenous fertiliser,Chemical compound,Use,Action,Reduces,They can reduce the use of nitrogenous fertiliser where leguminous Boojho says once his grandfather told him that his wheat fields were spoiled by a fungus.
Leguminous,Plant type,Fields,Area,Grown in,They can reduce the use of nitrogenous fertiliser where leguminous Boojho says once his grandfather told him that his wheat fields were spoiled by a fungus.
Fungus,Organism,Wheat fields,Area,Caused spoilage in,They can reduce the use of nitrogenous fertiliser where leguminous Boojho says once his grandfather told him that his wheat fields were spoiled by a fungus.
Fungi,Organism type,Diseases,Medical condition,Cause,He wants to know if fungi cause diseases also.
Paheli,Person,Him,Person,Told,"Paheli told him that many fungi like yeast and mushrooms are useful, but some fungi cause diseases in plants, animals including humans."
Fungi,Organism,Yeast,Organism,Type of,"Paheli told him that many fungi like yeast and mushrooms are useful, but some fungi cause diseases in plants, animals including humans."
Fungi,Organism,Mushrooms,Organism,Type of,"Paheli told him that many fungi like yeast and mushrooms are useful, but some fungi cause diseases in plants, animals including humans."
Fungi,Organism,Plants,Organism,Cause diseases in,"Paheli told him that many fungi like yeast and mushrooms are useful, but some fungi cause diseases in plants, animals including humans."
Fungi,Organism,Animals,Organism,Cause diseases in,"Paheli told him that many fungi like yeast and mushrooms are useful, but some fungi cause diseases in plants, animals including humans."
Fungi,Organism,Humans,Organism,Cause diseases in,"Paheli told him that many fungi like yeast and mushrooms are useful, but some fungi cause diseases in plants, animals including humans."
Diseases,Condition,Plants,Organism,Caused by,"Paheli told him that many fungi like yeast and mushrooms are useful, but some fungi cause diseases in plants, animals including humans."
Diseases,Condition,Animals,Organism,Caused by,"Paheli told him that many fungi like yeast and mushrooms are useful, but some fungi cause diseases in plants, animals including humans."
Diseases,Condition,Humans,Organism,Caused by,"Paheli told him that many fungi like yeast and mushrooms are useful, but some fungi cause diseases in plants, animals including humans."
Fungi,Organism,Medicines,Product,Used as,Some fungi are also used as medicines.
Organisms,Living beings,Shelter,Living space,Share,Some organisms live together and share both shelter and nutrients.
Organisms,Living beings,Nutrients,Food,Share,Some organisms live together and share both shelter and nutrients.
Shelter,Living space,Nutrients,Food,Shared by,Some organisms live together and share both shelter and nutrients.
Fungi,Organism,Roots,Plant part,Live inside,"For example, certain fungi live inside the roots of plants."
Plants,Organism,Fungus,Organism,Interact,"The plants provide nutrients to the fungus and, in return, the fungus provides water and certain nutrients."
Nutrients,Substance,Plants,Organism,Provided by,"The plants provide nutrients to the fungus and, in return, the fungus provides water and certain nutrients."
Water,Substance,Fungus,Organism,Provided by,"The plants provide nutrients to the fungus and, in return, the fungus provides water and certain nutrients."
Certain nutrients,Substance,Fungus,Organism,Provided by (in addition to water),"The plants provide nutrients to the fungus and, in return, the fungus provides water and certain nutrients."
