Entity,Definition,Images
Boiling,Boiling is the rapid phase transition from liquid to gas or vapor; the reverse of boiling is condensation.,"['https://upload.wikimedia.org/wikipedia/commons/d/dd/Boiling_water_-_close_up_%28short_shutter_speed%29.ogv', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8d/Flickr_-_cyclonebill_-_Pasta_%281%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Goblet_Glass_%28Banquet%29.svg']"
Common characteristics,Not found on Wikipedia,['Image not found']
Eye removal,Not found on Wikipedia,['Image not found']
Honey bee hive,Not found on Wikipedia,['Image not found']
Modern day scientists,Not found on Wikipedia,['Image not found']
The Little Balance [La Balancitta],Not found on Wikipedia,['Image not found']
Grit and sand removal tank,Not found on Wikipedia,['Image not found']
Chemical composition,"A chemical composition specifies the identity, arrangement, and ratio of the elements making up a compound.",['https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']
Aquatic flora,Not found on Wikipedia,['Image not found']
Each solid,Not found on Wikipedia,['Image not found']
Uninucleate,Not found on Wikipedia,['https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']
Galvanising,Not found on Wikipedia,['Image not found']
(b) Plants,Not found on Wikipedia,['Image not found']
speed of sound,The speed of sound is the distance travelled per unit of time by a sound wave as it propagates through an elastic medium.,"['https://upload.wikimedia.org/wikipedia/commons/9/9d/Comparison_US_standard_atmosphere_1962.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f5/FA-18_Hornet_breaking_sound_barrier_%287_July_1999%29_-_filtered.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/Onde_cisaillement_impulsion_1d_30_petit.gif', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Onde_compression_impulsion_1d_30_petit.gif']"
Plant leaves,Not found on Wikipedia,['Image not found']
High frequency whistles,Not found on Wikipedia,['Image not found']
Objects 2,Not found on Wikipedia,['Image not found']
Plant waste products,Not found on Wikipedia,['Image not found']
Component colours,Not found on Wikipedia,['Image not found']
Top Soil,Not found on Wikipedia,['Image not found']
Houses,Not found on Wikipedia,['Image not found']
22 parts,Not found on Wikipedia,['Image not found']
Bindweed,Bindweed may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Well,"A well is an excavation or structure created in the ground by digging, driving, or drilling to access liquid resources, usually water.","['https://upload.wikimedia.org/wikipedia/commons/6/6a/22-alimenti%2C_acqua_dolce%2CTaccuino_Sanitatis%2C_Casanatense_418.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/AquaBellaPickard-v.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Cleaning_a_well_in_Yaounde.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Cone_penetration_test.svg']"
Male children,Not found on Wikipedia,['Image not found']
Naphthalene balls,Not found on Wikipedia,['Image not found']
Kerosene oil,Not found on Wikipedia,['Image not found']
Questioned,Not found on Wikipedia,['Image not found']
Eyepiece,"An eyepiece, or ocular lens, is a type of lens that is attached to a variety of optical devices such as telescopes and microscopes.","['https://upload.wikimedia.org/wikipedia/commons/c/c7/Clave_25mm_eyepiece.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b2/Comparison_axial_lateral_chromatic_aberration.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg']"
Ecosystem,An ecosystem (or ecological system) consists of all the organisms and the  physical environment with which they interact.: 458  These biotic and abiotic components are linked together through nutrient cycles and energy flows.,"['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Avalanche_Lake%2C_looking_south.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f5/Baja_California_Desert.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Blue_Linckia_Starfish.JPG', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg']"
Parachute cloths,Not found on Wikipedia,['Image not found']
Radiation beam,Not found on Wikipedia,['Image not found']
Dye adsorption,Not found on Wikipedia,['Image not found']
Orbits,Not found on Wikipedia,['Image not found']
Tomatoes,Not found on Wikipedia,['Image not found']
Electroplating activity,Not found on Wikipedia,['Image not found']
Higher altitude,Not found on Wikipedia,['Image not found']
Medium,Medium may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Uric acid,"Uric acid is a heterocyclic compound of carbon, nitrogen, oxygen, and hydrogen with the formula C5H4N4O3.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4e/Equilibrium2.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Fluorescent_uric_acid.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Harns%C3%A4ure_Enolform.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9b/Harns%C3%A4ure_Ketoform.svg']"
Stroke,A stroke is a medical condition in which poor blood flow to the brain causes cell death.,"['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Blausen_0836_Stroke.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f7/CDC_video_about_stroke_2.ogv', 'https://upload.wikimedia.org/wikipedia/commons/f/f7/CDC_video_about_stroke_2.ogv', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/CDC_video_about_stroke_emergency_treatment.ogv']"
d) Hydrochloric acid,Not found on Wikipedia,['Image not found']
Drought affected people,Not found on Wikipedia,['Image not found']
No germination,Not found on Wikipedia,['Image not found']
Countries of the world,Not found on Wikipedia,['Image not found']
Secondary level,Not found on Wikipedia,['Image not found']
Groundnut,Groundnut may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Fundamental particles,Not found on Wikipedia,['Image not found']
Mass of objects,Not found on Wikipedia,['Image not found']
New moon,"In astronomy, the new moon is the first lunar phase, when the Moon and Sun have the same ecliptic longitude.","['https://upload.wikimedia.org/wikipedia/commons/0/0b/Amavasya_and_Prathama_tithi.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b9/Eclipse_vs_new_or_full_moons%2C_annotated.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg']"
Mutual interactions,Not found on Wikipedia,['Image not found']
Cold surroundings,Not found on Wikipedia,['Image not found']
Rockets,Not found on Wikipedia,['Image not found']
Twelve pieces,Not found on Wikipedia,['Image not found']
Carry messages,Not found on Wikipedia,['Image not found']
Female gamete,Not found on Wikipedia,['Image not found']
Wave,"In physics, mathematics, engineering, and related fields, a wave is a propagating dynamic disturbance (change from equilibrium) of one or more quantities.","['https://upload.wikimedia.org/wikipedia/commons/4/43/2006-01-14_Surface_waves.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/97/Amplitudemodulation.gif', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Circular.Polarization.Circularly.Polarized.Light_Circular.Polarizer_Creating.Left.Handed.Helix.View.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/15/Drum_vibration_mode01.gif']"
One sound,Not found on Wikipedia,['Image not found']
Sickle,"A sickle, bagging hook, reaping-hook or grasshook is a single-handed agricultural tool designed with variously curved blades and typically used for harvesting, or reaping, grain crops or cutting succulent forage chiefly for feeding livestock, either freshly cut or dried as hay.","['https://upload.wikimedia.org/wikipedia/commons/5/5e/1255_-_Keramikos_Museum%2C_Athens_-_Iron_tool_-_Photo_by_Giovanni_Dall%27Orto%2C_Nov_12_2009.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e8/BLW_Stained_Glass_Panel_%28August%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/08/ClaySumerianSickle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/82/Hasiya_in_khurpeto.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/Hasiya_krish.jpg']"
Protection,Protection is any measure taken to guard a thing against damage caused by outside forces.,"['https://upload.wikimedia.org/wikipedia/commons/7/7b/CDCA_auto_repair_notice.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/46/Cybersecurity.png', 'https://upload.wikimedia.org/wikipedia/commons/4/48/Dresden-Zwinger-Armoury-Armor.02.JPG', 'https://upload.wikimedia.org/wikipedia/commons/d/d7/Green_Sea_Turtle_grazing_seagrass.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Safety_instructions_at_a_construction_site_in_China.JPG']"
Blood pressure,Blood pressure (BP) is the pressure of circulating blood against the walls of blood vessels.,"['https://upload.wikimedia.org/wikipedia/commons/8/85/Arterial-blood-pressure-curve.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/21/Blood_Pressure_-_Take_Another_Person.png', 'https://upload.wikimedia.org/wikipedia/commons/c/c6/Blood_pressure_monitoring.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/42/Blutdruck.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Circulation_pressures_v1.tif']"
Day-to-day life,Not found on Wikipedia,['Image not found']
Ep,Not found on Wikipedia,['Image not found']
Spread,Spread may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Hatching,Hatching (French: hachure) is an artistic technique used to create tonal or shading effects by drawing (or painting or scribing) closely spaced parallel lines.,"['https://upload.wikimedia.org/wikipedia/commons/4/4e/AGAD_Albrecht_D%C3%BCrer_%E2%80%93_The_Sudarium.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/32/Cam_follower-stud_style.png', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Philadelphia_County_Prison_%28Moyamensing_Prison%29_Philadelphia_PA_%28AD5%29_00005a.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Veronica_detail.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/WPVA-khamsa.svg']"
Solution A,Not found on Wikipedia,['Image not found']
Activity 11.4,Not found on Wikipedia,['Image not found']
Phone call,Not found on Wikipedia,['Image not found']
Belgian Blue,"The Belgian Blue (French: 'Blanc-Bleu Belge', Dutch: 'Belgisch Witblauw', both literally meaning ""Belgian White-Blue"") is a breed of beef cattle from Belgium.","['https://upload.wikimedia.org/wikipedia/commons/2/20/Belgische_blauwe.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fc/Kamp-_Bambino_vd_ijzer_copy.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/Sectio_caesarea.jpg']"
Mixtures of elements and compounds,Not found on Wikipedia,['Image not found']
Variable resistance,Not found on Wikipedia,['Image not found']
8 mL of HCl solution,Not found on Wikipedia,['Image not found']
Shrubs,Not found on Wikipedia,['Image not found']
Characters,Not found on Wikipedia,['Image not found']
Factory,"A factory, manufacturing plant or a production plant is an industrial facility, often a complex consisting of several buildings filled with machinery, where workers manufacture items or operate machines which process each item into another.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Adolph_Menzel_-_Eisenwalzwerk_-_Google_Art_Project.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/83/Airacobra_P39_Assembly_LOC_02902u.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ea/Apmisc-MSFC-6870792.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c8/At_Boeing%27s_Everett_factory_near_Seattle_%289130160595%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Z,"Z (or z) is the 26th and last letter of the Latin alphabet, as used in the modern English alphabet, the alphabets of other western European languages and others worldwide.","['https://upload.wikimedia.org/wikipedia/commons/f/f1/BSL_letter_Z.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Braille_Z.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/EtruscanZ-01.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c6/ICS_Zulu.svg']"
Blind spot,Blind spot or Blindspot may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Fig 7.3,Not found on Wikipedia,['Image not found']
Germ,Germ or germs may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Latent heat,"Latent heat (also known as latent energy or heat of transformation) is energy released or absorbed, by a body or a thermodynamic system, during a constant-temperature process — usually a first-order phase transition.","['https://upload.wikimedia.org/wikipedia/commons/2/22/Carnot_heat_engine_2.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9c/Heat_of_Vaporization_%28Benzene%2BAcetone%2BMethanol%2BWater%29.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Phase_change_-_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg']"
Rubber products,Not found on Wikipedia,['Image not found']
Stem of funnel,Not found on Wikipedia,['Image not found']
Cloud,"In meteorology, a cloud is an aerosol consisting of a visible mass of miniature liquid droplets, frozen crystals, or other particles suspended in the atmosphere of a planetary body or similar space.","['https://upload.wikimedia.org/wikipedia/commons/2/20/Benjamin_West_-_Joshua_passing_the_River_Jordan_with_the_Ark_of_the_Covenant_-_Google_Art_Project.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/95/Burning_Yellow_Sunset.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ea/Cirrus-fibratus.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Cirrus_sky_panorama.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2e/Cloud_evolution_in_under_a_minute.ogv']"
Talking books,Not found on Wikipedia,['Image not found']
Moist,"Moist, describing the presence of moisture, may refer to:","['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Growth abnormalities,Not found on Wikipedia,['Image not found']
Meningitis,"Meningitis is acute or chronic inflammation of the protective membranes covering the brain and spinal cord, collectively called the meninges.","['https://upload.wikimedia.org/wikipedia/commons/0/0c/Ceftriaxone_structure.png', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Charlotte_Cleverley-Bisman_Meningicoccal_Disease.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/Cscr-featured.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1d/MenigitisCSF2019.jpg']"
Placenta,The placenta is a temporary embryonic and later fetal organ that begins developing from the blastocyst shortly after implantation.,"['https://upload.wikimedia.org/wikipedia/commons/2/2d/2910_The_Placenta-02.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f7/CMV_placentitis1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/20/CMV_placentitis1_mini.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/15/CMV_placentitis2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Gate,A gate or gateway is a point of entry to or from a space enclosed by walls.,"['https://upload.wikimedia.org/wikipedia/commons/9/97/Ancient_gate_of_Suandok_temple_%2C_Chiangmai_%2C_Thailand.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2f/Ariyalai_Mahamari_Amman_Kovil_%28%E0%AE%85%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%BE%E0%AE%B2%E0%AF%88_%E0%AE%AE%E0%AE%95%E0%AE%BE%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AE%BF_%E0%AE%85%E0%AE%AE%E0%AF%8D%E0%AE%AE%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AF%8B%E0%AE%B5%E0%AE%BF%E0%AE%B2%E0%AF%8D%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Big_single-family_home_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/Castel_B%C3%A9ranger%2C_February_16%2C_2013.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0c/Chinese_type_gate_from_kerala.jpg']"
Chest pain,"Chest pain is pain or discomfort in the chest, typically the front of the chest.","['https://upload.wikimedia.org/wikipedia/commons/f/f5/GERD.png', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Heart_Attack_Chest_Pain.png', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Heart_coronary_artery_lesion.jpg']"
uv,Not found on Wikipedia,['Image not found']
Trophic level,The trophic level of an organism is the position it occupies in a food web.,"['https://upload.wikimedia.org/wikipedia/commons/8/89/Aquila_chrysaetos_1_%28Bohu%C5%A1_%C4%8C%C3%AD%C4%8Del%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/18/Bluefin-big.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/ConsumerWikiPDiag.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/Ecological_Pyramid.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b2/Estuary-mouth.jpg']"
Micro camera,Not found on Wikipedia,['Image not found']
Jute leaf,Not found on Wikipedia,['Image not found']
Moisture-proof container,Not found on Wikipedia,['Image not found']
Five sensory organs,Not found on Wikipedia,['Image not found']
Dead organic matter,Not found on Wikipedia,['Image not found']
Fish,"Fish are aquatic, craniate, gill-bearing animals that lack limbs with digits.","['https://upload.wikimedia.org/wikipedia/commons/7/7e/Acanthodes_BW.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/60/Acipenser_gueldenstaedtii.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5a/Amia_calva.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Amia_calva_4.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3d/Antennarius_striatus.jpg']"
speed,"In everyday use and in kinematics, the speed (commonly referred to as v) of an object is the magnitude of the change of its position over time or the magnitude of the change of its position per unit of time; it is thus a scalar quantity.","['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/24/Motorcyclist_in_Midtown_Manhattan-L1002704.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
Container A,Not found on Wikipedia,['Image not found']
Shelter facilities,Not found on Wikipedia,['Image not found']
Swachh Bharat Mission SBM,Not found on Wikipedia,['Image not found']
Lustrous,Not found on Wikipedia,['Image not found']
Bulb filaments,Not found on Wikipedia,['Image not found']
Bed sheets,Not found on Wikipedia,['Image not found']
Kenya,"Kenya, officially the Republic of Kenya (Swahili: Jamhuri ya Kenya), is a country in East Africa.","['https://upload.wikimedia.org/wikipedia/commons/b/be/2012_Olympics_-_Womens_5000m_start_4.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/Africa_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Africa_1909_16a.png', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/African_Kids_working_in_the_family_farm.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Anglophone_World.svg']"
Macrobrachium rosenbergii,"Macrobrachium rosenbergii, also known as the giant river prawn or giant freshwater prawn, is a commercially important species of palaemonid freshwater prawn.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/98/Kung_kam_kram.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Macrobrachium_rosenbergii.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5a/Status_iucn3.1_LC.svg']"
South seeking end,Not found on Wikipedia,['Image not found']
Parallel rays,Not found on Wikipedia,['Image not found']
Clear area,Not found on Wikipedia,['Image not found']
Genetic disorders,Not found on Wikipedia,['Image not found']
Embryological Evidences,Not found on Wikipedia,['Image not found']
One cap,Not found on Wikipedia,['Image not found']
Solution in beaker with more water,Not found on Wikipedia,['Image not found']
Every picture,Not found on Wikipedia,['Image not found']
Food source,Not found on Wikipedia,['Image not found']
Larger particles,Not found on Wikipedia,['Image not found']
High Himalayas,Not found on Wikipedia,['Image not found']
Cellular telephone communication,Not found on Wikipedia,['Image not found']
Brown colour,Not found on Wikipedia,['Image not found']
Majority,"A majority, also called a simple majority or absolute majority to distinguish it from related terms, is more than half of the total.","['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Symbol_portal_class.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Millets,Not found on Wikipedia,['Image not found']
Diamond,Diamond is a solid form of the element carbon with its atoms arranged in a crystal structure called diamond cubic.,"['https://upload.wikimedia.org/wikipedia/commons/a/a3/Am%C3%A9thystre_sceptre2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/Apollo_synthetic_diamond.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e0/Carbon-phase-diagramp.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/Cscr-featured.svg']"
No entity found,Not found on Wikipedia,['Image not found']
(2),Not found on Wikipedia,['Image not found']
"Nitrogen oxides (N2O, NO, NO2)",Not found on Wikipedia,['Image not found']
Save,"Save, SAVE, or Saved may refer to:","['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Vector_search_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Heterotrophic nutrition,Heterotrophic nutrition is a mode of nutrition in which organisms depend upon other organisms for food to survive.,['Image not found']
Investigation,Investigation or Investigations may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Fig. 13.12(b),Not found on Wikipedia,['Image not found']
