Entity,Definition,Images
Polishing,"Polishing is the process of creating a smooth and shiny surface by rubbing it or by applying a chemical treatment, leaving a clean surface with a significant specular reflection (still limited by the index of refraction of the material according to the Fresnel equations).","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
No gametes,Not found on Wikipedia,['Image not found']
Mixtures and Compounds,Not found on Wikipedia,['Image not found']
Several indicators,Not found on Wikipedia,['Image not found']
Every point on the wire,Not found on Wikipedia,['Image not found']
Slow burning,Not found on Wikipedia,['Image not found']
Earthworm,An earthworm is a terrestrial invertebrate that belongs to the phylum Annelida.,"['https://upload.wikimedia.org/wikipedia/commons/e/ea/Annelid_redone_w_white_background.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/Close_up_of_earthworm.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Earthworm.JPG', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/EarthwormChonita01.JPG']"
Toilet seats,Not found on Wikipedia,['Image not found']
Adult person,Not found on Wikipedia,['Image not found']
Kolkata 700 114,Not found on Wikipedia,['Image not found']
Connecting animals,Not found on Wikipedia,['Image not found']
Balance B,Not found on Wikipedia,['Image not found']
Soft drink,"A soft drink (see § Terminology for other names) is any water-based flavored drink, usually but not necessarily carbonated, and typically including added sweetener.","['https://upload.wikimedia.org/wikipedia/commons/d/d3/%281883%29_SCHWEPPES_MINERAL-WATERS.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/81/016_Coca-Cola_vending_machine_at_Kyoto_Station%2C_Japan_-_%E3%82%B3%E3%82%AB%E3%82%B3%E3%83%BC%E3%83%A9_%E8%87%AA%E5%8B%95%E8%B2%A9%E5%A3%B2%E6%A9%9F.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/15/7-Up_Bottlers_Flavor_jug.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg']"
This region,Not found on Wikipedia,['Image not found']
Living entity,Not found on Wikipedia,['Image not found']
0.5 m,Not found on Wikipedia,['Image not found']
Law of conservation of energy,Not found on Wikipedia,['Image not found']
Andre-Marie Ampere,Not found on Wikipedia,['Image not found']
Cut,Cut may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
1 meter,Not found on Wikipedia,['Image not found']
Vessel,Vessel(s) or The Vessel may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Atomic theory,Atomic theory is the scientific theory that matter is composed of particles called atoms.,"['https://upload.wikimedia.org/wikipedia/commons/1/17/Bohr_atom_animation_2.gif', 'https://upload.wikimedia.org/wikipedia/commons/3/39/Daltons_symbols.gif', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/Geiger-Marsden_experiment_expectation_and_result.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/23/Helium_atom_QM.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Isopentane-3D-balls.png']"
Gun,A gun is a device or ranged weapon designed to throw a projectile using pressure or explosive force.,"['https://upload.wikimedia.org/wikipedia/commons/b/b2/105mm_tank_gun_Rifling.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Breech_loading_arquebus_with_bayonet_1606.png', 'https://upload.wikimedia.org/wikipedia/commons/2/2e/Gatling_gun_1865.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c4/HandBombardWesternEurope1380.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Henry_Winchester_Musket.JPG']"
Loop,Loop or LOOP may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Spoilt food,Not found on Wikipedia,['Image not found']
100 gram,Not found on Wikipedia,['Image not found']
Travel,Travel is the movement of people between distant geographical locations.,"['https://upload.wikimedia.org/wikipedia/commons/4/49/British_Airways_747-400_World_Traveller_cabin.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Cross_Harbour_Tunnel_%281%29.JPG', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/MF_Skania_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Nilgiri_Mountain_Train.jpg']"
Salt packets,Not found on Wikipedia,['Image not found']
Egg (ovum),Not found on Wikipedia,['Image not found']
Cleaning agents,Not found on Wikipedia,['Image not found']
Compounds of nitrogen,Not found on Wikipedia,['Image not found']
Not a perfect sphere,Not found on Wikipedia,['Image not found']
Areolar connective tissue,Not found on Wikipedia,['Image not found']
Polymers,Not found on Wikipedia,['Image not found']
Layer 2,Not found on Wikipedia,['Image not found']
Thunderbolt,A thunderbolt or lightning bolt is a symbolic representation of lightning when accompanied by a loud thunderclap.,"['https://upload.wikimedia.org/wikipedia/commons/9/94/Capua_%C3%86_Quadrunx_670058.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/CircleN.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Epirus234bc.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4c/Greek_Silver_Stater_of_Olympia_%28Elis%29.jpg']"
Strength of alkali,Not found on Wikipedia,['Image not found']
Mercury thread,Not found on Wikipedia,['Image not found']
Ovaries,Not found on Wikipedia,['Image not found']
Bury,Bury may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Tobacco plants,Not found on Wikipedia,['Image not found']
Jelly like fluid,Not found on Wikipedia,['Image not found']
Separate,Separate or separates may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Convex lens,Not found on Wikipedia,['Image not found']
Iron rod,Iron rod or rod of iron may refer to:,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Increase in salinity,Not found on Wikipedia,['Image not found']
House building materials,Not found on Wikipedia,['Image not found']
Cups,Not found on Wikipedia,['Image not found']
Landphone,Not found on Wikipedia,['Image not found']
In-vitro fertilization,Not found on Wikipedia,['Image not found']
Hear,Not found on Wikipedia,['Image not found']
Unbalanced diet,Not found on Wikipedia,['Image not found']
Prism,Prism usually refers to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Eukaryotic cell,Not found on Wikipedia,['Image not found']
Almond,"The almond (Prunus amygdalus, syn.","['https://upload.wikimedia.org/wikipedia/commons/4/47/AlmondShakerbeforeafter.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/92/Almond_blossom02_aug_2007.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Almond_shell.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Almond_tree_in_blossom_%28Israel%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Almond_with_two_kernels.jpg']"
Strengthened,Not found on Wikipedia,['Image not found']
Microscope slide,"A microscope slide is a thin flat piece of glass, typically 75 by 26 mm (3 by 1 inches) and about 1 mm thick, used to hold objects for examination under a microscope.","['https://upload.wikimedia.org/wikipedia/commons/1/13/5901_lores.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/Fedolemez.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f6/Filippo_pacini_cholera_discovery.gif', 'https://upload.wikimedia.org/wikipedia/commons/4/46/Journal.pone.0079155.g001_Slide_of_holotype_of_Lethacotyle_fijiensis_Manter_%26_Prince%2C_1953.png', 'https://upload.wikimedia.org/wikipedia/commons/a/ab/MicroscopeSlides.jpg']"
Italy,"Italy (Italian: Italia [iˈtaːlja] (listen)), officially the Italian Republic or the Republic of Italy, is a country in Southern and Western Europe.","['https://upload.wikimedia.org/wikipedia/commons/b/bb/%27David%27_by_Michelangelo_Fir_JBU004.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/01_partigiani_a_milano1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1e/2015_sicily.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/81/2020_coronavirus_task_force.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Agreement_on_the_European_Economic_Area.svg']"
Life outside the school,Not found on Wikipedia,['Image not found']
Lighter box,Not found on Wikipedia,['Image not found']
Vines,Not found on Wikipedia,['Image not found']
Glass made adapter,Not found on Wikipedia,['Image not found']
m s-2,Not found on Wikipedia,['Image not found']
5% solution,Not found on Wikipedia,['Image not found']
Mass awareness,Not found on Wikipedia,['Image not found']
acceleration,"In mechanics, acceleration is the rate of change of the velocity of an object with respect to time.","['https://upload.wikimedia.org/wikipedia/commons/3/30/1-D_kinematics.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/Acceleration_as_derivative_of_velocity_along_trajectory.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Acceleration_components.JPG', 'https://upload.wikimedia.org/wikipedia/commons/5/58/Acceleration_vector_plane_polar_coords.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9e/Bola.gif']"
Double concave lens,Not found on Wikipedia,['Image not found']
Non biodegradable,Not found on Wikipedia,['Image not found']
Number of atoms,Not found on Wikipedia,['Image not found']
Spoon bulged outwards,Not found on Wikipedia,['Image not found']
Melon,"A melon is any of various plants of the family Cucurbitaceae with sweet, edible, and fleshy fruit.","['https://upload.wikimedia.org/wikipedia/commons/c/c3/Cantaloupe_Melon_cross_section.png', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/Cantaloupe_and_canary_melon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b2/Cucumis_melo_inodorus_argos.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Cucumis_melo_on_white_background.jpg']"
Size of the egg-laying bird,Not found on Wikipedia,['Image not found']
Speed of light,"The speed of light in vacuum, commonly denoted c, is a universal physical constant that is exactly equal to 299,792,458 metres per second (approximately 300,000 kilometres per second; 186,000 miles per second; 671 million miles per hour).","['https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/Cscr-featured.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9d/Earth_and_Moon_speed_of_light_by_James_O%27Donoghue.gif', 'https://upload.wikimedia.org/wikipedia/commons/2/2e/Earth_to_Sun_-_en.png']"
Reflecting surfaces,Not found on Wikipedia,['Image not found']
Speaking,Not found on Wikipedia,['Image not found']
Impure copper,Not found on Wikipedia,['Image not found']
Growing plants,Not found on Wikipedia,['Image not found']
Guanine (G),Not found on Wikipedia,['Image not found']
Manufacturing surface,Not found on Wikipedia,['Image not found']
Arabian Nights,Not found on Wikipedia,['Image not found']
Infants,Not found on Wikipedia,['Image not found']
Fine root hair,Not found on Wikipedia,['Image not found']
Gold coating,Not found on Wikipedia,['Image not found']
Gasoline,"Gasoline (US, CA; ) or petrol (CW except Canada; ) (see § Etymology) is a transparent, slight yellowish petroleum-derived flammable liquid that is used primarily as a fuel in most spark-ignited internal combustion engines (also known as petrol engines).","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2e/Ambox_contradict.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Antioxidant.png', 'https://upload.wikimedia.org/wikipedia/commons/6/68/Aviacionavion.png']"
Carrier wave,"In telecommunications, a carrier wave, carrier signal, or just carrier, is a waveform (usually sinusoidal) that is modulated (modified) with an information-bearing signal (called the message signal or modulation signal) for the purpose of conveying information.This carrier wave usually has a much higher frequency than the message signal does.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/En-carrier_wave-article.ogg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Modulated_radio_signal_frequency_spectrum.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
Manjhi,Manjhi (also spelled as majhee) means village headman or chief,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Rusting,Not found on Wikipedia,['Image not found']
Clinic,A clinic (or outpatient clinic or ambulatory care clinic) is a health facility that is primarily focused on the care of outpatients.,"['https://upload.wikimedia.org/wikipedia/commons/0/0d/Bundesarchiv_Bild_183-1983-0527-010%2C_Chemnitz%2C_Poliklinik%2C_Springbrunnen.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/CityMD_urgent_office_27_W23_jeh.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d0/Detskaya_poliklinika_137_v_Novokosino.JPG', 'https://upload.wikimedia.org/wikipedia/commons/c/c5/GreenwichSurgeryClinic_bordercropped.jpg']"
UNESCO,"The United Nations Educational, Scientific and Cultural Organization (UNESCO) is a specialized agency of the United Nations (UN) aimed at promoting world peace and security through international cooperation in education, arts, sciences and culture.","['https://upload.wikimedia.org/wikipedia/commons/0/01/A_coloured_voting_box.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/April_2010%2C_UNESCO_Headquarters_in_Paris_-_The_Garden_of_Peace_%28or_Japanese_Garden%29_in_Spring.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/17/Balance%2C_by_David.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Captura_de_Pantalla_2022-06-03_a_las_23.24.45.png', 'https://upload.wikimedia.org/wikipedia/commons/2/24/Carondolete_en_el_cambio_de_guardia.jpg']"
Kilo calorie,Not found on Wikipedia,['Image not found']
4.5 million people,Not found on Wikipedia,['Image not found']
Electrical current,Not found on Wikipedia,['Image not found']
Thin skin,Not found on Wikipedia,['Image not found']
Lens combinations,Not found on Wikipedia,['Image not found']
Plastic plate,Not found on Wikipedia,['Image not found']
Millimeters,Not found on Wikipedia,['Image not found']
