,entity1,entity_1_type,entity2,entity_2_type,relation,sentence
621,Activity 7,None,Activity (physics),None,facet of,She then tried the method suggested in Activity 7 to recover the salt
625,Cup,drinking vessel,Water,None,contains,Pour half a cup of water in the beaker
626,Saturated solution,solution,Solution,homogeneous mixture,subclass of,The solution is now said to be saturated
628,Water,None,Dissolve,separation process,has quality,Suppose she did not have sufficient quantity of water to dissolve all the salt in the mixture
629,Salt,mixture,Solution,homogeneous mixture,subclass of,Is there some way that water could be made to dissolve more salt before the solution gets saturated Let us try and help Paheli out
630,Salt,mixture,Saturated solution,solution,instance of,Now add a small quantity of salt to this saturated solution and heat it
631,Salt,mixture,Soluble substance,chemical substance,subclass of,14 Dissolving salt in water 2022 23 43 SEPARATION OF SUBSTANCES Does water dissolve equal amounts of different soluble substances Let us find out
632,Cup,literary container,Glass,container,part of,Activity 10 Take two glasses and pour half a cup of water in each of them
633,Drink,food,Glass,container,made from material,Add a teaspoon of salt to one glass and stir till the salt dissolves
634,Salt,mixture,Solution,homogeneous mixture,instance of,Go on adding salt one teaspoon at a time till the solution saturates
635,Table 5 (table),table,Salt,mixture,depicts,Record the number of spoons of salt that dissolved in the water in Table 5
636,Sugar,food,Sugar substitute,food additive,part of,Now repeat the same activity with sugar
638,Laboratory,research institute,Separation process,method,uses,Some of the methods of separation presented in this chapter are also used in a science laboratory
639,Liquid,fluid,Substance,chemical substance,subclass of,We also lear nt that a solution is prepared by dissolving a substance in a liquid
641,Component (chemistry),part,Mixture,chemical substance,part of,Why do we need to separate different components of a mixture Give two examples
642,Where is it used 3,None,What is winnowing,None,part of,What is winnowing Where is it used 3
643,Husk,plant structure,Cooking,food preparation,use,How will you separate husk or dirt particles from a given sample of pulses before cooking
644,Sand,natural building material,Water,None,subclass of,How will you separate sand and water from their mixture 6
645,Wheat flour,flour,Sugar,food,made from material,Is it possible to separate sugar mixed with wheat flour If yes how will you do it 7
646,Mud,mixture,Clear water,None,opposite of,How would you obtain clear water from a sample of muddy water 8
647,Paddy,taxon,Cereal,grain,this taxon is source of,Fill up the blanks a The method of separating seeds of paddy from its stalks is called 
648,Salt,mixture,Seawater,saline water,made from material, c Salt is obtained from seawater by the process of 
649,Bucket,container,Water,None,subclass of, d Impurities settled at the bottom when muddy water was kept overnight in a bucket
650,Pewter,ice hockey team,Ice hockey,type of sport,sport,The clear water was then poured off from the top
651,Milk,food,Water,None,subclass of,True or false a A mixture of milk and water can be separated by filtration
652,Powdered sugar,confection,Sugar,food,subclass of, b A mixture of powdered salt and sugar can be separated by the process of winnowing
653,Stone,natural material,Husk,food ingredient,different from, square6 square6 square6 square6 square6Husk and stones could be separated from grains by handpicking
655,Vapor,fluid,Liquid,fluid,subclass of, square6 square6 square6 square6 square6Evaporation is the pr ocess in which a liquid gets converted into its vapour
656,Water,None,Soluble substance,chemical substance,subclass of, square6 square6 square6 square6 square6Water dissolves dif ferent amount of soluble substances in it
657,Mud,mixture,Impurities,None,subclass of,You have tried a number of methods to separate impurities like mud fr om water
658,Water,None,Mud,wetland,part of,Sometimes the water obtained after employing all these pr ocesses could still be a little muddy
659,Water filter,machine,Water,None,use,Take this filter ed water in a glass
660,Ead,chemical substance,Alum,None,part of,T ie a thr ead to a small piece of alum
662,Did the water become clear,process,Process (engineering),process,instance of,Did the water become clear What happened to the mud This process is called loading
663,Elder,occupation,Family,group of humans,subclass of,Talk to some elders in your family to find out whether they have seen or used this process
664,Tea,tea,Sugar,food,made from material, c Separation of sugar from tea can be done with filtration
665,The winnowersﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ,painting,Gustav Courbet,human,creator,Should you add ice to the lemonade before or after dissolving sugar In which case would it be possible to dissolve more sugar THINGS TO SEE ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽThe winnowersﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ painted by Gustav Courbet in 1853 Reproduced with permission from Muse ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ de Beaus Arts Nantes France 2022 23 46 SCIENCE 6 Changes Around us What a fun would it be if you suddenly get some magical powers to change t
666,1CAN ALL CHANGES ALWAYS BE REVERSED,function,Function (physics),mathematical concept,instance of,1CAN ALL CHANGES ALWAYS BE REVERSED Activity 1 Take a balloon and blow it
667,Bubbles,album,Album,musical term,instance of,Take care that it does not burst
668,Balloon shape,shape,Balloon,hot air balloon,part of,The shape and size of the balloon have changed Fig
669,Atmosphere of Earth,atmosphere,Balloon,hot air balloon,part of,Now let the air escape the balloon
670,Balloon,hot air balloon,Air,None,made from material,1 A balloon changes its size and shape on blowing air into it Activity 2 Take a piece of paper and fold it as shown in Fig
671,Aeroplane,toy,Toy,product,subclass of,You have changed the sheet of paper into a toy aer oplane
672,Barry Goldwater,human,President of the United States,position,position held,Once you are tired of it unfold the paper again
673,Magic (supernatural),occultism,Supernatural,paranormal phenomenon,subclass of,We do not have magical powers of course
674,Tree,organisms known by a particular common name,Leaf,plant organ,has parts of the class,Sometimes leaves fall from trees change colour and dry out
676,Activity 1,activity,Activity 4,activity,followed by,Did you realise earlier that so many changes are taking place around you all the time 2022 23 47 CHANGES AROUND US Activity 4 Take the same balloon which you used in Activity 1
677,Blowpipe,wind instrument,String instrument,class of musical instruments,has parts of the class,Blow it to its full size and tie its mouth with a string tightly
678,Pencil,writing implement,Pointed pencil,painting material,has quality,Prick it with the pointed tip of your pencil
679,Oops It burst,stream,Stream,fluid flow,instance of,Oops It burst
680,Activity 2,None,Activity 5,None,followed by,Activity 5 Take the same piece of paper which you used in Activity 2
682,Dough,food,Ball,food,use,Activity 3 Take some dough and make a ball
683,Roti Fig,food,Taiwan,country,country of origin,T ry to roll out a roti Fig
685,Dough,food,Roti,pastry,subclass of,3 A ball of dough and a rolled out roti Now think about the three changes you observed in Activity 1 2 and 3
686,Aircraft,mode of transport,Balloon,hot air balloon,subclass of,What do they have in common Was it possible to get the balloon back to its original shape and size Was the size of the paper same as before and after making an aeroplane Was it possible to get back the ball of dough again What do you conclude In each of the three activities is it possible to get back to the material with which we started our activity If the answer is yes it means that the changes occurring in these activities can be reversed
687,Baking,engineering process,Dough,food,uses,4 An aeroplane cut out of paper Activity 6 Roll out a roti from the ball of dough again and bake it on a tawa Fig
688,Activity 3,None,Activity (psychology),None,part of,Suppose you are asked the same three questions which you answered after Activity 3
689,Activity 4,None,Activity 5,None,followed by,What would your answers be now We see that the changes which have occurred in the Activity 4 5 and 6 can not be reversed
691,Pottery wheel,hand tool,Pottery,handicraft,part of,5 A roti 2022 23 48 SCIENCE You must have seen a potter working on his wheel
692,Pottery,handicraft,Clay,sculpture material,made from material,He shapes a lump of clay into a pot
693,Oven,architectural element,Baking,engineering process,use,Can this change be reversed He then bakes the pot in an oven
695,Tool,product,Dig,surface exploration,use,2COULD THERE BE OTHER WAYS TO BRING A CHANGE We all have seen the tools which ar e used to dig the soil Fig
696,Blade,nonbiological component,Iron,medication,made from material,Have you ever seen how the iron blade in these tools is fixed to the wooden handle The iron blade of these tools has a ring in which the wooden handle is fixed
697,Hand,cardinal body part,Wood,material,made from material,Normally the ring is slightly smaller in size than the wooden handle
698,Heat,physical phenomenon,Expansion,change,has effect,To fix the handle the ring is heated and it becomes slightly larger in size expands 
699,Hand,cardinal body part,Bag,container,part of,Now the handle easily fits into the ring
700,Some common changes Fig.1,None,Fig. 1,statue,facet of,1 Some common changes Fig
701,Cart,horse-drawn vehicle,Wheel,simple machine,has parts of the class,6 Tools are often heated before fixing wooden handles Such a change is also used for fixing the metal rim on a wooden wheel of a cart as shown in Fig
702,Wheel,simple machine,Wood,material,made from material,Again the metal rim is made slightly smaller than the wooden wheel
703,Rim,technological component,Wheel,simple machine,part of,On heating the rim expands and fits onto the wheel
704,Wheel rim,None,Wheel,simple machine,part of,Cold water is then poured over the rim which contracts and fits tightly onto the wheel
706,Lamp,light source,Light source,device,subclass of,Now fix it at a suitable place and light it
707,Combustion,redox,Redox,chemical reaction,subclass of,Let it burn for some time
709,Wax,chemical substance,Candle,goods,part of,Can the change in the length of the candle be reversed If we were to take some wax in a pan and heat it can this change be reversed Fig
710,Tar,mixture,Road surface painting,painting,use,7 Cart wheel with metal rim fixed to it Boojho has often noticed that road construction workers heat a black material tar for repairing a road
711,Blacksmith,occupation,Tool,product,uses,He wants to know whether the change caused in tar by heating can be reversed Paheli wants to know if you have ever seen a blacksmith making some tools
712,Beat (cooking),food preparation,Cooking,food preparation,use,It then becomes soft and is beaten into a desired shape
713,Carbon dioxide,None,Oxygen,chemical element,has parts of the class,If we continue to heat further the quantity of water in the pan begins to decrease
714,Water,None,Liquid,fluid,part of,In Activity 7 Chapter 5 you have observed that water vapour gets changed into liquid water when it is cooled
716,W ait till it bur ns away completely,None,Burns away completely,None,said to be the same as,W ait till it bur ns away completely
717,Incense,artificial physical object,Incense stick,artificial physical object,made from material,What are the changes that occur in the incense stick The stick burns to produce some new material
718,Incense,artificial physical object,Matchstick,incense stick,uses,Can this change be reversed And what about the change which occurred in the matchstick you used for lighting the candle or incense stick So far we have discussed the changes occurring in a given object or its material
719,Salt,mixture,Condiment,food,subclass of,What about the changes that occur when two substances are mixed together In Chapter 4 we dissolved salt in water
720,Salt,mixture,Water,None,different from,Do you think a change occur ed in salt or in water Is it possible to reverse this change W ait in Chapter 5 we learnt how to separate salt from its solution in water
721,Curd,food,Salt,mixture,made from material,So can we say thatthe change due to dissolving salt in water be reversed Paheli asks if you have ever seen curd being set
722,Milk,food,Drink,food,subclass of,The milk is stirred and is set aside for a few hours at a warm place
723,Can this change be reversed,None,Chemical change,change,facet of,Can this change be reversed We find that a few ways to bring about a change in a substance could be by heating it or by mixing it with some other substance
727,Class (computer programming),concept,Class (computer science),concept,part of,In higher classes you will learn more about the ways in which changes can be made and the way these can be grouped
728,E g n i t l e M square6,square,Square (geometry),polygon,instance of,s e g n a h C n o i t c a r t n o C n o i t a r o p a v E n o i s n a p x E g n i t l e M square6Some changes can be reversed and some cannot be reversed
729,Mixing,chemical reaction,Chemical reaction,chemical process,subclass of, square6A change may occur by heating a substance or by mixing it with some other
731,Squash (juice),liquid measure,Juice,drink,subclass of,Cut the lemon and squeeze out its juice in a cup
732,Lemon,taxon,Lemon juice,fruit juice,has fruit type,Dip the brush in the lemon juice and write a message on the paper
733,Letter (alphabet),grapheme,Message,information,part of,Let the paper dry and you find that the letters of your message become invisible
734,Candle,goods,Fire,physical phenomenon,has quality,Now press the paper with hot iron or warm it by holding it above the flame of a candle Take care that it does not catch fire 
735,Dark red,color,Color,quality,instance of,As the paper gets war m invisible letters change into dark br own colour
736,Reconversion,biological process,Neurotransformation,biological process,subclass of,Identify the changes that can be reversed in this process
737,Cooking,food preparation,Preparation,activity,subclass of,Observe preparation of dishes at your home
738,Reconversion,biological process,Change,biological process,subclass of,Identify two changes that can be reversed
739,Vegetable,food,Clothing,work,subclass of,Maintain a record for one year of the seasonal changes in vegetables clothing nature and events around you
740,Can be reversed,change,Change,occurrence,subclass of,Identify the changes that can or cannot be reversed
741,Folding,technique,Dress,clothing,uses,To walk through a waterlogged area you usually shorten the length of your dress by folding it
742,Dr opped,accident,Br oke,None,has effect,You accidentally dr opped your favourite toy and br oke it
744,Column,chart,Chart,map,subclass of,For each change write in the blank column whether the change can be reversed or not
745,Drawing sheet,drawing material,Drawing,communication medium,use,A drawing sheet changes when you draw a picture on it
747,Sunrise,celestial event,Sunset,celestial event,opposite of,The next day the sun shines brightly
748,Getting to Know Plants,literary work,Plant,taxon,main subject,Do you think the changes which have occurred in the cement could be reversed 2022 23 52 SCIENCE 7 Getting to Know Plants Go outside and observe all the plants around you Fig
749,Leaf,plant organ,Plant,taxon,part of,Do you see that some plants are small some very big while some are just patches of green on the soil Some have green leaves while some others have reddish ones
750,Flower,plant organ,Inflorescence,plant structure,part of,Some have huge red flowers some have tiny blue ones while some have none
751,Kingston upon Hull,city,River Tyne,river,located in or next to body of water,W e do see a variety of plants existing all around us ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ near our homes in the school ground on the way 
752,Garden,venue,Park,architectural structure,subclass of,2 Parts of a plantthe school in the parks and gardens isnﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽt it Let us get to know the different parts of any
753,Different kinds of plant,plant,Plant,taxon,subclass of,This will help us understand the differences between plants of different kinds
754,Tree,organisms known by a particular common name,Root,plant organ,has parts of the class,Can you label the stem branch root lea f flower and fruit of the plant shown in Fig
755,Stipe (biology),plant structure,Plant stem,plant structure,part of,1 H ERBS SHRUBS AND TREES Activity 1 Look closely at the stem and branches of 1
756,Plant,taxon,Organism,anatomical entity,subclass of,Plants that are about your size and 3
757,Tenderness,physiological condition,Hardness,physiological condition,opposite of,Feel their stem and try to bend them gently to see if they are tender or hard
758,Stipe,plant structure,Plant,taxon,part of,1 Categories of plants Take care that the stem does not break
759,Branch,plant structure,Plant,taxon,part of,Hug the tall plants to see how thick their stems are We also need to notice fr om wher e the branches grow in some plants ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ close to the ground or higher up on th
760,Table 7,table,Table (plant diagram),chart,instance of,We will now gr oup all the plants we observed in Table 7
761,Column 4,column,Column,chart,part of,Fill Column 4 later after studying the section
762,Herb,food,Plant,taxon,subclass of,Based on these characters most plants can be classified into three categories herbs shrubs and trees
763,Stipe (botany),plant structure,Weep,plant,part of,You may also use weeds with soft stems for the activities
764,Weed,plant,Plant,taxon,subclass of,Do you know what weeds are In crop fields lawns or in pots often some unwanted plants or weeds start growing
765,Leaf,plant organ,Inflorescence,plant structure,part of,They are usually short and may not have many branches Fig
766,Branch,plant structure,Stipe (botany),plant structure,part of,Some plants develop branches near the base of stem
767,Branch,plant structure,Stipe,plant structure,part of,The stems have branches in the upper part much above the ground
768,Table 7 (classification system),classification system,Classification system,system,instance of,Based on the above characteristics can you now classify the plants listed by you and complete column 4 in Table 7
769,Creepers,plant stem,Plant stem,plant structure,subclass of,Note down different Plants with weak stems that cannot stand upright but spread on the ground are called creepers Fig
770,Stipe,plant structure,Plant structure,plant structure,subclass of,W rite down the names of anystructures parts borne by the stem
771,Friend,relative,relative,relative,opposite of,Compare you observations with the that of your friends
772,Flower,plant organ,Fruit,plant organ,part of,What do you find Stems bear leaves branches buds flowers and fruits
773,Blue ink,ink,Ink,coating,instance of,Activity 2 We would r equire a glass water red blue ink and a soft stem
774,R ed blue ink,ink,Ink,coating,instance of,Add a few drops of r ed blue ink to the water
775,Fig,Figurine,Glass,material,made from material,Cut the base of the stem and put it in the glass as shown in Fig
776,Electrical network,network,Network,network,subclass of,Observe the set up
778,Grape,berry,Vine,plant organ,subclass of,5 Climbers Paheli wonders what kind of stem ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ the money plant beanstalk gourd plants and grape vine
779,Kerala,state of India,South India,geographic region,part of,Do observe some of these plants
780,Notebook,literary genre,Paper,intermediate product,made from material,Activity 3 Put a leaf under a white sheet of paper or a sheet in your notebook
781,Leaf,plant structure,Paper,intermediate product,part of,Hold your pencil tip sideways and rub it on the portion of the paper having the leaf below it
782,Midrib,leaf,Leaf,plant organ,part of,Do you see a prominent line in the middle of the leaf This is called the midrib
783,Leaf venation,None,Leaf,plant organ,part of,The design made by veins in a leaf is called the leaf venation
784,Reticule,anatomical structure,Midrib,bone,part of,If this design is net like on both sides of midrib the venation is reticulate Fig
785,Parallel venation,venation,Venation,biological process,subclass of,This is parallel venation Fig
786,Venation,biological process,Plant,taxon,part of,Observe the venation in as many leaves as you can without removing them from the plant
787,Draw the pattern,drawing,Writing,communication medium,followed by,Draw the pattern and writeFig
788,Taking an impression of a leaf 7,painting,Leaf,plant organ,depicts,9 Taking an impression of a leaf 7
789,Petiole (botany),plant structure,Leaf,plant organ,part of,Are all the leaves of same size shape and colour How are leaves attached to the stem The part of leaf by which it is attached to the stem is called petiole
790,Lamina (botany),plant structure,Leaf,plant organ,part of,The broad green part of the leaf is called lamina Fig
791,Glossary of leaf morphology,morphology,Leaf,plant organ,facet of,7 a W ater moves up the stem and reaches leaves b Enlarged view of open end of stem a b Fig
792,Leaf,plant organ,Stipe (botany),plant structure,part of,The water and minerals go to leaves and other plant parts attached to the stem
793,Ename,cellular component,Venation,biological process,part of,8 A leaf Lamina PetioleStem 2022 23 56 SCIENCEnames of some plants having reticulate and parallel venation
794,Transpar,polysaccharides,Polythene,polymer,subclass of,Shall we now find out some of the functions of a leaf Activity 4 We will r equir e a herb two transpar ent polythene bags and thread
795,Sunny day,day,Day,UCUM derived unit,subclass of,Do this activity during day time on a sunny day
796,Water plant,plant,Plant,taxon,subclass of,Use a healthy well watered plant that has been growing in the sun
797,Fig leaf,leaf,Leaf,plant organ,subclass of,Enclose a leafy branch of the plant in a polythene cover and tie up its mouth as shown in Fig
798,Polythene,polymer,Polymer,group or class of chemical substances,instance of,T ie up the mouth of another empty polythene cover and keep it also in the sun
799,Cover (geology),None,Geology,academic discipline,part of,After a few hours observe the inner surface of the covers
800,Plant,taxon,Water,None,this taxon is source of,Plants release a lot of water into the air through this pr ocess
801,Chapter 14 of Genesis,literary work,Book of Genesis,written work,part of,W e will learn more about this in Chapter 14
802,Leaf,plant organ,Watercourse,land waters,part of,Why did we tie a cover around the leaves W ould we have seen the waterFig
804,Transpar ent,polymer,Polythene,polymer,subclass of,11 What does the leaf do Midrib Veins Transpar ent polythene cover bag Fig
806,Budapest,geographical object,Green Sea,sea,located in or next to body of water,Let us study this
808,Leaf,plant organ,Test tube,laboratory equipment,part of,Take a leaf in a test tube and pour spirit to completely immerse the leaf
809,Soil,granular material,Plant,taxon,part of,2022 23 57 GETTING TO KNOW PLANTSWhich part of the plant is in the soil Let us learn more about this part from the following activities
810,Khurpi,soil type,Soil,granular material,subclass of,Activity 6 You would r equire two pots some soil khurpi for digging blade or a pair of scissors and water
811,Root,plant organ,Plant,taxon,part of,Select two plants of the same kind from an open ground and dig them out with roots
812,Root,plant organ,Seed,food,part of,Take care that their roots do not break
813,Drinking water,liquid,Water,None,subclass of,Cut off the roots from theNow place the test tube in a beaker half filled with water
814,Test tube,laboratory equipment,Drinking water,liquid,subclass of,Heat the beaker till all the green colour from the leaf comes out into the spirit in the test tube
815,Leaf car,carving,Leaf,plant organ,made from material,Take out the leaf car efully and wash it in water
816,Watch,costume accessory,Glass,material,made from material,Place it on a watch glass and pour some iodine solution over it Fig
817,Potato,taxon,Starch,food ingredient,this taxon is source of,Does this mean that the leaf has starch in it In Chapter 2 we saw that a slice of raw potato also shows the presence of starch
818,Leaf,plant organ,Food,disposable product,part of,Leaves prepare their food in the presence of sunlight and a green coloured substance present in them
819,Carbon dioxide,None,Water,None,has parts of the class,For this they also use water and carbon dioxide
820,Photosynthesis,biological process,Biological process,process,instance of,This process is called photosynthesis
822,Leaf stem,plant structure,Leaf,plant organ,part of,We have seen that the stem supplies leaf with water
823,Food,disposable product,Water,None,made from material,The leaf uses the water to make food
824,Transpiration,biological process,Leaf loss,biological process,has effect,The leaves also lose water through transpiration
825,Root,plant organ,Leaf,plant organ,part of,How do the stem and leaves get water That is where the roots come in 7
826,Paheli,spirit,Spirit,mythical character,instance of,Who do you think is watering their plant correctly Paheli or Boojho Why Note Since the activity involves the use of spirit and heating it is advised that it is demonstrated by the teacher in the class
827,Pot (plant),plant pot,Plant,taxon,part of,14 a Plant with roots and b without roots a b A B 2022 23 58 SCIENCEother plant and plant it in pot B Fig
828,W ater them r egularly,Latin phrase,Egularly,Latin phrase,said to be the same as,W ater them r egularly
829,Gram,food,Seed,food,subclass of,Activity 7 We would r equir e seeds of gram and maize cotton wool katori bowl and some water
830,Katori,sports discipline,Katori bowl,sports equipment,uses,Take two katoris bowl 
831,Cotton,plant fiber,Wet cotton,plant fiber,use,Place some wet cotton in them
832,Gram,cell type,Seed,food,subclass of,Put 3 or 4 seeds of gram in one and maize in the other
833,Plant,taxon,Soil,granular material,this taxon is source of,They anchor the plant to the soil
834,Stipe (botany),plant structure,Leaf,plant organ,part of,You have seen that ther e are different kinds of stems and leaves
835,Variety (botany),taxonomic rank,Root,plant organ,part of,Do the roots also show a variety Let us find out
836,Activity 8 Study Fig,Fig,Fig (statistics),chart,instance of,Activity 8 Study Fig
837,Gospel of Luke 16,religious text,Gospel of Luke,book of the Bible,followed by,16 a and b carefully
838,Gram,plant,Root,plant organ,subclass of,Now look at the roots of the gram plants you have pulled out from the cotton in the previous activity
839,Fig. 2,figurine,Root,plant organ,depicts,Do they look like the roots shown in Fig
840,Gram,organisms known by a particular common name,Maize,taxon,different from,In what way are the roots of gram and maize similar In what way are they different There seem to be two different types of roots isnﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽt it Are there also other types of roots Let us fi
841,Buddhism,religion,Religion,academic discipline,subclass of,Activity 9 Go to an open ground where many wild plants are growing
842,Root,plant organ,Soil,granular material,part of,Dig out a few wash the soil off the roots and observe them
843,Fig. 16,tree chart,Root,plant organ,depicts,16 a Roots of b Roots of a b 2022 23 59 GETTING TO KNOW PLANTS For roots of the kind shown in Fig
844,Tap root,root,Root,plant organ,subclass of,17 a the main root is called tap root and the smaller roots are called lateral roots
845,Root diagram,plant diagram,Plant,taxon,depicts,Plants with roots as shown in Fig
846,Root (botany),plant organ,Seed,food,part of,17 b do not have a main root
847,Fibrous root,root,Root,plant organ,subclass of,All roots seem similar and these are called fibrous roots
848,Separate the plants,Separation of groups of humans,Separation of groups of humans,separation,subclass of,Separate the plants you have collected into two groups
849,Carrot radish,taxon,Sweet potato,taxon,parent taxon,W e eat some of these as r ootsﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ like carrot radish sweet potato turnip and t
850,Street with two-way traf,fic,Fic,literary genre,instance of,Do you agree that stem is like a street with two way traf fic Fig
851,18 W rite,Latin phrase,W rite,Latin phrase,part of,18 W rite the name of material that goes up in the stem and that which comes down
854,Flower,plant organ,Plant,taxon,part of,Add observations to this table from a field trip to a locality where there are plants with flowers
855,Leaf,plant organ,Bud,plant structure,part of,Where do you think the petals are in a closed bud Which is the most prominent part in a bud Did you see that this part is made of small leaf li ke structures They Fig 7
856,Rose,taxon,Flower,plant organ,has fruit type,19 Rose a A leafless branch b A branch with leaves c A branch with leaves and flowers a b c 7
857,Marigold chrysanthemum,taxon,Sunflower,taxon,different from,Which one will help you best to recognise the plant When choosing flowers to study avoid using marigold chrysanthemum or sunflower
859,Observe Fig,None,Fig (grapheme),grapheme,part of,Observe Fig
860,20th century,century,History of the world,aspect of history,part of,20 carefully
861,Prunus (botany),plant structure,Flower,plant organ,part of,Look at the pr ominent parts of the open flower
862,Bud,taxon,Flower,plant organ,parent taxon,20 Bud and flowerSepalsPetals 2022 23 61 GETTING TO KNOW PLANTS Fig
863,Stamens,plant organ,Flower,plant organ,part of,22 carefully compare your flower with the illustration and identify the stamens and pistil in your flower
864,Australia,sovereign state,Queensland,state of Australia,contains administrative territorial entity,23 carefully
865,Stamen,plant organ,Flower,plant organ,part of,It shows different kinds of stamens present in different flowers
866,Pistil,plant structure,Flower,plant organ,part of,The innermost part of flower is called the pistil
867,Gynoecium,plant organ,Plant,taxon,part of,If you cannot see it completely remove the remaining stamens
868,Pistil,None,Piston,slider,part of,Identify the parts of the pistil with the help of Fig
869,Pt n e s e s e r F t n e,None,Ft n e,None,followed by,3 Observations on flowers f o e m a N r e w o l f t n a l pr e b m u N r u o l o c d n a s l a p e s f or e b m u N r u o l o c d n a s l a t e p f oe h t e r A d e n i o j s l a p e s e t a r a p e s r oe h t e r A d e n i o j s l a t e p e t a r a p e s r oe r a ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ s n e m a t S r o e e r f y e h t s l a t e p o t d e n i o jﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ l i t s i P t n e s e r P t n e s b a e s o Ry n a M r u o l o C r u o l o C 5 e t a r a p e S e e r F t n e
871,Pistil,anatomical structure,Ovary,anatomical structure,part of,24 Parts of a pistilStigma Ovary Activity 11 Let us now study the structure of ovary Fig
872,Pistil,None,Piston,slider (emblem),part of,It is the lowermost and swollen part of the pistil
873,Ovary (botany),plant structure,Flower,plant organ,part of,25 a and b carefully to understand how to cut the ovary of a flower
875,Ovarian lens,medical device,Ovary (botany),plant structure,part of,Observe the inner parts of the ovary using a lens Fig
876,Ovule,anatomical structure,Ovary (botany),plant structure,part of,Do you see some small bead like structures inside the ovary They are called ovules
877,Drawing,communication medium,Notebook,literary genre,uses,Draw and label the inner parts of the ovary in your notebook
878,Botany,academic discipline,Welder,profession,practiced by,Try to find out the names of as many flowers as you can by asking the gardener or any other person
879,3,natural number,Natural number,integer sequence,instance of,3 answer the following questions
881,Glossary of ovary morphology,morphology,Ovary (botany),plant structure,facet of,26 Inner structure of an ovary a longitudinal cut b transverse cutFig
882,Venation (botany),leaf,Leaf,plant organ,subclass of, square6 square6 square6 square6 square6The pattern of veins on the leaf is called venation
883,Transpiration,biological process,Water vapor,None,has effect, square6 square6 square6 square6 square6Leaves give out water vapour through the process of transpiration
884,Tap root,root,Fibrous root,root,opposite of, square6 square6 square6 square6 square6Plants having leaves with reticulate venation have tap roots while plants having leaves with parallel venation have fibrous roots
885,Correct the following statement,statement,Statement (computer science),phrase,instance of,Correct the following statements and rewrite them in your notebook
886,Mineral,chemical substance,Soil,granular material,part of, a Stem absorbs water and minerals from the soil
887,T able 7,Latin phrase,Latin script,writing system,part of,Draw a a leaf b a tapr oot and c a flower you have studied for T able 7
888,Stem 5,stem,Stem (biology),cellular component,instance of,What is the function of a stem 5
889,Gynoecium,plant organ,Flower,plant organ,part of,What ar e the parts of a flower
890,Pomegranate,taxon,Guava,taxon,has fruit type,From the following plants which of them have flowers Grass maize wheat chilli tomato tulsi peepal shisham banyan mango jamun guava pomegranate papaya banana lemon sugarcane potato groundnut 11
891,Process (engineering),process,Process,process,subclass of,Name the process
892,Sepal,plant organ,Plant,taxon,part of,Name two plants in which one has joined sepals and the other has separate sepals
893,Leaf,plant organ,Leafling,activity,studied by,For every leaf that you wish to study pluck it and wrap it in a wet cloth and take it home
894,Flannel,fold,Newspaper,business,part of,Now place the leaf between the folds of a newspaper and place a heavy book on it
895,Tree trunk,plant structure,Plant structure,plant structure,subclass of,Y ou can also put it under your mattr ess or a trunk T ake out the leaf after a week
896,Poetry,literary work,Narrative,creative work,subclass of,Paste it on a paper and write a poem or story about it
897,Forward,motion,Backward,motion,opposite of,Search them by going up down diagonally forward or backward
898,SCIENCE8 Body Movements,scientific journal,Scientific journal,academic journal,instance of,Have fun O V U L E L Y T S T E M V E I N W Q H E R B P I A N I M A L Z E X R N D R F I L A M E N T M U R Y A R A B L C O D B E I L E E U O F O L G H I B A L H I I R J A L K U R T M T N O T P P Q R R A E E N S T U F E H V W N P Y A M G I T S Z Z N C F L O W E R E H T N A H S T A M E N N S E P A L 2022 23 66 SCIENCE8 Body Movements Sit absolutely still
899,Writing,communication,Pen,writing implement,uses,When you are writing in your notebook which part of the body are you moving Or when you tur n and look at your friend Different parts of your body move while you remain at the same place in these examples
900,Teacher,position,School,architectural structure,part of,You also move from one place to another ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ you get up and go to your teacher or to the school compound or go home after 
