entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Vitamin,organic compound,Protein,group or class of chemical substances,subclass of,"Plants can then synthesise proteins and vitamins.
"
Chlorophyll,structural class of chemical compounds,Plant,taxon,part of,"1.3 OTHER MODES OF NUTRITION IN PLANTS There are some plants which do not have chlorophyll.
"
Food,disposable product,Synthesisation,chemical reaction,fabrication method,"They cannot synthesise food.
"
Survival,survival,Nutrition,science,subclass of,"How do they survive and from where do they derive nutrition?
"
Plant,taxon,Food,disposable product,this taxon is source of,"Like humans and animals such plants depend on the food produced by other plants.
"
Heterotrophic nutrition,nutrition,Nutrition,science,subclass of,"They use the heterotrophic mode of nutrition.
"
Fig. 1,polychoron,Polychoron,polygon,instance of,"Look at Fig. 1.5.
"
Amarbel,taxon,Cuscuta,taxon,parent taxon,"This is a plant called Cuscuta (Amarbel).
"
Chlorophyll,structural class of chemical compounds,Chlorophyll,structural class of chemical compounds,different from,"It does not have chlorophyll.
"
Readymade food,food,Food,disposable product,subclass of,"It takes readymade food from the plant on which it is climbing.
"
Pond,watercourse,Water body,geographic region,subclass of,"Since it deprives the host of valuable nutrients, You often see slimy, green patches in ponds or stagnant water bodies.
"
Algae,organisms known by a particular common name,Organism,anatomical entity,subclass of,"These are generally formed by the growth of organisms called algae.
"
Green algae,algae,Algae,organisms known by a particular common name,subclass of,"Can you guess why algae are green in colour?
"
Green,color,Color,quality,instance of,"They contain chlorophyll which gives them the green colour.
"
Photosynthesis,biological process,Food,disposable product,has effect,"Algae can also prepare their own food by photosynthesis.
"
Photosynthesis,biological process,Carbohydrate,structural class of chemical compounds,has effect,"Synthesis of plant food other than carbohydrates You have just learnt that plants synthesise carbohydrates through the process of photosynthesis.
"
Perform iodine test,medical test,Medical test,medical procedure,instance of,"The Perform iodine test with the leaves of both the plants as you did in Class VI.
"
Record your results,recording medium,Recording medium,machine-readable medium,use,"Record your results.
"
Leaf,plant organ,Plant,taxon,part of,"Now leave the pot which was earlier kept in the dark, in the sunlight for 3 – 4 days and perform the iodine test again on its leaves.
"
Notebook,literary genre,Observation,process,use,"Record your observations in your notebook.
"
Chlorophyll,structural class of chemical compounds,Leaf,plant organ,part of,"The leaves other than green also have chlorophyll.
"
Red,color,Pigment,colourant,instance of,"The large amount of red, brown and other pigments mask the green colour (Fig. 1.4).
"
Leaf,plant organ,Photosynthesis,biological process,part of,"Photosynthesis takes place in these leaves also.
"
Cuscuta,city,Parasite,symbiosis,instance of,"Rationalised 2023-24  NUTRITION IN PLANTS 5 Cuscuta is called the parasite.
"
Parasitism,symbiosis,Animal,taxon,has parts of the class,"Are we and other animals also a kind of parasites?
"
Student,group of humans,Teacher,position,different from,"You should think about it and discuss with your teacher.
"
Downstream hair,hair,Hair,anatomical structure,subclass of,"hair which are directed downwards.
"
Insect,taxon,Hair,anatomical structure,uses,"When an insect lands in the pitcher, the lid closes and the trapped insect gets entangled into the hair.
"
Lid,container,Container,tool,subclass of,"The lid closes and the insect is trapped.
"
Digestive juice,nan,Nutrient,chemical substance,subclass of,"The insect is digested by the digestive juices secreted in the pitcher and its nutrients are absorbed.
"
Insectivorous plant,plant,Plant,taxon,subclass of,"Such insect-eating plants are called insectivorous plants.
"
Nutrient,chemical substance,Soil,granular material,part of,"Is it possible that such plants do not get all the required nutrients from the soil in which they grow?
"
Bed bug,taxon,Parasite,grade,subclass of,"Fig. 1.5  Cuscuta (Amarbel) on host plant Paheli wants to know whether mosquitoes, bed bugs, lice and leeches that suck our blood are also parasites.
"
Lid Boojho,taxon,Pitcher plant,taxon,parent taxon,"Fig. 1.6  Pitcher plant showing lid and pitcher Leaf modified into pitcher Lid Boojho is confused.
"
Photosynthesis,biological process,Green,color,has effect,"If the pitcher plant is green and carries out photosynthesis, then why does it feed on insects?
"
Plant,taxon,Animal,taxon,subclass of,"Have you seen or heard of plants that can eat animals?
"
Digestion,biological process,Insect,taxon,has cause,"There are a few plants which can trap insects and digest them.
"
Green,color,Color,quality,instance of,"Such plants may be green or of some other colour.
"
Fig. 1,lithograph,Plant,taxon,depicts,"Look at the plant in Fig. 1.6.
"
Pitcher,leaf,Leaf,plant organ,subclass of,"The pitcher-like or jug-like structure is the modified part of leaf.
"
Mushroom,sporocarp,Vegetable,food,part of,"Inside the pitcher there are 1.4 SAPROTROPHS You might have seen packets of mushrooms sold in the vegetable Rationalised 2023-24  SCIENCE 6 market.
"
Rain,precipitation,Soil,granular material,subclass of,"You may have also seen fluffy umbrella-like patches growing in moist soils or on rotting wood during the rainy season (Fig. 1.7).
"
Nutrient,chemical substance,Survival,biological process,part of,"Let us find out what type of nutrients they need to survive and from where they get them.
"
Nutrient,chemical substance,Organism,anatomical entity,part of,"Boojho wants to know how these organisms acquire nutrients.
"
Mouth,animal organ,Animal,taxon,part of,"They do not have mouths like animals do.
"
Chlorophyll,structural class of chemical compounds,Photosynthesis,biological process,use,"They are not like green plants as they lack chlorophyll and cannot make food by photosynthesis.
"
Bread,bakery product,Water,None,made from material,"Activity 1.2 Take a piece of bread and moisten it with water.
"
Fig. 1,graph,Chart,diagram,instance of,"Leave it in a moist warm place for 2–3 days or until fluffy patches appear on them (Fig. 1.8).
"
Color,quality,Patches,None,part of,"What is the colour of these patches?
"
Magnifying glass,optical microscope,Microscope,optical instrument,subclass of,"Observe the patches under a microscope or a magnifying glass.
"
Notebook,literary genre,Observation,process,use,"Write down your observations in the notebook.
"
Cotton thread,textile,Cotton,plant fiber,made from material,"You will see cotton-like threads spread on the piece of bread.
"
Paheli,literary work,Paheli,human,author,"Paheli is keen to know whether her beautiful shoes, which she wore on special occasions, were spoiled by fungi during the rainy season.
"
Autumn,recurring event,Winter,recurring event,followed by,"She wants to know how fungi appear suddenly during the rainy season.
"
Fungus,taxon,Organism,anatomical entity,subclass of,"These organisms are called fungi.
"
Mode of nutrition,None,Nutrition,science,facet of,"They have a different mode of nutrition.
"
Nutrient,chemical substance,Food,disposable product,subclass of,"They absorb the nutrients from the bread.
"
Saprotrophic nutrition,nutrient,Nutrient,chemical substance,subclass of,"This mode of nutrition in which organisms take in nutrients from dead and decaying matter is called saprotrophic nutrition.
"
Sprotroph,organism,Organism,anatomical entity,subclass of,"Such organisms with saprotrophic mode of nutrition are called saprotrophs.
"
Clothing,work,Leather,clothing material,made from material,"Fungi also grow on pickles, leather, clothes and other articles that are left in hot and humid weather for long time.
"
Rainy season,recurring event,Season,time interval,part of,"During the rainy season they spoil many things.
"
Ask your parents,None,Fungus,taxon,facet of,"Ask your parents about the menace of fungi in your house.
"
Spore,cell type,Fungus,taxon,produced by,"The fungal spores are generally present  in the air.
"
Bread,bakery product,Fungus,taxon,made from material,"When they land on Fig. 1.8  Fungi growing on bread Fig.
"
Manure,organic matter,Fertilizer,chemical substance,use,"1.7  Packet of mushrooms, a mushroom growing on decayed material Rationalised 2023-24  NUTRITION IN PLANTS 7 1.5 HOW NUTRIENTS ARE REPLENISHED IN THE SOIL Have you seen farmers spreading manure or fertilisers in the fields, or gardeners using them in lawns or in pots?
"
China,sovereign state,Beijing,city,contains administrative territorial entity,"Do you know why this is done?
"
Mineral,chemical substance,Nutrient,chemical substance,subclass of,"You learnt that plants absorb minerals and nutrients from the soil.
"
China,sovereign state,Beijing,city,contains administrative territorial entity,"So, their amounts in the soil keep on declining.
"
Fertilizer,chemical substance,Nutrient,chemical substance,subclass of,"Fertilisers and manures contain nutrients such as nitrogen, potassium, phosphorous, etc.
"
Soil,granular material,Nutrient,chemical substance,has quality,"These nutrients need to be added from time to time to enrich the soil.
"
Plant,taxon,Nutrient,chemical substance,this taxon is source of,"We can grow plants and keep them healthy if we can fulfil the nutrient requirement of plants.
"
Nitrogen,chemical element,Soil,granular material,part of,"Usually crop plants absorb a lot of nitrogen and the soil becomes deficient in nitrogen.
"
Carbon dioxide,None,Nitrogen,chemical element,has parts of the class,"You learnt that though nitrogen gas is available in plenty in the air, plants cannot use it in the manner they can use carbon dioxide.
"
Soluble nitrogen,nitrogen,Nitrogen,chemical element,subclass of,"They need nitrogen in a soluble form.
"
Rhizobium,taxon,Rhizobium,taxon,taxonomic type,"The bacterium called Rhizobium can take atmospheric nitrogen and convert it into a usable form.
"
Rhizobium,taxon,Meat,food,this taxon is source of,"But Rhizobium cannot make its own food.
"
Gram,organisms known by a particular common name,Legume,food,subclass of,"So it often lives in the roots of gram, peas, moong, beans and other legumes and provides them with nitrogen.
"
Plant,taxon,Food,disposable product,this taxon is source of,"In return, the plants provide food and shelter to the bacteria.
"
Symbiosis,biological process,Symbiosis,biological process,subclass of,"They, thus, have symbiotic relationship.
"
Agriculture,academic discipline,Farmer,agricultural worker,practiced by,"This associationa is of great significance for the farmers.
"
Fertilizer,chemical substance,Nitrogenous compound,None,subclass of,"They can reduce the use of nitrogenous fertiliser where leguminous Boojho says once his grandfather told him that his wheat fields were spoiled by a fungus.
"
Fungus,taxon,Disease,health problem,has effect,"He wants to know if fungi cause diseases also.
"
Yeast,organisms known by a particular common name,Fungus,taxon,subclass of,"Paheli told him that many fungi like yeast and mushrooms are useful, but some fungi cause diseases in plants, animals including humans.
"
Fungus,taxon,Medicine,academic discipline,use,"Some fungi are also used as medicines.
"
Germination,biological process,Growth,biological process,has effect,"wet and warm things they germinate and grow.
"
Protection from spoilage,None,Preservation,preservation,facet of,"Now, can you figure out how we can protect our things from getting spoiled?
"
Organism,anatomical entity,Nutrient,chemical substance,uses,"Some organisms live together and share both shelter and nutrients.
"
Symbiosis,biological process,Symbiosis,biological process,part of,"This relationship is called symbiosis.
"
Root,plant organ,Plant,taxon,part of,"For example, certain fungi live inside the roots of plants.
"
Water,None,Nutrient,chemical substance,subclass of,"The plants provide nutrients to the fungus and, in return, the fungus provides water and certain nutrients.
"
Lichen,eukaryote,Algae,organisms known by a particular common name,has parts of the class,"In organisms called lichens, a chlorophyll-containing partner, which is an alga, and a fungus live together.
"
Water,None,Mineral,chemical substance,subclass of,"The fungus provides shelter, water and minerals to the alga and, in return, the alga prepares and provides food to the fungus.
"
Organism,anatomical entity,Food,disposable product,uses,"Rationalised 2023-24  SCIENCE 8 What you have learnt  All organisms need food and utilise it to get energy for growth and maintenance of their body.
"
Photosynthesis,biological process,Synthesisation,chemical reaction,subclass of," Green plants synthesise food for themselves by the process of photosynthesis.
"
Autotroph,organism,Organism,anatomical entity,subclass of,"They are autotrophs.
"
Cuscuta,taxon,Parasitism,symbiosis,host," Plants like Cuscuta are parasites.
"
Plant,taxon,Food,disposable product,this taxon is source of,"They take food from the host plant.
"
Carbon dioxide,None,Water,None,has parts of the class," Plants use simple chemical substances like carbon dioxide, water and minerals for the synthesis of food.
"
Carbon dioxide,None,Water,None,has parts of the class," Chlorophyll, water, carbon dioxide and sunlight are the essential requirements for photosynthesis.
"
Carbohydrate,structural class of chemical compounds,Chemical substance,group or class of chemical substances,subclass of," Complex chemical substances such as carbohydrates are the products of photosynthesis.
"
Chlorophyll,structural class of chemical compounds,Leaf,plant organ,part of," Solar energy is absorbed by the chlorophylls present in leaves/plants.
"
Oxygen,chemical element,Photosynthesis,biological process,part of," Oxygen is produced during photosynthesis.
"
Photosynthesis,biological process,Oxygen,chemical element,has effect," Oxygen released in photosynthesis is utilised by living organisms for their survival.
"
Fungus,taxon,Nutrition,science,uses," Many fungi derive nutrition from dead and decaying matter.
"
Sprotroph,cell type,Protroph,cell type,subclass of,"They are saprotrophs.
"
Heterotroph,heterotroph,Dependent on others for their nutrition,heterotroph,subclass of," A few plants and all animals are dependent on others for their nutrition and are called heterotrophs.
"
Plant,taxon,Organism,anatomical entity,subclass of,"plants are grown.
"
Leguminous plant,plant,Plant,taxon,subclass of,"Most of the pulses (dals) are obtained from leguminous plants.
"
Autotroph,organism,Plant,taxon,subclass of,"In this chapter you learnt that most of the plants are autotrophs.
"
Parasitism,symbiosis,Sapirotroph,symbiosis,opposite of,"Only a few plants are parasitic or saprotrophic.
"
Organism,anatomical entity,Nutrition,science,uses,"They derive nutrition from other organisms.
"
Plant,taxon,Animal,taxon,subclass of,"All animals  are categorised as heterotrophs since they depend on plants and other animals for food.
"
Heterotroph,heterotroph,Plant,taxon,subclass of,"Can we say that the insectivorous plants are partial heterotrophs?
"
Autotroph,organism,Heterotroph,organism,subclass of,"Keywords Autotrophic Chlorophyll Heterotrophs Host Insectivorous Nutrient Nutrition Parasite Photosynthesis Saprotrophs Saprotrophic Stomata Rationalised 2023-24  NUTRITION IN PLANTS 9 Exercise 1.
"
Organism,anatomical entity,Food,disposable product,uses,"Why do organisms take food?
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Parasitism,symbiosis,Sapirotroph,symbiosis,opposite of,"Distinguish between a parasite and a saprotroph.
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Starch,food ingredient,Leaf,plant organ,part of,"How would you test the presence of starch in leaves?
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Green tea,tea,Tea,tea,subclass of,"Give a brief description of the process of synthesis of food in green plants.
"
4.5,literary work,Doctor Who,television series,part of the series,"5.
"
Plant,taxon,Food,disposable product,this taxon is source of,"Show with the help of a sketch that plants are the ultimate source of food.
"
5.6,"version, edition, or translation",5.7,"version, edition, or translation",followed by,"6.
"
Green plant,organisms known by a particular common name,Food,disposable product,subclass of,"Fill in the blanks: (a) Green plants are called _________________ since they synthesise their own food.
"
Plant,taxon,Food,disposable product,this taxon is source of,"(b) The food synthesised by plants is stored as _________________.
"
Photography,academic discipline,Solar energy,energy,uses,"(c) In photosynthesis solar energy is absorbed by the pigment called ___________.
"
Photosynthesis,biological process,Gas,fluid,has effect,"(d) During photosynthesis plants take in ______________________ and release __________________ gas.
"
5.7,album,6.1,album,followed by,"7.
"
Autotroph,plant,Plant,taxon,subclass of,"(ii) A plant that is partially autotrophic.
"
Pore,granular component,Exchange gas,gas,part of,"(iii) The pores through which leaves exchange gases.
"
8.8,album,9.9,album,followed by,"8.
"
Autotroph,organism,Parasitism,symbiosis,opposite of,"Tick the correct answer: (a) Cuscuta is an example of: (i) autotroph (ii) parasite (iii) saprotroph (iv) host (b) The plant which traps and feeds on insects is: (i) Cuscuta (ii) china rose (iv) pitcher plant (iv) rose 9.
"
Rhizobium,None,Nitrogen,chemical element,subclass of,"Match the items given in Column I with those in Column II: Column I Column II Chlorophyll Rhizobium Nitrogen Heterotrophs Cuscuta Pitcher plant Animals Leaf Insects Parasite 10.
"
Carbon dioxide,None,Carbon,chemical element,has parts of the class,"Mark ‘T’ if the statement is true and ‘F’ if it is false: (i) Carbon dioxide is released during photosynthesis.
"
Plant,taxon,Food,disposable product,this taxon is source of,"(T/F) (ii) Plants which synthesise their food are called saprotrophs.
"
Photosynthesis,biological process,Protein,group or class of chemical substances,different from,"(T/F) Rationalised 2023-24  SCIENCE 10 (iii) The product of photosynthesis is not a protein.
"
Photosynthesis,biological process,Solar energy,energy,uses,"(T/F) (iv) Solar energy is converted into chemical energy during photosynthesis.
"
T/F,FM broadcasting,FM broadcasting,radio format,instance of,"(T/F) 11.
"
Carbon dioxide,None,Carbon,chemical element,has parts of the class,"Choose the correct option from the following: Which part of the plant takes in carbon dioxide from the air for photosynthesis?
"
Petal,nan,Leaf,plant organ,part of,"(i) Root hair (ii) Stomata (iii) Leaf veins (iv) Petals 12.
"
Root,plant organ,Plant,taxon,part of,"Choose the correct option from the following: Plants take carbon dioxide from the atmosphere mainly through their: (i) roots (ii) stem (iii) flowers (iv) leaves 13.
"
Greenhouse,architectural structure,Agriculture,academic discipline,use,"Why do farmers grow many fruits and vegetable crops inside large green houses?
"
Agriculture,academic discipline,Farmer,agricultural worker,practiced by,"What are the advantages to the farmers?
"
 Activities and Projects,literary work,Extended Learning,None,part of,"Extended Learning — Activities and Projects 1.
"
Potted plant,plant,Leaf,plant organ,has parts of the class,"Project Take a potted plant with broad leaves.
"
Paper,intermediate product,Cutting,activity,use,"Take two strips of black paper and cut out a small square in the centres.
"
Paper clip,cling,Leaf securing,None,use,"Cover a part of two leaves with these papers and secure them with paper clips (Fig. 1.9).
"
Day,UCUM derived unit,Sunlight,light,part of,"Keep the plant in sunlight for 2–5 days.
"
Glossary of leaf morphology,morphology,Leaf,plant organ,facet of,"Observe the difference in the colour of the covered and the uncovered portions on the leaf.
"
Iodine test,medical test,Medical test,medical procedure,instance of,"Perform iodine test on this leaf.
"
Leaf,plant organ,Leaf,plant organ,part of,"Now take second leaf.
"
Iodine test,medical test type,Sunlight,light,uses,"Remove the strip and expose the covered part to the sunlight for 2–3 days and do the iodine test again.
"
Lebanon,sovereign state,Rome,comune of Italy,capital,"Describe your observations.
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Greenhouse,architectural structure,Greenhouse,architectural structure,subclass of,"Visit a green house if there is one near your place.
"
Plant,taxon,Cultivar,taxon,studied by,"Observe how they grow plants.
"
Carbon dioxide,None,Light,electromagnetic wave,has parts of the class,"Find out how they regulate the amount of light, water and carbon dioxide to grow the plants.
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Sweet potato,taxon,Water,None,has fruit type,"Try growing a sweet potato just in water.
"
Experiment,test,Observation,process,has effect,"Describe your experiment and observations.
"
Photosynth,None,Photosynthesis,biological process,facet of,"You can read more on the following website: www.phschool.com/science/biology_place/biocoach/photosynth/ overview.htm Fig. 1.9  Experiment to test the occurrence of photosynthesis Did you know?
"
Plant,taxon,Light,electromagnetic wave,uses,"Light is so important to plants that their leaves grow in many patterns so as to absorb maximum sunlight.
"
Photosynthesis,biological process,Food,disposable product,has effect,"Rationalised 2023-24  2Nutrition in Animals Y ou have learnt in Chapter 1 that plants can prepare their own food by the process of photosynthesis but animals cannot.
"
Animal,taxon,Food,disposable product,this taxon is source of,"Animals get their food from plants, either directly by eating plants or indirectly by eating animals that eat plants.
"
Plant,taxon,Animal,taxon,subclass of,"Some animals eat both plants and animals.
"
Organism,anatomical entity,Food,disposable product,uses,"Recall that all organisms including humans require food for growth, repair and functioning of the body.
"
Animal nutrition,nutrition,Nutrition,science,subclass of,"Animal nutrition includes nutrient requirement, mode of intake of food and its utilisation in the body.
"
4,natural number,Natural number,integer sequence,instance of,"______________________ 4.
"
5,natural number,Natural number,integer sequence,instance of,"______________________ 5.
"
6,natural number,Natural number,integer sequence,instance of,"______________________ 6.
"
Carbohydrate,structural class of chemical compounds,Food,disposable product,part of,"______________________ The components of food such as carbohydrates are complex substances.
"
Chemical substance,group or class of chemical substances,Chemical substance,group or class of chemical substances,part of,"These complex substances cannot be utilised as such.
"
Simple substance,None,Complex substance,None,opposite of,"So they are broken down into simpler substances.
"
Snail,organisms known by a particular common name,Digestion,biological process,use,"The breakdown of complex components of Table 2.1 Various modes of feeding Name of Kind of Mode of animal food feeding Snail Ant Eagle Humming-bird Lice Mosquito Butterfly House fly (Scraping, chewing, siphoning, capturing and swallowing, sponging, sucking etc.) food into simpler substances is called digestion.
"
Organism,anatomical entity,Food,disposable product,uses,"2.1 DIFFERENT WAYS OF TAKING FOOD The mode of taking food into the body varies in different organisms.
"
Bee,clade,Nectar,secretion or excretion,uses,"Bees and humming-birds suck the nectar of plants, infants of human and many other animals feed on mother’s milk.
"
Python,taxon,Snake,organisms known by a particular common name,parent taxon,"Snakes like the python swallow the animals they prey upon.
"
Fish filtration,None,Aquatic animal,animal,facet of,"Some aquatic animals filter tiny food particles floating nearby and feed upon them.
"
Type of food,food,Mode of feeding,class,subclass of,"Activity 2.1 What is the type of food and mode of feeding of the following animals?
"
Starfish,taxon,Calcium carbonate,None,this taxon is source of,"Complex substance Simpler substances Rationalised 2023-24  SCIENCE 12 Fig. 2.1  Starfish Amazing fact Starfish feeds on animals covered by hard shells of calcium carbonate.
"
