Entity,Definition,Images
Exercise @Multiple Choice Questions,Not found on Wikipedia,['Image not found']
Chromosome pair,Not found on Wikipedia,['Image not found']
Rain,Rain is water droplets that have condensed from atmospheric water vapor and then fall under gravity.,"['https://upload.wikimedia.org/wikipedia/commons/5/5a/1988_US_Rain.ogv', 'https://upload.wikimedia.org/wikipedia/commons/f/f6/1993_US_Rain.ogv', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/250mm_Rain_Gauge.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0a/Atlanta_thermal.jpg']"
Jiffi branch linea,Not found on Wikipedia,['Image not found']
Ammonium nitrate,Ammonium nitrate is a chemical compound with the chemical formula NH4NO3.,"['https://upload.wikimedia.org/wikipedia/commons/d/d4/Ammonium-nitrate-2D.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cf/Ammonium-nitrate-xtal-3D-balls-A.png', 'https://upload.wikimedia.org/wikipedia/commons/8/87/Ammonium_Nitrate.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/GHS-pictogram-exclam.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/GHS-pictogram-explos.svg']"
Child,"A child (plural: children) is a human being between the stages of birth and puberty, or between the developmental period of infancy and puberty.","['https://upload.wikimedia.org/wikipedia/commons/0/03/2012_Infant_mortality_rate_per_1000_live_births%2C_under-5%2C_world_map.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/df/A_girl_at_a_Japanese_kindergarten_entrance_ceremony%2C_April_2019_%2803%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/32/African_child.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c2/Boys_in_front_of_the_movie_theatre_on_Dundas_Street.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8e/Child.ogg']"
Mustard oil,"Mustard oil can mean either the pressed oil used for cooking, or a pungent essential oil also known as volatile oil of mustard.","['https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/Grinding_Mustard_Seed_for_oil.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e3/Mustard_Oil_%26_Seeds_-_Kolkata_2003-10-31_00537.JPG', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
Tidy,Tidy may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
2016 Canadian federal election,Not found on Wikipedia,['Image not found']
Nazrul Islam,Not found on Wikipedia,['Image not found']
Sciel1ce,Not found on Wikipedia,['Image not found']
S-type earthquake,Not found on Wikipedia,['Image not found']
Curriculum,"In education, a curriculum (; PL: curricula  or curriculums) is broadly defined as the totality of student experiences that occur in the educational process.","['https://upload.wikimedia.org/wikipedia/commons/8/86/Brown%27s_Open_Curriculum_banner.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b2/E7331-MFTI-Glavny-Korpus-schedule.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/MMC_MD_Curriculum.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Iii,Not found on Wikipedia,['Image not found']
Day,A day is the time period of a full rotation of the Earth with respect to the Sun.,"['https://upload.wikimedia.org/wikipedia/commons/c/c9/Adolf_Stademann_Flusslandschaft_im_Mondschein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/63/Aleutian_Islands_with_180th_meridian_and_International_Date_Line_%28cropped%29.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Decimal_Clock_face_by_Pierre_Daniel_Destigny_1798-1805.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/EpicEarth-Globespin-tilt-23.4.gif']"
Woman,A woman is an adult female human.,"['https://upload.wikimedia.org/wikipedia/commons/a/a8/11-stages-womanhood-1840s.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/94/Abeer_Mostafa_at_work.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e5/Anterior_view_of_human_female_and_male%2C_with_labels_2.png', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Bhutan_%2863774069%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Bolivia_la_paz_literacy_LOC.jpg']"
Oiganic substance,Not found on Wikipedia,['Image not found']
The force upward upon you,Not found on Wikipedia,['Image not found']
Electrical conductivity,Not found on Wikipedia,['Image not found']
Microphone,"A microphone, colloquially called mic or mike (), is a transducer that converts sound into an electrical signal.","['https://upload.wikimedia.org/wikipedia/commons/c/c3/45_record.png', 'https://upload.wikimedia.org/wikipedia/commons/3/30/AKG_C214_condenser_microphone_with_H85_shock_mount.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/65/AKG_C451B.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Astatic_crystal_mic.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/67/Asus_Zenbook_UX32V_-_webcam_module_-_AK230_0539L_4911C-0108.jpg']"
Geography of the Earth,Not found on Wikipedia,['Image not found']
296 Science,Not found on Wikipedia,['Image not found']
Oil processing,Not found on Wikipedia,['Image not found']
Human rights,Human rights are moral principles or norms for certain standards of human behaviour and are regularly protected in municipal and international law.,"['https://upload.wikimedia.org/wikipedia/commons/0/01/A_coloured_voting_box.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/17/Balance%2C_by_David.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Camp_x-ray_detainees.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Declaration_of_the_Rights_of_Man_and_of_the_Citizen_in_1789.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Declaration_of_the_Rights_of_Man_and_of_the_Citizen_in_1789.jpg']"
Capacitor,A capacitor is a device that stores electrical energy in an electric field by virtue of accumulating electric charges on two close surfaces insulated from each other.,"['https://upload.wikimedia.org/wikipedia/commons/b/b4/Axial_electrolytic_capacitors.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Big_SMD_capacitor_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/94/Capacitor-animation.gif', 'https://upload.wikimedia.org/wikipedia/commons/5/5a/Capacitor.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/60/Capacitor3Dmodel.png']"
Los Angeles,"Los Angeles (US:  (listen) lawss AN-jəl-əs; Spanish: Los Ángeles [los ˈaŋxeles], lit. 'The Angels'), often referred to by its initials L.A., is the commercial, financial, and cultural center of Southern California.","['https://upload.wikimedia.org/wikipedia/commons/b/b5/COL-city_icon.png', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/Cal_State_University%2C_Los_Angeles.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/City_Hall_interior.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/17/Crypto.com_Arena_2022.jpg']"
Exercise ® Ma1tlp1e Choice Queatlom,Not found on Wikipedia,['Image not found']
Inner Mongolia,"Inner Mongolia, officially the Inner Mongolia Autonomous Region (IMAR), is an autonomous region of the People's Republic of China.","['https://upload.wikimedia.org/wikipedia/commons/b/bd/1912_Inner_Mongolia.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2b/Administrative_Division_Inner_Mongolia.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/Alasa_ayimag.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/AlshaaBaruunHiid.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/AlshaaUul.jpg']"
Spleen,The spleen is an organ found in almost all vertebrates.,"['https://upload.wikimedia.org/wikipedia/commons/f/ff/3D_Medical_Animation_Spleen_Anatomy.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a2/Gray1188.png', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Gray1189.png', 'https://upload.wikimedia.org/wikipedia/commons/7/72/Gray1217.png']"
Medicine,"Medicine is the science and practice of caring for a patient, managing the diagnosis, prognosis, prevention, treatment, palliation of their injury or disease, and promoting their health.","['https://upload.wikimedia.org/wikipedia/commons/b/b3/Al-Risalah_al-Dhahabiah.JPG', 'https://upload.wikimedia.org/wikipedia/commons/3/3c/Albert_Edelfelt_-_Louis_Pasteur_-_1885.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d2/Asklepios.3.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1e/Changing_lives_for_girls_and_women_every_week_%2812330467294%29.jpg']"
Environmen1al problem,Not found on Wikipedia,['Image not found']
Aigment,Not found on Wikipedia,['Image not found']
J. M. W. Turner,"Joseph Mallord William Turner  (23 April 1775 – 19 December 1851), known in his time as William Turner, was an English Romantic painter, printmaker and watercolourist.","['https://upload.wikimedia.org/wikipedia/commons/e/e1/Chicago_art_inst_turner_vallee_aoste.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/DV307_no.70_House_where_Turner_was_born%2C_from_a_print.png', 'https://upload.wikimedia.org/wikipedia/commons/0/08/DortorDordrecht.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Joseph_Mallord_William_Turner%2C_English_-_The_Burning_of_the_Houses_of_Lords_and_Commons%2C_October_16%2C_1834_-_Google_Art_Project.jpg']"
Baae,Not found on Wikipedia,['Image not found']
Currency,"A currency is a standardization of money in any form, in use or circulation as a medium of exchange, for example banknotes and coins.","['https://upload.wikimedia.org/wikipedia/commons/a/a1/2002_currency_exchange_AIGA_euro_money.png', 'https://upload.wikimedia.org/wikipedia/commons/c/c8/AIGA_Currency_Exchange_-_Euro.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/52/A_print_from_1845_shows_cowry_shells_being_used_as_money_by_an_Arab_trader.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Bills_and_coins.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Engineering,"Engineering is the use of scientific principles to design and build machines, structures, and other items, including bridges, tunnels, roads, vehicles, and buildings.","['https://upload.wikimedia.org/wikipedia/commons/0/0d/Agricola1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Booster-Layout.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/CFD_Shuttle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Polymer,"A polymer (; Greek poly-, ""many"" + -mer, ""part"")","['https://upload.wikimedia.org/wikipedia/commons/1/16/Algae_Graphic.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/60/Alternating_copolymer_3D.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/27/Atactic-2D-skeletal.png', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Bills_and_coins.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/97/Block_copolymer_3D.svg']"
Finger,"A finger is a limb of the body and a type of digit, an organ of manipulation and sensation found in the hands of most of the Tetrapods, so also with humans and other primates.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/69/Fingers_of_a_bat_-_Corynorhinus_townsendii.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/33/Fingers_of_a_treefrog.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/27/Human_fingers_both_sides_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Ear,"An ear is the organ that enables hearing and, in mammals, body balance using the vestibular system.","['https://upload.wikimedia.org/wikipedia/commons/c/ca/1871_Descent_F937.1_fig03.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/28/2009-03-07Vulpes_zerda016.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/2017-07-22_Amphi_festival_2017_013.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Blausen_0329_EarAnatomy_InternalEar.png', 'https://upload.wikimedia.org/wikipedia/commons/8/81/Blausen_0330_EarAnatomy_MiddleEar.png']"
Communication medium,Not found on Wikipedia,['Image not found']
Viscose rayon,Not found on Wikipedia,['Image not found']
Cod,"Cod is the common name for the demersal fish genus Gadus, belonging to the family Gadidae.","['https://upload.wikimedia.org/wikipedia/commons/e/ee/20020810_15sant_Latvia_Postage_Stamp.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Atlantic_cod.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/Blue_walleye.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c0/Carlisle_Packing_Co_floating_cannery_NOAA.jpg']"
Night,"Night (also described as nighttime, unconventionally spelled as ""nite"") is the period of ambient darkness from sunset to sunrise during each 24-hour day, when the Sun is below the horizon.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Cumulus_clouds_in_fair_weather.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/En-Night-article.ogg']"
Universality,Universality most commonly refers to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Nitrogen,Nitrogen is the chemical element with the symbol N and atomic number 7.,"['https://upload.wikimedia.org/wikipedia/commons/4/48/A_cylinder_container%2C_containing_liquid_nitrogen.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Borazin_Mesomers1.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0f/Buckminsterfullerene-perspective-3D-balls.png', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg']"
DNA,Deoxyribonucleic acid ( (listen); DNA) is a polymer composed of two polynucleotide chains that coil around each other to form a double helix.,"['https://upload.wikimedia.org/wikipedia/commons/3/3a/5-Methylcytosine.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/db/Base_pair_AT.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Base_pair_GC.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Benzopyrene_DNA_adduct_1JDG.png', 'https://upload.wikimedia.org/wikipedia/commons/0/08/Branch-DNA-multiple.svg']"
Simple life,Not found on Wikipedia,['Image not found']
Freezing,Freezing is a phase transition where a liquid turns into a solid when its temperature is lowered below its freezing point.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0c/Light_glinting_off_icicles.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/SuperCool_2009-01-02.ogv', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Formalin,Not found on Wikipedia,['Image not found']
More meat,Not found on Wikipedia,['Image not found']
Alkaline minerals,Not found on Wikipedia,['Image not found']
Proper quantity,Not found on Wikipedia,['Image not found']
Electronics,"Electronics is a scientific and engineering discipline that studies and applies the principles of physics to design, create, and operate electronic devices that manipulate electrons and other charged particles.","['https://upload.wikimedia.org/wikipedia/commons/d/d9/Arduino_ftdi_chip-1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Audion_receiver.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ea/Componentes.JPG']"
Light-emitting diode,A light-emitting diode (LED) is a semiconductor device that emits light when current flows through it.,"['https://upload.wikimedia.org/wikipedia/commons/2/21/2007-07-24_High-power_light_emitting_diodes_%28Luxeon%2C_Lumiled%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/eb/8-digit-multiplex-7-segment-LED-X-Ray.tif', 'https://upload.wikimedia.org/wikipedia/commons/f/fc/Blue_light_emitting_diodes_over_a_proto-board.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Br20_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Small intestine,The small intestine or small bowel is an organ in the gastrointestinal tract where most of the absorption of nutrients from food takes place.,"['https://upload.wikimedia.org/wikipedia/commons/6/61/Absorption_of_glucose_in_the_small_intestine.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/Blausen_0817_SmallIntestine_Anatomy.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e5/Cross_Section_of_a_Small_Intestine.png', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg']"
Aerobic organism,An aerobic organism or aerobe is an organism that can survive and grow in an oxygenated environment.,"['https://upload.wikimedia.org/wikipedia/commons/9/90/Anaerobic.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg']"
Sheep food,Not found on Wikipedia,['Image not found']
Salt,"Salt is a mineral composed primarily of sodium chloride (NaCl), a chemical compound belonging to the larger class of salts; salt in the form of a natural crystalline mineral is known as rock salt or halite.","['https://upload.wikimedia.org/wikipedia/commons/7/77/1993_Golmud_salt_pans.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Bills_and_coins.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/Bo_Kluea_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Bolivian_rose_salt.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/CH-NB_-_Afghanistan%2C_Bamiyan%2C_Bamyan_%28Bamian%29-_Menschen_-_Annemarie_Schwarzenbach_-_SLA-Schwarzenbach-A-5-20-159.jpg']"
Female,"An organism's sex is female (symbol: ♀) if it produces the ovum (egg cell), the type of gamete (sex cell) that fuses with the male gamete (sperm cell) during sexual reproduction.A female has larger gametes than a male.","['https://upload.wikimedia.org/wikipedia/commons/e/e5/Anterior_view_of_human_female_and_male%2C_with_labels_2.png', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Beowulf_-_faemnan.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Bisexuality_symbol_%28bold%2C_color%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Trade,"Trade involves the transfer of goods and services from one person or entity to another, often in exchange for money.","['https://upload.wikimedia.org/wikipedia/commons/d/d7/Accarias_de_S%C3%A9rionne_-_Int%C3%A9r%C3%AAts_des_nations_de_l%27Europe%2C_d%C3%A9v%C3%A9lop%C3%A9s_relativement_au_commerce%2C_1766_-_5790093.tif', 'https://upload.wikimedia.org/wikipedia/commons/0/02/Attic_red-figure_Pottery_in_the_Eremitage_Sankt_Petersburg.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Austronesian_maritime_trade_network_in_the_Indian_Ocean.png', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Berber_Trade_with_Timbuktu_1300s.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/57/Caduceus.svg']"
Urnarckism,Not found on Wikipedia,['Image not found']
Water soluble vitamins,Not found on Wikipedia,['Image not found']
Fast food,"Fast food is a type of mass-produced food designed for commercial resale, with a strong priority placed on speed of service.","['https://upload.wikimedia.org/wikipedia/commons/0/09/1104_Pasztecik_Szczeci%C5%84ski_Bar.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/25/20070509_Rock_26_Roll_McDonalds_from_7th_fl_of_Sports_Authority.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9c/2007feb-sushi-odaiba-manytypes.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/4_donuts.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg']"
Lung,"The lungs are the primary organs of the respiratory system in humans and most other animals, including some snails and a small number of fish.","['https://upload.wikimedia.org/wikipedia/commons/e/ef/3D_CT_of_thorax%2C_annotated.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/3D_Medical_Animation_Bronchial_Airways_terminating_ends.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/46/Alveolus_diagram.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Axolotl_ganz.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/BirdRespiration.svg']"
Blood transfusion,Blood transfusion is the process of transferring blood products into a person's circulation intravenously.,"['https://upload.wikimedia.org/wikipedia/commons/5/5a/A_A_Bogdanov.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/92/Agote_1a_transfusi%C3%B3n.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/40/Blausen_0086_Blood_Bag.png', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Blausen_0087_Blood_Transfusion.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d0/Blood_bag_2020.jpg']"
Nitric acid,Nitric acid is the inorganic compound with the formula HNO3.,"['https://upload.wikimedia.org/wikipedia/commons/9/99/Aniline_from_Nitrobenzene.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Fuming_nitric_acid_40ml.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/GHS-pictogram-acid.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e5/GHS-pictogram-rondflam.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/NFPA_704.svg']"
Biological process,"Biological processes are those processes that are vital for an organism to live, and that shape its capacities for interacting with its environment.",['Image not found']
Fan,Fan commonly refers to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Vector_search_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Topological manifold,"In topology, a branch of mathematics, a topological manifold is a topological space that locally resembles real n-dimensional Euclidean space.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/08/Sphere_wireframe.svg']"
Investigation,Investigation or Investigations may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Transparent medium,Not found on Wikipedia,['Image not found']
Indigenous peoples,"Indigenous peoples are the earliest known inhabitants of an area, especially one that has been colonized by a now-dominant group of settlers.","['https://upload.wikimedia.org/wikipedia/commons/b/bc/1981_event_Australian_aboriginals.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3f/Africa_in_the_world_%28red%29_%28W3%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Age_of_Discovery_explorations_in_English.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Ainu_man.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8d/AlonsoFernandezdeLugo2.JPG']"
Computer data storage,Computer data storage is a technology consisting of computer components and recording media that are used to retain digital data.,"['https://upload.wikimedia.org/wikipedia/commons/9/97/35-Desktop-Hard-Drive.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Computer_storage_types.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e8/DDR2_ram_mounted.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/IBM_DJNA-351520_Hard_Disk_A.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Potable water,Not found on Wikipedia,['Image not found']
Informationational communication,Not found on Wikipedia,['Image not found']
Heatstroke,Not found on Wikipedia,['Image not found']
Ribonucleic acid,Not found on Wikipedia,['Image not found']
