Entity,Definition,Images
Mrinal Miri,Mrinal Miri (born 1 August 1940) is an Indian philosopher and educationalist.,"['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Graduation_hat.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/03/Scientist.svg']"
Rajiv Gandhi,Rajiv Gandhi ( (listen); 20 August 1944 – 21 May 1991) was an Indian politician who served as the sixth prime minister of India from 1984 to 1989.,"['https://upload.wikimedia.org/wikipedia/commons/0/0d/Bajaj-Polar-3.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Emblem_of_India.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg']"
NCER T,Not found on Wikipedia,[]
Mathematics,"Mathematics is an area of knowledge that includes the topics of numbers, formulas and related structures, shapes and the spaces in which they are contained, and quantities and their changes.","['https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/58/Bakhshali_numerals_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Cauchy_sequence_illustration.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Astrophysics,Astrophysics is a science that employs the methods and principles of physics and chemistry in the study of astronomical objects and phenomena.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/He1523a.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/NIEdot362.jpg']"
National Council for the Indian Railways,Not found on Wikipedia,[]
Lahiry Professor,Not found on Wikipedia,[]
University of Delhi,Not found on Wikipedia,[]
National Cancer Research Organisation,Not found on Wikipedia,[]
Sri Venkateswara College,"Sri Venkateswara College is a constituent college of the University of Delhi established in 1961 in New Delhi, India.","['https://upload.wikimedia.org/wikipedia/commons/f/f7/Celeb_Show_at_Nexus_2012%2C_Sri_Venkateswara_College%2C_Feb_2012.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/59/Delhiuni.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/82/Sri_Venkateswara_College_Main_Building%2C_Jun_2011.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Text_document_with_red_question_mark.svg']"
Indira Gandhi National Open University,"Indira Gandhi National Open University, known as IGNOU, is a Central University located at Maidan Garhi, New Delhi, India.","['https://upload.wikimedia.org/wikipedia/commons/d/dc/Flag_of_Delhi_Capital_Territory.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/IGNOUGATE.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
Manipur University,"Manipur University (Meitei: Manipur Taibang Maheikol) is a central university located in Imphal, Manipur, India.","['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/The_Prime_Minister%2C_Shri_Narendra_Modi_at_the_inauguration_of_the_105th_session_of_Indian_Science_Congress%2C_at_Manipur_University%2C_in_Imphal.jpg']"
India,"India, officially the Republic of India (Hindi: Bhārat Gaṇarājya), is a country in South Asia.","['https://upload.wikimedia.org/wikipedia/commons/d/d0/47_Raika_School_-_eating_together_%283384824242%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Agra_Fort_DistantTaj.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Aks_The_Reflection_Taj_Mahal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Asia_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Axis_axis_%28Nagarhole%2C_2010%29.jpg']"
Sunita Malhotra,Not found on Wikipedia,[]
National Council for Research in Education,Not found on Wikipedia,[]
National Council of Educational Resear ch and T raining NCER T,Not found on Wikipedia,[]
Ramjas School,Ramjas School may refer to:,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
India,"India, officially the Republic of India (Hindi: Bhārat Gaṇarājya), is a country in South Asia.","['https://upload.wikimedia.org/wikipedia/commons/d/d0/47_Raika_School_-_eating_together_%283384824242%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Agra_Fort_DistantTaj.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Aks_The_Reflection_Taj_Mahal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Asia_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Axis_axis_%28Nagarhole%2C_2010%29.jpg']"
Shukhvir Singh,Not found on Wikipedia,[]
Vinod Raina,Vinod Raina (died 12 September 2013) was an Indian educationist.,"['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/Vinod_Raina.jpg']"
Amitabha Mukherjee,Not found on Wikipedia,[]
Delhi,"Delhi, officially the National Capital Territory (NCT) of Delhi, is a city and a union territory of India containing New Delhi, the capital of India.","['https://upload.wikimedia.org/wikipedia/commons/9/93/Anglo_Arabic_School%27s_Hostel_earlier_known_as_Ghaziuddin_Khan_Madrasa.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Arvind_Kejriwal_smiling_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6e/Basant_Celebrations_at_Dargah.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/Birla_Mandir_Delhi.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Building_7_jamia.JPG']"
Pramila T. Anwar,Not found on Wikipedia,[]
Srivastava,"Srivastava (Hindi pronunciation: [ʃɾiːʋaːstəʋ]; Śrīvāstava), also spelled variously as Shrivastava, Shrivastav or Srivastav, is a common surname found amongst the Chitraguptavanshi Kayastha community of upper caste Hindus particularly in the Hindi-speaking regions of India.","['https://upload.wikimedia.org/wikipedia/commons/1/1b/Semi-protection-shackle.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg']"
Arvind Kumar,Arvind Kumar may refer to:,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Mumbai,"Mumbai (English:  (listen), Marathi: [ˈmumbəi]; also known as Bombay — the official name until 1995) is the capital city of the Indian state of Maharashtra and the de facto financial centre of India.","['https://upload.wikimedia.org/wikipedia/commons/3/39/..Maharashtra_Flag%28INDIA%29.png', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/1st_INC1885.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/95/AC-EMU-Mumbai.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/AMH-6748-NA_Two_views_of_the_English_fort_in_Bombay.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Bandra_Worli_Sea-Link_%28cropped%29.jpg']"
Professor M,Not found on Wikipedia,[]
Chandra Head,Not found on Wikipedia,[]
Shveta Uppal,Not found on Wikipedia,[]
Satish Kumar Mishra,Not found on Wikipedia,[]
NCER T,Not found on Wikipedia,[]
Paheli,Paheli (transl. Riddle) is a 2005 Indian Hindi-language fantasy film.,[]
Q&A,"Q&A (""question and answer"") may refer to:","['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Quezon,"Quezon, officially the Province of Quezon (Tagalog: Lalawigan ng Quezon), is a province in the Philippines located in the Calabarzon region on Luzon.","['https://upload.wikimedia.org/wikipedia/commons/2/20/Alibijaban_Island%2C_San_Andres%2C_Quezon_Province%2C_Philippines_%285%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/Angelina_Tan%2C_Governor_of_Quezon_%28cropped%29.png', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Cagbalete_Island1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/85/Famy-Real-Infanta_Road_segment%2C_Real%2C_Quezon.jpg']"
Science,"Science is a systematic endeavor that builds and organizes knowledge in the form of testable explanations and predictions about the universe.The earliest written records of identifiable predecessors to modern science come from Ancient Egypt and Mesopotamia from around 3000 to 1200 BCE. Their contributions to mathematics, astronomy, and medicine entered and shaped the Greek natural philosophy of classical antiquity, whereby formal attempts were made to provide explanations of events in the physical world based on natural causes.: 12  After the fall of the Western Roman Empire, knowledge of Greek conceptions of the world deteriorated in Western Europe during the early centuries (400 to 1000 CE) of the Middle Ages, but was preserved in the Muslim world during the Islamic Golden Age and later by the efforts of Byzantine Greek scholars who brought Greek manuscripts from the dying Byzantine Empire to Western Europe in the Renaissance.","['https://upload.wikimedia.org/wikipedia/commons/9/98/200_y_Anniversary_of_Berlin_Academy_1900.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/65/2021_Survey_on_existence_of_global_warming_and_responsibility_for_climate_change_-_bar_chart.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Black_hole_-_Messier_87_crop_max_res.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/CMB_Timeline300_no_WMAP.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Just dig and dig and dig into all possibilities,Not found on Wikipedia,[]
Sack Attack,Not found on Wikipedia,[]
Student,"A student is a person enrolled in a school or other educational institution.In the United Kingdom and most commonwealth countries, a ""student"" attends a secondary school or higher (e.g., college or university); those in primary or elementary schools are ""pupils"".","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Bookstore_at_Tulane_University%2C_Uptown_New_Orleans%2C_August_2009.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/04/Europa-Institut_graduation.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/High_school_students%2C_SAS_Pudong.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2d/Indian_schoolgirls_2.jpg']"
Paheli,Paheli (transl. Riddle) is a 2005 Indian Hindi-language fantasy film.,[]
India,"India, officially the Republic of India (Hindi: Bhārat Gaṇarājya), is a country in South Asia.","['https://upload.wikimedia.org/wikipedia/commons/d/d0/47_Raika_School_-_eating_together_%283384824242%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Agra_Fort_DistantTaj.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Aks_The_Reflection_Taj_Mahal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Asia_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Axis_axis_%28Nagarhole%2C_2010%29.jpg']"
Yesterday,Yesterday or yesterdays may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
1 F OOD VARIETY,Not found on Wikipedia,[]
India,"India, officially the Republic of India (Hindi: Bhārat Gaṇarājya), is a country in South Asia.","['https://upload.wikimedia.org/wikipedia/commons/d/d0/47_Raika_School_-_eating_together_%283384824242%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Agra_Fort_DistantTaj.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Aks_The_Reflection_Taj_Mahal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Asia_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Axis_axis_%28Nagarhole%2C_2010%29.jpg']"
What do we eat,Not found on Wikipedia,[]
Rice,Rice is the seed of the grass species Oryza sativa (Asian rice) or less commonly O. glaberrima (African rice).,"['https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Brown_rice_cooked.JPG', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/COLLECTIE_TROPENMUSEUM_Beeld_van_Dewi_Sri_de_rijstgodin_TMnr_60016918.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Chinese_rice_grasshopper_%28Oxya_chinensis%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/01/Chloroxylon_from_India.JPG']"
Boiling,Boiling is the rapid phase transition from liquid to gas or vapor; the reverse of boiling is condensation.,"['https://upload.wikimedia.org/wikipedia/commons/d/dd/Boiling_water_-_close_up_%28short_shutter_speed%29.ogv', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8d/Flickr_-_cyclonebill_-_Pasta_%281%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Goblet_Glass_%28Banquet%29.svg']"
Rice,Rice is the seed of the grass species Oryza sativa (Asian rice) or less commonly O. glaberrima (African rice).,"['https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Brown_rice_cooked.JPG', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/COLLECTIE_TROPENMUSEUM_Beeld_van_Dewi_Sri_de_rijstgodin_TMnr_60016918.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Chinese_rice_grasshopper_%28Oxya_chinensis%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/01/Chloroxylon_from_India.JPG']"
Food ingredient,Not found on Wikipedia,[]
Vegetable curry,Not found on Wikipedia,[]
Elder,An elder is someone with a degree of seniority or authority.,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Science,"Science is a systematic endeavor that builds and organizes knowledge in the form of testable explanations and predictions about the universe.The earliest written records of identifiable predecessors to modern science come from Ancient Egypt and Mesopotamia from around 3000 to 1200 BCE. Their contributions to mathematics, astronomy, and medicine entered and shaped the Greek natural philosophy of classical antiquity, whereby formal attempts were made to provide explanations of events in the physical world based on natural causes.: 12  After the fall of the Western Roman Empire, knowledge of Greek conceptions of the world deteriorated in Western Europe during the early centuries (400 to 1000 CE) of the Middle Ages, but was preserved in the Muslim world during the Islamic Golden Age and later by the efforts of Byzantine Greek scholars who brought Greek manuscripts from the dying Byzantine Empire to Western Europe in the Renaissance.","['https://upload.wikimedia.org/wikipedia/commons/9/98/200_y_Anniversary_of_Berlin_Academy_1900.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/65/2021_Survey_on_existence_of_global_warming_and_responsibility_for_climate_change_-_bar_chart.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Black_hole_-_Messier_87_crop_max_res.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/CMB_Timeline300_no_WMAP.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
What do we find,Not found on Wikipedia,[]
Pork,Pork is the culinary name for the meat of the pig (Sus domesticus).,"['https://upload.wikimedia.org/wikipedia/commons/9/90/01_Sch%C3%A4ufele_und_Kn%C3%B6del.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/02_Galizische_Spezialit%C3%A4ten%2C_Rudawka_Rymanowska_2013.JPG', 'https://upload.wikimedia.org/wikipedia/commons/b/bc/1850_le_depecage_de_porc_par_Louis_Humbert_de_Molard_1847_1898.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/BCfood12.JPG', 'https://upload.wikimedia.org/wikipedia/commons/9/9c/Bacon_Explosion_finished.JPG']"
Food,Food is any substance consumed by an organism for nutritional support.,"['https://upload.wikimedia.org/wikipedia/commons/4/40/Aquatic_food_web.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Channelcat.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Foods_%28cropped%29.jpg']"
Vegetable,Vegetables are parts of plants that are consumed by humans or other animals as food.,"['https://upload.wikimedia.org/wikipedia/commons/3/33/7carrots.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/AUSAID_SOUTH_AFRICA_%2810672860713%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fb/Aubergine.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/Bean_field_Seabrook_Farm1a33785v.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/db/Bohne_z01.JPG']"
Wheat,"Wheat is a grass widely cultivated for its seed, a cereal grain that is a worldwide staple food.","['https://upload.wikimedia.org/wikipedia/commons/2/23/CSIRO_ScienceImage_10772_Rustaffected_wheat_seedlings.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1e/Eilensen_Mb_%282018%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg']"
Meat,Meat is animal flesh that is eaten as food.,"['https://upload.wikimedia.org/wikipedia/commons/0/03/Animal_Abuse_Battery_Cage_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Atria_slaughterhouse_in_Nurmo_Seinajoki.JPG', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Blade_steak.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg']"
Animal food,Not found on Wikipedia,[]
2 Sources of food ingredients,Not found on Wikipedia,[]
Mustard seed,Mustard seeds are the small round seeds of various mustard plants.,"['https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg']"
Cereal,"A cereal is any grass cultivated for the edible components of its grain (botanically, a type of fruit called a caryopsis), which is composed of an endosperm, a germ, and a bran.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Dried_Cereal_grains_and_other_similar_products_in_Glass_jars_in_the_Herbarium_collection_at_Leiden.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/Green_rice_sheaves_planted_in_a_paddy_field_with_long_shadows_at_golden_hour_in_Don_Det_Laos.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Les_Plantes_Cultivades._Cereals._Imatge_119.jpg']"
Goat,The goat or domestic goat (Capra hircus) is a domesticated species of goat-antelope typically kept as livestock.,"['https://upload.wikimedia.org/wikipedia/commons/5/55/A_white_irish_goat.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Amalthea_Julien_Louvre_CC230.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/Angora_001.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Asseta_Lompo_with_her_goats.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Atlit-Yam_%E2%80%93_Horn_Cores_of_goat.JPG']"
Curd,Curd is obtained by coagulating milk in a sequential process called curdling.,"['https://upload.wikimedia.org/wikipedia/commons/4/46/Cheese_Curds_with_scale_measurement.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/Fabrication_du_Beaufort_%2811%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/df/Kaimi%C5%A1ka_var%C5%A1k%C4%97.JPG']"
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia.","['https://upload.wikimedia.org/wikipedia/commons/6/64/20090730_020239_Rotifer.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/20191203_Anomalocaris_canadensis.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/A_colourful_Sponge_on_the_Fathom.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Alexander_Coosemans_-_Still_Life_with_Lobster_and_Oysters.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Amphiporus_angulatus.png']"
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.,"['https://upload.wikimedia.org/wikipedia/commons/1/14/Barbara_McClintock_%281902-1992%29_shown_in_her_laboratory_in_1947.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png', 'https://upload.wikimedia.org/wikipedia/commons/c/cf/Eenbruinigherfstblad.jpg']"
Leaf vegetable,"Leaf vegetables, also called leafy greens, pot herbs, vegetable greens, or simply greens, are plant leaves eaten as a vegetable, sometimes accompanied by tender petioles and shoots.","['https://upload.wikimedia.org/wikipedia/commons/4/4b/Kale-Bundle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1b/More_Liponda.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Ong_choy_water_spinach.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/Pansotti_alle_noci_01.JPG']"
Root,"In vascular plants, the roots are the organs of a plant that are modified to provide anchorage for the plant and take in water and nutrients into the plant body, which allows  plants to grow taller and faster.","['https://upload.wikimedia.org/wikipedia/commons/8/87/Adventitious_roots_on_Odontonema_aka_Firespike.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/42/Aerial_root.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/df/ArabidopsisLatRoot.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/CSIRO_ScienceImage_11626_Barley_root.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
