Entity,Definition,Images
Money plant,"Money plant may refer to several species, including:","['https://upload.wikimedia.org/wikipedia/commons/2/2d/A_40_year_old_jade_plant_%28Crassula_ovata%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9d/Epipremnum_aureum_31082012.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/HydrocotyleVulgaris.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/56/Lunaria_annua%2C_without_seeds.jpg']"
Pollen sac,Pollen sac may refer to:,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Nerve fiber,Not found on Wikipedia,['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']
Eye-ball,Not found on Wikipedia,['Image not found']
Sense,"A sense is a biological system used by an organism for sensation, the process of gathering information about the world through the detection of stimuli.","['https://upload.wikimedia.org/wikipedia/commons/6/65/1668_G%C3%A9rard_de_Lairesse_-_Allegory_of_the_Five_Senses.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2d/Issoria_lathonia.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Lesson 5,Not found on Wikipedia,['Image not found']
Place of birth,The place of birth (POB) or birthplace is the place where a person was born.,"['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b8/World_Citizen_Symbol.svg']"
Cockroacll,Not found on Wikipedia,['Image not found']
Probability,"In science, the probability of an event is a number that indicates how likely the event is to occur.","['https://upload.wikimedia.org/wikipedia/commons/3/33/Bendixen_-_Carl_Friedrich_Gau%C3%9F%2C_1828.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/03/Cardano.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Christiaan_Huygens-painting.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Dice_Distribution_%28bar%29.svg']"
Weight,"In science and engineering, the weight of an object is the force acting on the object due to acceleration or gravity.Some standard textbooks define weight as a vector quantity, the gravitational force acting on the object.","['https://upload.wikimedia.org/wikipedia/commons/4/47/3199_-_Athens_-_Sto%C3%A0_of_Attalus_Museum_-_Bronze_weights_-_Photo_by_Giovanni_Dall%27Orto%2C_Nov_9_2009.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/27/Bascula_9.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8c/Nitrolympics_TopFuel_2005.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Peso-Valdivia-dsc02545.jpg']"
Normal drawn,Not found on Wikipedia,['Image not found']
Teeth heterodont,Not found on Wikipedia,['Image not found']
Nervous system,"In biology, the nervous system is the highly complex part of an animal that coordinates its actions and sensory information by transmitting signals to and from different parts of its body.","['https://upload.wikimedia.org/wikipedia/commons/8/89/Bilaterian-plan.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/CNS_protection.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/Chemical_synapse_schema_cropped.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Descartes-reflex.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/4c/Development_of_the_neural_tube.png']"
Correct and incorrect statements,Not found on Wikipedia,['Image not found']
Ampexe,Not found on Wikipedia,['Image not found']
Physical property,"A physical property is any property that is measurable, whose value describes a state of a physical system.","['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
Gibberellin,"Gibberellins (GAs) are plant hormones that regulate various developmental processes, including stem elongation, germination, dormancy, flowering, flower development, and leaf and fruit senescence.","['https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Ent-Gibberellane.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Ent-Kauren.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d2/GA_signal_cascade.png', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Gibberellic_acid.svg']"
Natural environment,"The natural environment or natural world encompasses all living and non-living things occurring naturally, meaning in this case not artificial.","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Ahja_j%C3%B5e_%C3%BCrgorg.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Air_pollution_by_industrial_chimneys.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Aletschgletsjer_Zwitserland.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/f5/Amazon_Rainforest-bird_site.jpg']"
Science Jackal,Not found on Wikipedia,['Image not found']
Water vapor,"Water vapor, water vapour or aqueous vapor is the gaseous phase of water.","['https://upload.wikimedia.org/wikipedia/commons/4/4b/Above_the_Clouds.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/61/Artist%27s_Concept_of_Europa_Water_Vapor_Plume.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/15/Atmosphere_of_exoplanet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/Atmospheric_Water_Vapor_Mean.2005.030.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/BAMS_climate_assess_boulder_water_vapor_2002_-_2.png']"
Europe,"Europe is a continent comprising the westernmost peninsulas of Eurasia, located entirely in the Northern Hemisphere and mostly in the Eastern Hemisphere.","['https://upload.wikimedia.org/wikipedia/commons/9/9d/1916_political_map_of_Europe.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/Africa_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9d/Afro-Eurasia_%28orthographic_projection%29_political.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/Alliances_militaires_en_Europe_1914-1918-fr.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Americas_%28orthographic_projection%29.svg']"
Diploid,Not found on Wikipedia,['Image not found']
Mixed food,Not found on Wikipedia,['Image not found']
Hydrogen,Hydrogen is the chemical element with the symbol H and atomic number 1.,"['https://upload.wikimedia.org/wikipedia/commons/0/09/19._%D0%95%D0%BA%D1%81%D0%BF%D0%BB%D0%BE%D0%B7%D0%B8%D1%98%D0%B0_%D0%BD%D0%B0_%D1%81%D0%BC%D0%B5%D1%81%D0%B0_%D0%BE%D0%B4_%D0%B2%D0%BE%D0%B4%D0%BE%D1%80%D0%BE%D0%B4_%D0%B8_%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85.webm', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/Antoine-Laurent_Lavoisier_%28by_Louis_Jean_Desire_Delaistre%29RENEW.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1c/Blausen_0530_HydrogenIsotopes.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Crystal_energy.svg']"
Primary consumer,Not found on Wikipedia,['Image not found']
Cross-pollination,Not found on Wikipedia,['Image not found']
Glass pipe,Not found on Wikipedia,['Image not found']
Survival,"Survival, or the act of surviving, is the propensity of something to continue existing, particularly when this is done despite conditions that might kill or destroy it.","['https://upload.wikimedia.org/wikipedia/commons/4/44/Cobra_Gold_Jungle_Survival.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Survival_outpost_in_Antarctica.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Survival_outpost_in_Antarctica.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg']"
Red blood cell,"Red blood cells (RBCs), also referred to as red cells, red blood corpuscles (in humans or other animals not having nucleus in red blood cells), haematids, erythroid cells  or erythrocytes (from Greek erythros 'red' and kytos 'hollow vessel', with -cyte translated as 'cell' in modern usage), are the most common type of blood cell and the vertebrate's principal means of delivering oxygen (O2) to the body tissues—via blood flow through the circulatory system.","['https://upload.wikimedia.org/wikipedia/commons/1/1f/Anthonie_van_Leeuwenhoek_%281632-1723%29._Natuurkundige_te_Delft_Rijksmuseum_SK-A-957.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/68/Cytological_abnormalities_in_peripheral_blood_erythrocytes_of_penguins_Pygoscelis_papua_5.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c1/Erythrocyte_Membrane_lipids.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Erythrocytes_in_vertebrates.jpg']"
Sodium atom,Not found on Wikipedia,['Image not found']
Floating macrophyte,Not found on Wikipedia,['Image not found']
Base III,Not found on Wikipedia,['Image not found']
Night,"Night (also described as nighttime, unconventionally spelled as ""nite"") is the period of ambient darkness from sunset to sunrise during each 24-hour day, when the Sun is below the horizon.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Cumulus_clouds_in_fair_weather.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/En-Night-article.ogg']"
Drinking glass,Not found on Wikipedia,['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']
Acid property,Not found on Wikipedia,['Image not found']
Vitamin B1,Not found on Wikipedia,['Image not found']
Alkali acid,Not found on Wikipedia,['Image not found']
Charge,Charge or charged may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
1me stone,Not found on Wikipedia,['Image not found']
Urine,Urine is a liquid by-product of metabolism in humans and in many other animals.,"['https://upload.wikimedia.org/wikipedia/commons/8/8c/Bigot%2C_Trophime_-_A_Doctor_Examining_Urine.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/Choluria.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Dark_urine_due_low_fluid_intake.jpg']"
Cellular fluid,Not found on Wikipedia,['Image not found']
Metaphase,"Metaphase (from Ancient Greek  μετα- (meta-) beyond, above, transcending and from Ancient Greek  φάσις (phásis) 'appearance') is a stage of mitosis in the eukaryotic cell cycle in which chromosomes are at their second-most condensed and coiled stage (they are at their most condensed in anaphase).","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/07/Metaphase.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c4/Metaphase_chromosomes.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/NHGRI_human_male_karyotype.png', 'https://upload.wikimedia.org/wikipedia/commons/7/74/Stages_of_early_mitosis_in_a_vertebrate_cell_with_micrographs_of_chromatids.svg']"
Sucrose,"Sucrose, a disaccharide, is a sugar composed of glucose and fructose subunits.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Cut_sugarcane.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/NFPA_704.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/Raw_sugar_closeup.jpg']"
Prothrombin,Not found on Wikipedia,['Image not found']
Big Bang,The Big Bang event is a physical theory that describes how the universe expanded from an initial state of high density and temperature.,"['https://upload.wikimedia.org/wikipedia/commons/7/7d/2MASS_LSS_chart-NEW_Nasa.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/CMB_Timeline300_no_WMAP.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Cmbr.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Cosmological_Composition_%E2%80%93_Pie_Chart.svg']"
Auxin,Auxins (plural of auxin ) are a class of plant hormones (or plant-growth regulators) with some morphogen-like characteristics.,"['https://upload.wikimedia.org/wikipedia/commons/b/b4/2%2C4%2C5-T.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d2/2%2C4-Dichlorophenoxyacetic_acid_structure.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/3-Indolepropionic_acid_skeletal.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/4-chloroindole-3-acetic_acid.png', 'https://upload.wikimedia.org/wikipedia/commons/9/9e/Agrobacteriumgall.jpg']"
FO!llla-3-SI,Not found on Wikipedia,['Image not found']
Coelenteron,Not found on Wikipedia,['Image not found']
Grapes,Not found on Wikipedia,['Image not found']
Aqueous solution,An aqueous solution is a solution in which the solvent is water.,"['https://upload.wikimedia.org/wikipedia/commons/6/67/Na%2BH2O.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Communication,Communication is usually defined as the transmission of information.,"['https://upload.wikimedia.org/wikipedia/commons/e/ed/A_honey_bee_on_the_Cosmos_bipinnatus_flower_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/95/Barnlund%27s_model_-_interpersonal_communication.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e3/Einbrief.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Encoding_communication.jpg']"
Anowara,Not found on Wikipedia,['Image not found']
Electromagnetic wave,Not found on Wikipedia,['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']
Cibohydrate,Not found on Wikipedia,['Image not found']
A – R – S 4,Not found on Wikipedia,['Image not found']
Saturn,"Saturn is the sixth planet from the Sun and the second-largest in the Solar System, after Jupiter.","['https://upload.wikimedia.org/wikipedia/commons/e/ea/8423_20181_1saturn2016.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/Cscr-featured.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg']"
Affix,"In linguistics, an affix is a morpheme that is attached to a word stem to form a new word or word form.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
2008 Summer Olympics,"The 2008 Summer Olympics (Chinese: 2008年夏季奥运会; pinyin: Èr Líng Líng Bā Nián Xiàjì Àoyùnhuì), officially the Games of the XXIX Olympiad (Chinese: 第二十九届夏季奥林匹克运动会; pinyin: Dì Èrshíjiǔ Jiè Xiàjì Àolínpǐkè Yùndònghuì) and also known as Beijing 2008 (Chinese: 北京2008; pinyin: Běijīng èr líng líng bā), were an international multisport event held from 8 to 24 August 2008, in Beijing, China.","['https://upload.wikimedia.org/wikipedia/commons/6/67/2008_Summer_Olympic_games_countries.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d2/2008_Summer_Olympics_-_Opening_Ceremony_-_Ilias_Iliadis_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/67/2008_Summer_olympics_team_numbers.gif', 'https://upload.wikimedia.org/wikipedia/commons/8/8e/Archery_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/Athletics_pictogram.svg']"
Neutron,"The neutron is a subatomic particle, symbol n or n0, which has a neutral (not positive or negative) charge, and a mass slightly greater than that of a proton.","['https://upload.wikimedia.org/wikipedia/commons/a/aa/Beta-minus_Decay.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/89/Beta_Negative_Decay.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/Blausen_0342_ElectronEnergyLevels.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/Cold_Neutron_Source.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Doll,"A doll is a model typically of a human or humanoid character, often used as a toy for children.","['https://upload.wikimedia.org/wikipedia/commons/e/e7/Akuaba.jpg', 'Image not found', 'https://upload.wikimedia.org/wikipedia/commons/6/60/Biblische_Erz%C3%A4hlfiguren-Salbung_durch_S%C3%BCnderin.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b6/Crepereia_Tryphaena-2.png']"
Equals sign,"The equals sign (British English) or equal sign (American English), also known as the equality sign, is the mathematical symbol =, which is used to indicate equality in some well-defined sense.","['https://upload.wikimedia.org/wikipedia/commons/b/be/2%2B2.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Assinatura_do_Santos_Dumont_2.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8d/First_Equation_Ever.png', 'https://upload.wikimedia.org/wikipedia/commons/2/2b/Recorde_-_The_Whetstone_of_Witte_-_equals.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1c/Wiki_letter_w_cropped.svg']"
Beauty,Beauty is commonly described as a feature of objects that makes these objects pleasurable to perceive.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b6/Indian_girl_in_traditional_attire.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Nofretete_Neues_Museum.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/Rozeta_Pary%C5%BC_notre-dame_chalger.jpg']"
Spindle apparatus,"In cell biology, the spindle apparatus is the cytoskeletal structure of eukaryotic cells that forms during cell division to separate sister chromatids between daughter cells.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/25/Kinetochore.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dc/Spindle_apparatus.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b6/Spindle_assembly_models.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/TCJ_orients_spindle_apparatus_during_cell_division.png']"
Flower,"A flower, sometimes known as a bloom or blossom, is the reproductive structure found in flowering plants (plants of the division Angiospermae).","['https://upload.wikimedia.org/wikipedia/commons/c/c5/15_Qian_Xuan_Eight_Flowers_National_Palace_Museum_Beijing.JPG', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/ABC_flower_development.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Acaena_novae-zelandiae1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/Aikya_Linga_in_Varanasi.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Amborella_trichopoda_%283065968016%29_fragment.jpg']"
Rofreolim,Not found on Wikipedia,['Image not found']
Turbid,Not found on Wikipedia,['Image not found']
Phloem tisme,Not found on Wikipedia,['Image not found']
Artificial vegetative propagation,Not found on Wikipedia,['Image not found']
Eating,"Eating (also known as consuming) is the ingestion of food, typically to provide a heterotrophic organism with  energy and to allow for growth.","['https://upload.wikimedia.org/wikipedia/commons/f/fb/A_polar_bear_%28Ursus_maritimus%29_scavenging_a_narwhal_whale_%28Monodon_monoceros%29_carcass_-_journal.pone.0060797.g001-A.png', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Abell-photoblog28.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Amandines_de_Provence%2C_poster_by_Leonetto_Cappiello%2C_1900.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/BirdBeaksA.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Blacky.jpg']"
Lhroogh,Not found on Wikipedia,['Image not found']
Second stage,Not found on Wikipedia,['Image not found']
Bible translation,Not found on Wikipedia,['https://upload.wikimedia.org/wikipedia/commons/3/31/Redirect_arrow_without_text.svg']
Graphical representation of Ohm's law,Not found on Wikipedia,['Image not found']
Light ray,Not found on Wikipedia,['Image not found']
Brain,A brain is an organ that serves as the center of the nervous system in all vertebrate and most invertebrate animals.,"['https://upload.wikimedia.org/wikipedia/commons/3/3a/1543%2C_Andreas_Vesalius%27_Fabrica%2C_Base_Of_The_Brain.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c8/6_week_embryo_brain.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Basal_ganglia.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/89/Bilaterian-plan.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Brain-computer_interface_%28schematic%29.jpg']"
Greek alphabet,"The Greek alphabet has been used to write the Greek language since the late 9th or early 8th century BCE. It is derived from the earlier Phoenician alphabet, and was the earliest known alphabetic script to have distinct letters for vowels as well as consonants.","['https://upload.wikimedia.org/wikipedia/commons/5/52/Ancient_Greek_epichoric_alphabets.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Dipylon_Inscription.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/17/Ell-AlphabitosUpload.ogg', 'https://upload.wikimedia.org/wikipedia/commons/7/72/En-us-alpha.ogg']"
Mirror,A mirror or looking glass is an object that reflects an image.,"['https://upload.wikimedia.org/wikipedia/commons/f/fd/-94wiki.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b2/130_-_Grove_Of_Mirrors%2C_Hilary_Arnold_Baker_%284655892606%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2a/Arnaldo_Dell%27Ira_%281903-1943%29_Sala_d%27aspetto_per_la_casa_di_M.me_B.%2C1939.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Demo_Day_2016_-_Design_Center_%2819%29.jpg']"
Royal Basgal,Not found on Wikipedia,['Image not found']
Vari011S,Not found on Wikipedia,['Image not found']
Clean water,Not found on Wikipedia,['Image not found']
Haque,Not found on Wikipedia,['Image not found']
