entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Problem solving,human activity,Human activity,activity,subclass of,"These new experiences and problem solving steps are detailed in your work book.
"
Investigative Study,literary work,Book,document,instance of,"This ‘Investigative Study’ book will help you in this regard.
"
Year Seven,educational year,Secondary school,school,part of,"At school or at home, wherever you are, you can use this book to solve problems yourself if needed!  This book covers the topics of Science that you will need to know in Class seven.
"
World Heritage Site,cultural heritage,UNESCO,international organization,maintained by,"Many of these things will be useful to you at different times in the experiences that you will go through throughout the year.
"
What do you say,phrase,Phrase,language device,instance of,"So let us start, what do you say?
"
Biodiversity,specialty,Organism,anatomical entity,subclass of,"A few words for the students –  Chapter 1 Biodiversity  Biodiversity By the end of the lesson, students will be able to learn—  � what is biodiversity  � origin of biodiversity  � nature of biodiversity  � interrelationships of organisms  � how to measure biodiversity  � biodiversity of Bangladesh  � risks and remedies of biodiversity ""Why is this earth so beautiful?"" There are many answers to the question.
"
Planet,astronomical object type,Earth,inner planet,model item,"If we compare it with other known planets, we can understand that its diverse biosphere plays a role in the beauty of the Earth.
"
Jupiter,gas giant,Moon,natural satellite,child astronomical body,"Whether we talk about Mars, Jupiter or Moon, these planets and satellites have a rough lifeless environment.
"
Earth,inner planet,Life,phenomenon,manifestation of,"Compared to that, this alive, lively environment of the Earth creates an entirely different feeling in us.
"
Organism,anatomical entity,Human,organisms known by a particular common name,manifestation of,"There are billions of organisms on Earth, including humans, with different characteristics.
"
Behavioral morphology,morphology,Habitat,territorial entity,facet of,"Their size, shape, colour, habitat, diet etc.
"
Scientific method,process,Science,academic discipline,part of,"An important area of scientific research is to know about this diversity of organisms.
"
Organism,anatomical entity,Sunlight,light,uses,"It is a matter of great wonder how various organisms have adapted to the extremely cold Polar Regions, hot sandy deserts or the deep bottom of the sea without a trace of sunlight.
"
World Heritage Site,cultural heritage,UNESCO,international organization,maintained by,"This chapter will give us a basic idea of this amazing biodiversity.
"
Upper middle class,social class,Social class,social group,instance of,"You will know these things in more detail gradually in the upper classes.
"
Science,academic discipline,Biodiversity,natural phenomenon,studies,"Chapter 1 Science 2  What is Biodiversity?
"
Life on Earth,extraterrestrial life,Earth,inner planet,part of,"The term biodiversity describes the great variety of life on Earth.
"
Plant,taxon,Organism,anatomical entity,subclass of,"Biodiversity refers to the variety of living things, including plants, animals, and microorganisms.
"
Organism,anatomical entity,Organism,anatomical entity,manifestation of,"We don't know for sure exactly how many different organisms there are on Earth.
"
Organism,anatomical entity,Species,rank,manifestation of,"However, scientists estimate that there are about 8-14 million (80 to 140 lakh) different species of organisms on this Earth.
"
Lebanon,sovereign state,Rome,comune of Italy,capital,"Some believe that the number is higher.
"
Unnamed organisms,organism,Organism,anatomical entity,subclass of,"But whatever the number, most of these organisms are unknown to us.
"
Species,rank,Species,rank,part of,"Only 1.2 million (12 lakh) species have been identified and described so far, most of which are insects.
"
Mysticism,faith,Knowledge,nan,opposite of,"This means that billions of other organisms are still mysterious and unknown to us.
"
Evolution,biological process,Species,rank,has effect,"Origin of Biodiversity The unique characteristics of all species alive today have evolved over generations over thousands of years.
"
Generation,group,Organism,anatomical entity,part of,"On the other hand, without any specific reason, some changes occur during the transition of an organism from one generation to the next.
"
Twin,kinship,Sibling,kinship,different from,"That's why we don't look exactly like our parents and are a bit different! Siblings do not look exactly alike unless they are twins, even though they are children of the same parents! From parent to child, this difference in appearance is a minimal change in one generation.
"
Generation,series,Generation,group of humans,part of,"But as these small changes occur over millions of years from generation to generation, at some point, new organisms appear with characteristics that are very different from their original ancestors.
"
Evolution,biological process,Organism,anatomical entity,has effect,"Thus, the change process in organisms over a long period is called evolution.
"
Adaptation,biological process,Evolution,biological process,part of,"The characteristics acquired through the process of evolution and adaptation distinguishes the members of the organism from one another.
"
Species,rank,Biodiversity,quality,has quality,"Any Biodiversity 3  animal keeps its species alive by creating its copy during its lifetime.
"
Reproduction,biological process,Biological process,process,instance of,"This process is known as reproduction.
"
Evolution,biological process,Adaptation,biological process,has effect,"Organisms are there who have evolved and adapted over time and become so different from each other that they can no longer breed with one another.
"
Separate species,species,Species,rank,subclass of,"They are considered separate species.
"
Species,rank,Organism,anatomical entity,part of,"Organisms that can interbreed are usually included in the same species.
"
Nature of Biodiversity,scientific journal,Biodiversity,diversity,main subject,"Nature of Biodiversity Scientists have endless interest in knowing how much biodiversity there is worldwide because they still have so much left to discover.
"
Adaptation,biological process,Organism,anatomical entity,facet of,"Different organisms in different regions of the world are adapted to the environment of that region.
"
Ecosystem,biome,Organism,anatomical entity,subclass of,"The system formed by combining these regional organisms and the non-living elements of their environment is called an ecosystem.
"
Ecosystem,biome,Biome,landscape,instance of,"This ecosystem is also called a biome.
"
Ecosystem,biome,Ecosystem,biome,instance of,"Different ecosystems develop in different regions of the world.
"
Lake,landform,Ocean,body of water,different from,"For example, the types of an ecosystem are very different from one another in a green forest, in a snow- covered Tundra region, or under the water of a pond, lake or ocean.
"
Adaptation,biological process,Reproduction,biological process,has effect,"Species whose characteristics are best adapted to the environment of a particular area survive and reproduce successfully there.
"
Climate,physical phenomenon,Biome,landscape,studied by,"Simply speaking, a biome is a large area marked by the area's vegetation, soil, climate, and wildlife.
"
Grassland,territorial entity,Biome,landscape,instance of,"There are five main types of biomes: aquatic, grassland, forest, desert, and the tundra.
"
Taiga,forest,Biome,landscape,instance of,"However, some of these biomes can be divided into more specific categories, such as freshwater, marine, rainforest, which is tropical or temperate, and swamp pine forest or the taiga.
"
Frog,taxon,Fish,taxon,subclass of,"Science 4  Walking by a pond, you will see fish, frogs, kingfishers, grasshoppers and other insects.
"
Grassland,territorial entity,Insect,taxon,subclass of,"There may be species such as rats, snakes, earthworms, and insects in grasslands.
"
Bangladesh,sovereign state,Canada,sovereign state,shares border with,"Again, if you compare grassland in Bangladesh with grassland in Canada, you will see that their biodiversity is different.
"
Ecosystem,biome,Biodiversity,diversity,subclass of,"Ecosystems that contain the most biodiversity have ideal environmental conditions for the growth of animals, plants, and microorganisms.
"
Mexico,sovereign state,United States,sovereign state,shares border with,"Some regions of the world, such as Mexico, South Africa, Brazil, the southwestern United States, and Madagascar, have more biodiversity than others.
"
Species,rank,Endemic species,species,part of,"These parts of the world have a large number of endemic species.
"
Endemic species,species,Species,rank,subclass of,"Endemic species are those that exist only in a particular place.
"
Cape Floristic Region,phytochorion,Phytochorion,territorial entity,instance of,"For example, about 6200 plant species in the Cape Floristic region of South Africa are not found anywhere else in the world.
"
Ecosystem,biome,Earth,inner planet,part of,"Interrelationships of organisms All species on Earth work together to survive and to maintain the balance of their ecosystems.
"
Pasture,meadow,Grass,territorial entity,subclass of,"For example, the grass of pasture is consumed by cattle.
"
Dung,feces,Manure,organic matter,subclass of,"The dung left by the cattle creates manure.
"
Manure,organic matter,Nutrient,chemical substance,subclass of,"This manure returns nutrients to the soil, which helps grow more grass.
"
Cropland,concept,Fertilizer,chemical substance,subclass of,"This fertilizer can also be applied in croplands.
"
Clothing,work,Food,disposable product,made from material,"Many species on Earth play essential roles for humans providing various materials, including food, clothing, and medicine.
"
Species,rank,Biodiversity,diversity,part of,"Biodiversity 5  Ways to measure Biodiversity A common way to measure biodiversity is to count the total number of species living within a given area.
"
Tropical and subtropical cyclone,cyclone,Biodiversity,phenomenon,has effect,"Tropical regions, which are warm all year round, have the highest biodiversity.
"
Summer,recurring event,Winter,recurring event,opposite of,"Temperate regions, with hot summers and cold winters, have low biodiversity.
"
Desert,landscape,Desert,landscape,subclass of,"Areas with dry conditions, such as mountain tops and deserts, have even less biodiversity.
"
Equator,circle of latitude,Region,geographical object,instance of,"Generally, the closer a region is to the equator, the greater the biodiversity.
"
Amazon rainforest,tropical forest,South America,continent,part of,"The Amazon rainforest of South America is home to at least 40,000 different plant species.
"
Planet,astronomical object type,Earth,inner planet,model item,"It is one of the most biologically diverse regions on our planet Earth.
"
Coral,organisms known by a particular common name,Fish,taxon,subclass of,"Science 6  The warm waters of the western Pacific and Indian oceans have the most diverse marine environments with many species of fish, corals, etc.
"
Coral reef,reef,Organism,anatomical entity,subclass of,"Many corals combine to form coral reefs, which are home to hundreds of other species of organisms.
"
Shark,taxon,Seaweed,algae,subclass of,"These coral reefs are home to many things, from tiny seaweeds to big sharks.
"
Genetic diversity,diversity,Biodiversity,diversity,facet of,"Another way to measure biodiversity is genetic diversity.
"
Gene,biological sequence,Species,rank,part of,"Some species have as many as 400,000 genes.
"
Gene,biological sequence,Gene,biological sequence,subject has role,"Humans have about 25,000 genes.
"
Gene,biological sequence,Species,rank,part of,"Some of these genes are the same for all members of a species.
"
Rose,taxon,Dog,organisms known by a particular common name,parent taxon,"These genes determine a rose to be a rose and a dog to be a dog.
"
Gene,biological sequence,Protein,group or class of chemical substances,encodes,"But among a species of genes, some genes are different.
"
Pink,color,White,color,opposite of,"This genetic variation causes some roses to be pink while others are white.
"
Brown eye,human eye color,Blue eye,human eye color,opposite of,"In humans, such genetic differences cause some people to have brown eyes and some to have blue eyes.
"
Plant,taxon,Animal,taxon,subclass of,"Greater genetic diversity in species can make plants and animals more resistant to disease.
"
Adaptation,biological process,Genetic diversity,diversity,has cause,"Genetic diversity allows species to adapt better to changing environments.
"
Biodiversity 7,Biodiversity of Bangladesh,Biodiversity of Bangladesh,natural landscape,instance of,"Biodiversity 7  Biodiversity of Bangladesh As a part of the Indus-Gangetic plain, Bangladesh is a beautiful land of biodiversity.
"
Forest,biome,Natural environment,physico-geographical object,subclass of,"Bangladesh is surrounded by greenery, where the soil, water, forests, and natural environment are suitable for the living of various types of organisms.
"
Saint Martin's Island,island,Sundarbans,mountain range,part of,"The rich biota of the Sundarbans and the underwater fauna of Cox's Bazar and Saint Martin's are all bio-resources of this country.
"
Mammal,taxon,Bird,taxon,subclass of,"Bangladesh has a rich collection of flowering plants, fishes, amphibians, reptiles, birds and mammals.
"
Forest,biome,Biome,landscape,subclass of,"The natural forest areas of the country are rich in biodiversity due to their location.
"
Forest,biome,Plant,taxon,subclass of,"For example, more than 5000 flowering plant species are found in the forests of Bangladesh.
"
Forest,biome,Plant,taxon,subclass of,"Forest regions of Chattogram alone have about 2,260 plant species.
"
Medicinal plants,herb,Plant,taxon,subclass of,"These plants include wood-producing plants, fibre-producing plants and medicinal plants.
"
Amphibian,taxon,Reptile,taxon,subclass of,"So far, 132 species of mammals, 578 species of birds, 154 species of reptiles and 19 species of amphibians have been identified in Bangladesh.
"
Indus-Gangetic Plain,plain,Plain,landform,instance of,"Indus-Gangetic Plain The Indus-Gangetic Plain is a large fertile plain that covers part of Pakistan, most of northern and eastern India, and almost all of Bangladesh.
"
Indus River,river,Ganges,river,mouth of the watercourse,"The region is named after the rivers Indus and Ganges that flow through the region.
"
Science,academic discipline,Ecosystem,biome,studies,"Science 8  Risks and Remedies of Biodiversity Much of the world's biodiversity is threatened by humans' use and other activities, which disrupt and sometimes destroy ecosystems.
"
Pollution,environmental issue,Global warming,climate change,has effect,"Pollution, climate change and population growth are all threats to biodiversity.
"
Extinction,end,Threat,action,instance of,"These threats play a role in the extinction of species.
"
Species extinction,extinction,Extinction,end,subclass of,"Some scientists estimate that half of all species on Earth will be extinct within the next century.
"
Species,rank,Biodiversity,diversity,part of,"Even though Bangladesh is rich in biodiversity, many species are under threat.
"
Bangladesh,sovereign state,International Union for Conservation of Nature,non-governmental organization,member of,"According to the information of the International Union for Conservation of Nature (IUCN), the existence of 23 species of wildlife in Bangladesh is under the threat of extinction.
"
Endangered species,conservation status,Conservation status,class,subclass of,"Moreover, about 29 wild animals in this country are endangered.
"
Water,None,Ocean,body of water,part of,"Human beings are reducing all the natural resources like water bodies, oceans, and forests for their own interests.
"
Bangladesh,sovereign state,Madhupur District,District of Bangladesh,contains administrative territorial entity,"Animals and fauna, such as Royal Bengal Tiger, spotted deer, reptile, python, wild duck, black duck, Belgian Blue (nilgai), king vulture, wild buffalo, fresh water crocodile, and Gharial in different forest areas, including Sundarbans, Madhupur and BhawalGarh, are almost extinct and living under threat today.About 39 species of animals in Bangladesh are in danger.
"
Tree,organisms known by a particular common name,Forestry,academic discipline,studied by,"According to forestry scientists, about 125 tree species are endangered in Bangladesh.
"
Endangered species,conservation status,Conservation biology,biology,subclass of,"We need our collective efforts to conserve biodiversity and protect the same endangered species and their habitats.
"
Bangladesh,sovereign state,Country,nan,instance of,"Countries worldwide, including Bangladesh, should take appropriate steps to conserve biodiversity.
"
Biodiversity 9,None,Environmental pollution,pollution,facet of,"The need for wildlife conservation has been widely felt due to the problems Biodiversity 9  of environmental pollution, killing wildlife to make products from their skin or bones and animal trafficking etc.
"
United Nations,international organization,International organization,organization,instance of,"Various international and regional organizations, government and non-government organizations, and renowned organizations outside the country, including the United Nations, play an important role in conserving this attempt.
"
Biodiversity enhancement,None,Conservation biology,biology,facet of,"Realizing the importance of biodiversity, we should encourage conservation and enhancement of biodiversity.
"
Fauna,phenomenon,Biodiversity,diversity,part of,"In different countries, natural forests have been developed as safe sanctuaries for the native flora and fauna, where human movement is restricted if necessary, prioritizing biodiversity.
"
Protected area,geographic region,Biodiversity conservation,conservation,part of,"To conserve biodiversity in Bangladesh, the government has declared some parts of the country's forests as protected areas.
"
Forest,biome,Forest,biome,subclass of,"In addition, collecting trees from protected natural forest areas and collecting old trees from man-made forests have been stopped with the aim of conservation of biodiversity.
"
Poaching,crime,Wildlife,wild animal,facet of,"A new law enforcement agency has been created to combat poaching and trafficking wildlife.
"
World Heritage Site,cultural heritage,UNESCO,international organization,maintained by,"By taking such integrated initiatives, many countries have given new hope for protecting diversity of life.
"
Environmental organization,nonprofit organization,Scientist,profession,subclass of,"However, scientists and environmental organizations call for greater measures.
"
Mass awareness,academic discipline,Awareness,mental state,subclass of,"Only government initiatives are not enough in this regard; mass awareness is also needed.
"
Fossil,physical object,Species,rank,subclass of,"Species that have already become extinct over time may not be brought back, but if everyone is careful, it may be possible to preserve the current world's biodiversity.
"
China,sovereign state,Beijing,city,contains administrative territorial entity,"Everyone needs to pay attention to that.
"
World Heritage Site,cultural heritage,UNESCO,international organization,maintained by,"Then maybe the diversity of life of the beautiful world will become rich and colourful again.
"
1.1.1,literary work,Doctor Who,television series,part of the series,"1.
"
Biodiversity,phenomenon,Region,geographical object,facet of,"Why biodiversity is more regions near equator line?
"
Exercise,physical activity,Exercise,physical activity,subclass of,"Exercise ?
"
Electron,type of quantum particle,Atomic nucleus,type of quantum particle,part of,"Science 10  Chapter 2 Molecules and Atoms    Molecules and Atoms By the end of the lesson, students will be able to learn—  � atoms and molecules  � elements  � electron, proton and neutron  � electron configuration of atoms  � nucleus  � conductors, insulators and semiconductors  � solid, liquid and gas Atoms Elements We can never really finish counting the kinds of matter that surround us like clouds- oceans, soil-rocks, houses, people, plants, canals-rivers, animals, and machinery etc.
"
Chemical element,second-order class,Chemical substance,group or class of chemical substances,part of,"You must have sometimes wondered that these millions of substances must be made of millions of elements.
"
Chemical element,second-order class,Chemical substance,group or class of chemical substances,part of,"But you will be surprised to know that these millions and billions of substances are made of only 98 elements.
"
Chemical element,second-order class,Chemical substance,group or class of chemical substances,part of,"When you break down a substance and do not anymore get another substance other than that is called an element.
"
Chemical element discovery,exploration,Exploration,process,subclass of,"In total, 118 elements have been discovered or created in laboratories so far.
"
Chemical element,second-order class,Chemical element,second-order class,subclass of,"But the 20 elements other than the 98 are artificially created, and their quantity is so small in nature that even if they are not considered, it will not affect much.
"
Aluminium,medication,Aluminium,medication,subclass of,"The table beside enlists the names of some known Chapter 2 A few common elements Hydrogen Hydrogen Oxygen Oxygen Iron Iron Gold Gold Silver Silver Carbon Carbon Chlorine Chlorine Aluminium Aluminium Science 12  elements.
"
Breathing,biological process,Oxygen,chemical element,uses,"We take in oxygen when we breathe.
"
Iron,medication,Metal,material,instance of,"Iron is a very familiar metal.
"
Cookware,kitchenware,Aluminium,medication,made from material,"You've all seen aluminium cookware.
"
Jewellery,visual art,Gold,chemical element,made from material,"Jewellery is made with gold and silver.
"
Water,None,Hydrogen,chemical element,made from material,"Water is made of hydrogen and oxygen.
"
Chemical compound,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"So, even though hydrogen and oxygen are elements, water is not an element; it is a compound.
"
Compound,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"Compounds are those substances that, when broken down, produce two or more elements.
"
The Next Chapter,literary work,Doctor Who,television series,part of the series,"You will know more about this in the next chapter.
"
Proton,type of quantum particle,Neutron,type of quantum particle,followed by,"Electrons, Protons and Neutrons There's more good news for those of you who think that just by having this list of 98 elements, you'll have a complete list of what everything on Earth is made up of.
"
Proton,type of quantum particle,Neutron,type of quantum particle,followed by,"These elements are made up of their 'atoms', and those atoms are made up of only three particles, namely electron, proton and neutron.
"
Three basic particles,None,World,concept,part of,"So, it is no overstatement to say that the entire known world around you is made of only three basic particles.
"
Electron,type of quantum particle,Atom,composite particle,part of,"That's why, if you want to understand how this whole world is made, first of all you have to know how the atoms of these different elements are made with electrons, protons and neutrons.
"
Electron,type of quantum particle,Atom,composite particle,part of,"Structure of atoms An atom is the smallest unit of an element made up of electrons, protons and neutrons.
"
Proton,type of quantum particle,Atomic nucleus,type of quantum particle,part of,"Atoms are so small that you can never see them, but if you could see, there is a very small nucleus made of protons and neutrons in the middle of atoms and electrons orbiting around them! In this one line, you are told about the formation of the atom; you cannot even imagine for how many thousands of years, how many hundreds of scientists have researched it to finally figure it out.
"
Force,physical quantity,Pull,force,has effect,"Whenever you see something moving, you have to understand that a force is pulling it towards you.
"
Earth,inner planet,Sun,G-type main-sequence star,parent astronomical body,"The Earth revolves around the Sun because the Sun pulls the Earth, the Moon revolves around the Earth because the Earth pulls the Moon.
"
Atomic nucleus,type of quantum particle,Atom,composite particle,part of,"Just like that, the very small nucleus in the centre of the atom pulls the electrons towards it, so the electrons revolve around the nucleus.
"
Atomic nucleus,type of quantum particle,Atom,composite particle,part of,"Now the question is why the very small nucleus inside the atom pulls the electron towards itself?
"
Electrical attraction,physical phenomenon,Physical phenomenon,physical phenomenon,instance of,"The reason for this is electrical attraction.
"
Neutron,type of quantum particle,Proton,type of quantum particle,followed by,"Neutrons indeed have no actual charge, but protons have a positive charge.
"
Positive charge,physical quantity,Charge,physical quantity,subclass of,"So, the total charge of the nucleus is always positive.
"
International Atomic Energy Agency,specialized agency of the United Nations,Atom,composite particle,named after,"Electrons, The logo of the International Atomic Energy Agency uses a picture of an atom.
"
Attraction,physical phenomenon,Repulsion,physical phenomenon,opposite of,"Although such pictures of atoms are used everywhere, the real atom does not look like this at all! Molecules and Atoms 13 ( ~\ ,~, ""- ,., IAEA  on the other hand, have a negative charge and the characteristic of the electric force is that opposite charges attract each other (and the same charges repel each other).
"
Electron,type of quantum particle,Atomic nucleus,type of quantum particle,part of,"So, the electron revolves around the nucleus due to its attraction.
"
