Entity,Definition,Images
Chimney,"A chimney is an architectural ventilation structure made of masonry, clay or metal that isolates hot toxic exhaust gases or smoke produced by a boiler, stove, furnace, incinerator, or fireplace from human living areas.","['https://upload.wikimedia.org/wikipedia/commons/a/af/Big_single-family_home_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Chernobylreactor_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Chimney.stack.london.arp.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5a/ChimneyProvidenceProspectPark.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9f/Chimney_Smoke_Stack.jpg']"
SCIENCE 116,Not found on Wikipedia,['Image not found']
Microbe,Not found on Wikipedia,['Image not found']
Water level,"Water level, also known as gauge height or stage, is the elevation of the free surface of a sea, stream, lake or reservoir relative to a specified vertical datum.","['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/32/Water_tribal.svg']"
Biogeochemical cycle,"A biogeochemical cycle, or more generally a cycle of matter, refers to the movement and transformation of chemical elements and compounds between living organisms, the atmosphere, and the Earth's crust.","['https://upload.wikimedia.org/wikipedia/commons/2/2e/90_mile_beach.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/BIOGEOCHEMICAL_CYCLING_OF_ELEMENTS.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg']"
Soil horizon,"A soil horizon is a layer parallel to the soil surface whose physical, chemical and biological characteristics differ from the layers above and beneath.","['https://upload.wikimedia.org/wikipedia/commons/9/94/AlbicHorizon.JPG', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/PD-icon.svg']"
New Zealand,New Zealand (Māori: Aotearoa [aɔˈtɛaɾɔa]) is an island country in the southwestern Pacific Ocean.,"['https://upload.wikimedia.org/wikipedia/commons/3/3b/1863_Meeting_of_Settlers_and_Maoris_at_Hawke%27s_Bay%2C_New_Zealand.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d4/ANZAC_Day_service_at_the_National_War_Memorial_-_Flickr_-_NZ_Defence_Force_%2820%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/Aerial_image_of_Christchurch_suburbs_-_Flickr_-_NZ_Defence_Force_%282%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Air_New_Zealand%2C_Boeing_787-9_ZK-NZE_%27All_Blacks%27_NRT_%2827091961041%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Anglophone_World.svg']"
Eye washing,Not found on Wikipedia,['Image not found']
Fact,"A fact is a datum about one or more aspects of a circumstance, which, if accepted as true and proven true, allows a logical conclusion to be reached on a true–false evaluation.","['https://upload.wikimedia.org/wikipedia/commons/a/a3/FACTS_ubt_2.JPG', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Nuvola_apps_kalzium.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1b/Semi-protection-shackle.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Socrates.png']"
Box,A box (plural: boxes) is a container used for the storage or transportation of its contents.,"['https://upload.wikimedia.org/wikipedia/commons/c/cd/600sojudrinkbox.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Ammunition_Boxes%2C_MDVMHC.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/18/Archive_boxes.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/Box_%28231630111%29.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/50/Box_with_cover_MET_DP241878.jpg']"
Musical composition,"Musical composition can refer to an original piece or work of music, either vocal or instrumental, the structure of a musical piece or to the process of creating or writing a new piece of music.","['https://upload.wikimedia.org/wikipedia/commons/c/c3/45_record.png', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d7/Borodin_Scherzo_in_A_flat.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f0/Chord_chart.mid', 'https://upload.wikimedia.org/wikipedia/commons/8/88/Chord_chart.svg']"
Development,Development or developing may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Pen pen,Not found on Wikipedia,['Image not found']
Chromosome,A chromosome is a long DNA molecule with part or all of the genetic material of an organism.,"['https://upload.wikimedia.org/wikipedia/commons/4/4b/Chromatin_Structures.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Chromosome.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/Chromosome_21.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Eukaryote_DNA-en.svg']"
Brake lever,Not found on Wikipedia,['Image not found']
Low frequency,Low frequency (LF) is the ITU designation for radio frequencies (RF) in the range of 30–300 kHz.,"['https://upload.wikimedia.org/wikipedia/commons/6/63/Aleutian_Islands_with_180th_meridian_and_International_Date_Line_%28cropped%29.png', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Atmosphericnoise.PNG', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Atomic_clock.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Frequency_vs._wave_length.svg']"
Spoiling,Not found on Wikipedia,['Image not found']
Google Earth,Google Earth is a computer program that renders a 3D representation of Earth based primarily on satellite imagery.,"['https://upload.wikimedia.org/wikipedia/commons/9/9b/3D_locations_in_Google_Earth.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/Flii_globe.png', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg']"
Decomposition,"Decomposition or rot is the process by which dead organic substances are broken down into simpler organic or inorganic matter such as carbon dioxide, water, simple sugars and mineral salts.","['https://upload.wikimedia.org/wikipedia/commons/9/9c/A_punnet_of_rotten_peaches.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/Ants_cleaning_dead_snake.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Berge_naturreservat_omkullfallet_liten_tall.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/27/DecayingPeachSmall.gif']"
Present height cm,Not found on Wikipedia,['Image not found']
Activity 8.3,Not found on Wikipedia,['Image not found']
Martial arts,"Martial arts are codified systems and traditions of combat practiced for a number of reasons such as self-defense; military and law enforcement applications; competition;  physical, mental, and spiritual development; entertainment; and the preservation of a nation's intangible cultural heritage.","['https://upload.wikimedia.org/wikipedia/commons/c/c6/050907-M-7747B-002-Judo.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4e/Angkor_Wat_bas-reliefs_%289727534793%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Angkor_Wat_bas-reliefs_%289730534150%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/48/ArmyMilCombativesChokehold.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Beni_Hassan_tomb_15_wrestling_detail.jpg']"
Simplicity,Simplicity is the state or quality of being simple.,"['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Text_document_with_red_question_mark.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg']"
Adults,Not found on Wikipedia,['Image not found']
Explosive,"An explosive (or explosive material) is a reactive substance that contains a great amount of potential energy that can produce an explosion if released suddenly, usually accompanied by the production of light, heat, sound, and pressure.","['https://upload.wikimedia.org/wikipedia/commons/8/8f/17._%D0%95%D0%BA%D1%81%D0%BF%D0%BB%D0%BE%D0%B7%D0%B8%D0%B2%D0%BD%D0%B8_%D1%81%D0%B2%D0%BE%D1%98%D1%81%D1%82%D0%B2%D0%B0_%D0%BD%D0%B0_%D1%82%D1%80%D0%B8_%D1%80%D0%B0%D0%B7%D0%BB%D0%B8%D1%87%D0%BD%D0%B8_%D1%82%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8_%D0%B5%D0%BA%D1%81%D0%BF%D0%BB%D0%BE%D0%B7%D0%B8%D0%B2%D0%B8.webm', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Blast_Area_Security.webm', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/GHS-pictogram-exclam.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/GHS-pictogram-explos.svg']"
Visual perception,"Visual perception is the ability to interpret the surrounding environment through photopic vision (daytime vision), color vision, scotopic vision (night vision), and mesopic vision (twilight vision), using light in the visible spectrum reflected by objects in the environment.","['https://upload.wikimedia.org/wikipedia/commons/2/2d/Astronotus_ocellatus_-_closeup_%28aka%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Eye_Line_of_sight.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fc/Nuvola_apps_kpdf2.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Food web,A food web  is the natural interconnection of food chains and a graphical representation of what-eats-what in an ecological community.,"['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/40/Aquatic_food_web.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Earth_Day_Flag.png', 'https://upload.wikimedia.org/wikipedia/commons/8/83/EcologicalPyramids.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9b/EltonFW.jpg']"
Fire department,"A fire department (North American English) or fire brigade (Commonwealth English), also known as a fire authority, fire district, fire and rescue, or fire service in some areas, is an organization that provides fire prevention and fire suppression services.","['https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Dennis1951FireTender.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a2/Einsatzfahrzeuge.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a8/Fire_engines_at_station.JPG']"
Creative work,"A creative work is a manifestation of creative effort including fine artwork (sculpture, paintings, drawing, sketching, performance art), dance, writing (literature), filmmaking, and composition.",['https://upload.wikimedia.org/wikipedia/commons/0/0e/Scale_of_justice_2.svg']
Pencil box,Not found on Wikipedia,['Image not found']
Diagram,A diagram is a symbolic representation of information using visualization techniques.,"['https://upload.wikimedia.org/wikipedia/commons/9/98/Alphagraphen.png', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Automotive_diagrams_01_En.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/88/Gear_pump_exploded.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Graphtestone.svg']"
Desm University of Science and Technology,Not found on Wikipedia,['Image not found']
4.4 Flame Observe an LPG flame,Not found on Wikipedia,['Image not found']
Conservation,"Conservation is the preservation or efficient use of resources, or the conservation of various quantities under physical laws.","['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Cutting,"Cutting is the separation or opening of a physical object, into two or more portions, through the application of an acutely directed force.","['https://upload.wikimedia.org/wikipedia/commons/0/00/Glass_cutter.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/Scissors.jpg']"
Postcard,"A postcard or post card is a piece of thick paper or thin cardboard, typically rectangular, intended for writing and mailing without an envelope.","['https://upload.wikimedia.org/wikipedia/commons/3/34/1905DuPontMillpcardback.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Aloha_nui_cook.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1c/Austrian_Postcard_1901.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/05/Ayu1002.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Bathing_beauty_1908.jpg']"
Tap water,"Tap water (also known as faucet water, running water, or municipal water) is water supplied through a tap, a water dispenser valve.","['https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ad/Clean_water_for_a_village_in_West_Lombok_%2810686572086%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Drinking_water.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Bitten,Bitten may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Vector_search_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Kaleidoscope Activity 13,Not found on Wikipedia,['Image not found']
Extended education,Not found on Wikipedia,['Image not found']
East Frisia,"East Frisia or East Friesland (German: Ostfriesland; East Frisian Low Saxon: Oostfreesland; Saterland Frisian: Aastfräislound) is a historic region in the northwest of Lower Saxony, Germany.","['https://upload.wikimedia.org/wikipedia/commons/1/13/Boat_on_Ems_in_Leer.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Coat_of_arms_of_Lower_Saxony.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_East_Frisia.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg']"
State of motion,Not found on Wikipedia,['Image not found']
Quality control,Quality control (QC) is a process by which entities review the quality of all factors involved in production.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cc/Fotothek_df_n-04_0000019.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Nuvola_apps_edu_mathematics_blue-p.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/PD-icon.svg']"
Incandescent light bulb,"An incandescent light bulb, incandescent lamp or incandescent light globe is an electric light with a wire filament heated until it glows.","['https://upload.wikimedia.org/wikipedia/commons/4/47/2200K_Spectrum.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/3d_glasses_red_cyan.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/46/BCincandescentlamp.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Carbonfilament.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Telephone number,"A telephone number is a sequence of digits assigned to a landline telephone subscriber station connected to a telephone line or to a wireless electronic telephony device, such as a radio telephone or a mobile telephone, or to other devices for data transmission via the public switched telephone network (PSTN) or other public and private networks.","['https://upload.wikimedia.org/wikipedia/commons/2/2e/Ambox_contradict.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Nixoncard.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Phone_numbers_for_sale_in_Hong_Kong.JPG']"
SCIENCE 140,Not found on Wikipedia,['Image not found']
Continuous motion,Not found on Wikipedia,['Image not found']
Physical fitness,"Physical fitness is a state of health and well-being and, more specifically, the ability to perform aspects of sports, occupations and daily activities.","['https://upload.wikimedia.org/wikipedia/commons/4/47/Amanda_Fran%C3%A7ozo_At_The_Runner_Sports-5.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/21/Annie_Thorisdottir_Pushing_the_Sled_in_2011_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/Barbora_Zahlavova_Strycova_San_Diego.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/95/Calisthenics%2C_1867._Granger_Collection.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Region,"In geography, regions, otherwise referred to as areas, zones, lands or territories, are portions of the Earth's surface that are broadly divided by physical characteristics (physical geography), human impact characteristics (human geography), and the interaction of humanity and the environment (environmental geography).","['https://upload.wikimedia.org/wikipedia/commons/8/86/Africa_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9d/Afro-Eurasia_%28orthographic_projection%29_political.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Americas_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Antarctica_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Asia_%28orthographic_projection%29.svg']"
Luggage,Not found on Wikipedia,['Image not found']
Menopause,"Menopause, also known as the climacteric, is the time in women's lives when menstrual periods stop permanently, and they are no longer able to bear children.","['https://upload.wikimedia.org/wikipedia/commons/9/91/615_Age_and_Bone_Mass.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/74/Menopause_-_Osteoporosis_--_Smart-Servier_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/13/Menopause_symbol.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Microorganism,"A microorganism, or microbe, is an organism of microscopic size, which may exist in its single-celled form or as a colony of cells.","['https://upload.wikimedia.org/wikipedia/commons/3/3c/Albert_Edelfelt_-_Louis_Pasteur_-_1885.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Anthonie_van_Leeuwenhoek_%281632-1723%29._Natuurkundige_te_Delft_Rijksmuseum_SK-A-957.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Biofermentor.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/DNA_simple.svg']"
Plant waste,Not found on Wikipedia,['Image not found']
Sal,"Sal, SAL, or S.A.L. may refer to:","['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Surface of water,Not found on Wikipedia,['Image not found']
Scratched surface,Not found on Wikipedia,['Image not found']
Barley,"Barley (Hordeum vulgare), a member of the grass family, is a major cereal grain grown in temperate climates globally.","['https://upload.wikimedia.org/wikipedia/commons/b/b4/7258_Canterbury_Agricultural_College_research_showing_seven_varieties_of_barley.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ea/Antialg_in_vijver_Zoet_Water_Oud-Heverlee_B.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Barley-Turkyurdu_Village-Gaziantep-ali_riza.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e0/Barley.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9f/BarleyEars.JPG']"
Human Baby 2,Not found on Wikipedia,['Image not found']
Observational thread,Not found on Wikipedia,['Image not found']
Anxiety,Anxiety is an emotion which is characterized by an unpleasant state of inner turmoil and includes feelings of dread over anticipated events.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Edvard_Munch_-_Anxiety_-_Google_Art_Project.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a8/Emperor_Traianus_Decius_%28Mary_Harrsch%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/83/Los_Angeles%2C_California._Lockheed_Employment._A_worried_applicant_waiting_to_be_interviewed_-_NARA_-_532210.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Dung,Dung most often refers to animal feces.,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Riga,"Riga (; Latvian: Rīga [ˈriːɡa] (listen), Livonian: Rīgõ) is the capital and largest city of Latvia and is home to 605,802 inhabitants which is a third of Latvia's population.","['https://upload.wikimedia.org/wikipedia/commons/8/8b/0871_LVA_Riga_art_noveau_relief_meistaru_iela_10.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/0872_LVA_Riga_art_noveau_relief.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/16-08-31-%C5%A0koda_24Tr_Irisbus_Riga-RR2_4505.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/be/A._%C4%8Caka_iela_26_R%C4%ABga_03.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1e/Alberta_iel%C4%81_12_20120728-05.JPG']"
Sunlight,"Sunlight is a portion of the electromagnetic radiation given off by the Sun, in particular infrared, visible, and ultraviolet light.","['https://upload.wikimedia.org/wikipedia/commons/b/b4/Apollo_7_Florida.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Cape_may.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/D%C3%BClmen%2C_G%C3%B6versheide_--_2015_--_7718-22.jpg']"
Respiratory system,"The respiratory system (also respiratory apparatus, ventilatory system) is a biological system consisting of specific organs and structures used for gas exchange in animals and plants.","['https://upload.wikimedia.org/wikipedia/commons/9/9d/Altitude_and_air_pressure_%26_Everest.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Alveolar_Wall.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Alveolar_air.png', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Alveolus.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/Bird%27s_respiratory_system.jpg']"
Fertilisation,"Fertilisation or fertilization (see spelling differences), also known as generative fertilisation, syngamy and impregnation, is the fusion of gametes to give rise to a new individual organism or offspring and initiate its development.","['https://upload.wikimedia.org/wikipedia/commons/8/83/Acrosome_reaction_diagram_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Bisexuality_symbol_%28bold%2C_color%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/DEV035048A.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/Frogspawn_closeup.jpg']"
Calcium,Calcium is a chemical element with the symbol Ca and atomic number 20.,"['https://upload.wikimedia.org/wikipedia/commons/5/51/Ca%28aq%296_improved_image.tif', 'https://upload.wikimedia.org/wikipedia/commons/1/17/Calcium_intake_world_map.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ec/Calcium_spectrum_visible.png', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Calcium_unter_Argon_Schutzgasatmosph%C3%A4re.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
National Council of Educational,Not found on Wikipedia,['Image not found']
10 Atmospheric Pressure,Not found on Wikipedia,['Image not found']
